662.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | A in octave 4 | D in octave 4 | F in octave 4} Whole,D4-minor seventh chord,4.0,20.0
Chord {G in octave 4 | E in octave 4 | C in octave 5} Quarter,C5-major triad,1.0,27.0
Chord {C in octave 4 | D in octave 4 | F in octave 4} Whole,D4-incomplete minor-seventh chord,4.0,28.0
Chord {C in octave 4 | E in octave 4 | G in octave 4} Dotted Eighth,C4-major triad,0.75,32.0
Chord {A in octave 3 | D in octave 4 | F in octave 4} Quarter,D4-minor triad,1.0,32.75
Chord {G in octave 3 | C in octave 4 | E in octave 4} Quarter,C4-major triad,1.0,33.75
Chord {A in octave 3 | D in octave 4 | F in octave 4} Quarter,D4-minor triad,1.0,34.75
Chord {A in octave 3 | D in octave 4 | C in octave 5} Whole,D4-incomplete dominant-seventh chord,4.0,36.0
Chord {E in octave 4 | G in octave 4 | B-flat in octave 4 | E in octave 5} Quarter,E4-diminished triad,1.0,43.0
Chord {C in octave 4 | E in octave 4 | G in octave 4} Dotted Eighth,C4-major triad,0.75,44.0
Chord {A in octave 3 | D in octave 4 | F in octave 4} Quarter,D4-minor triad,1.0,44.75
Chord {G in octave 3 | C in octave 4 | E in octave 4} Quarter,C4-major triad,1.0,45.75
Chord {A in octave 3 | D in octave 4 | F in octave 4} Quarter,D4-minor triad,1.0,46.75
Chord {A in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),D4-interval class 5,2/3,52.75
Chord {B in octave 4 | C in octave 4 | E in octave 4 | G in octave 4} Eighth,C4-major seventh chord,0.5,53.75
Chord {C in octave 5 | D in octave 4 | F in octave 4 | A in octave 4} Zero,D4-minor seventh chord,0.0,54.25
Chord {D in octave 4 | F in octave 4 | C in octave 5 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-minor seventh chord,1.25,54.75
Chord {C in octave 5 | C in octave 4 | E in octave 4 | G in octave 4} Eighth,C5-major triad,0.5,56.75
Chord {D in octave 5 | F in octave 4 | A in octave 4 | C in octave 4} Zero,D5-minor seventh chord,0.0,57.25
Chord {D in octave 5 | F in octave 4 | A in octave 4} Quarter,D5-minor triad,1.0,57.75
Chord {E in octave 5 | E in octave 4 | G in octave 4 | B in octave 4} Quarter tied to 16th (1 1/4 total QL),E5-minor triad,1.25,58.75
Chord {E in octave 4 | G in octave 4 | C in octave 5} Quarter,C5-major triad,1.0,67.0
Chord {A in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),D4-interval class 5,2/3,68.75
