377.5833333333333
7/8
FullName,CommonName,Len,Offset
Chord {A in octave 5 | E in octave 5 | A in octave 4 | C in octave 4 | A in octave 3 | G in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),A5-major pentatonic,2/3,7.0
Chord {A in octave 5 | C in octave 5 | A in octave 4 | E in octave 4} Eighth,A5-minor triad,0.5,7.75
Chord {A in octave 5 | E in octave 5 | A in octave 3 | D in octave 4 | A in octave 4 | G in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),A5-major pentatonic,2/3,8.5
Chord {C in octave 5 | A in octave 4 | E in octave 4} Eighth,A4-minor triad,0.5,9.25
Chord {A in octave 3 | G in octave 4 | D in octave 4 | C in octave 4} 16th,A3-quartal tetramirror,0.25,10.0
Chord {G in octave 3 | D in octave 4 | F in octave 4 | B-flat in octave 3} Quarter Triplet (2/3 QL),G3-minor seventh chord,2/3,10.5
Chord {G in octave 3 | D in octave 4 | B-flat in octave 3 | F in octave 4} Quarter Triplet (2/3 QL),G3-minor seventh chord,2/3,34/3
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),G3-minor seventh chord,2/3,12.25
Chord {A in octave 3 | E in octave 5 | C in octave 4 | G in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),A3-minor seventh chord,2/3,14.0
Chord {E in octave 5 | A in octave 3 | C in octave 4 | G in octave 4} Eighth,A3-minor seventh chord,0.5,14.75
Chord {A in octave 3 | E in octave 4 | C in octave 5 | G in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),A3-minor seventh chord,2/3,46/3
Chord {E in octave 5 | A in octave 5} Quarter Triplet (2/3 QL),A5-interval class 5,2/3,16.0
Chord {A in octave 3 | A in octave 4 | G in octave 4 | D in octave 4} 16th,G4-quartal trichord,0.25,16.75
Chord {G in octave 5 | B-flat in octave 4} Dotted Eighth,G5-interval class 3,0.75,52/3
Chord {G in octave 3 | B-flat in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),G3-interval class 3,7/3,18.25
Chord {A in octave 3 | C in octave 4} Quarter Triplet (2/3 QL),A3-interval class 3,2/3,21.0
Chord {A in octave 3 | G in octave 4 | C in octave 6} Eighth Triplet (1/3 QL),A3-incomplete minor-seventh chord,1/3,21.75
Chord {A in octave 3 | G in octave 4} Quarter Triplet (2/3 QL),A3-interval class 2,2/3,67/3
Chord {E in octave 5 | C in octave 5} 16th,C5-interval class 4,0.25,23.0
Chord {A in octave 3 | C in octave 4 | D in octave 4} Eighth,D4-incomplete dominant-seventh chord,0.5,23.25
Chord {A in octave 5 | C in octave 5 | A in octave 3 | E in octave 5 | G in octave 4 | A in octave 4 | D in octave 4 | C in octave 4} 16th,A5-major pentatonic,0.25,23.75
Chord {G in octave 3 | G in octave 4 | F in octave 4 | D in octave 4 | B-flat in octave 4 | B-flat in octave 3} Quarter Triplet (2/3 QL),G3-minor seventh chord,2/3,73/3
Chord {G in octave 3 | F in octave 4 | B-flat in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),G3-minor seventh chord,2/3,76/3
Chord {D in octave 6 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,26.25
Chord {A in octave 5 | C in octave 6} 16th,A5-interval class 3,0.25,26.5
Chord {B-flat in octave 5 | G in octave 5} 16th,G5-interval class 3,0.25,27.0
Chord {A in octave 3 | E in octave 5 | C in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),A3-minor seventh chord,2/3,28.0
Chord {G in octave 4 | A in octave 3 | A in octave 4 | E in octave 5 | C in octave 5 | E in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),A3-minor seventh chord,2/3,88/3
Chord {A in octave 3 | G in octave 4 | D in octave 4 | A in octave 4} 16th,G4-quartal trichord,0.25,30.75
Chord {B-flat in octave 4 | D in octave 5} Quarter,B-4-interval class 4,1.0,94/3
Chord {B-flat in octave 4 | D in octave 5 | A in octave 4} Eighth,B-4-incomplete major-seventh chord,0.5,35.0
Chord {A in octave 3 | D in octave 3} 16th,D3-interval class 5,0.25,38.25
Chord {G in octave 5 | C in octave 5 | E in octave 5 | G in octave 4 | A in octave 4 | E in octave 4 | G in octave 3 | A in octave 3 | C in octave 4} 16th,A4-minor seventh chord,0.25,38.5
Chord {G in octave 5 | C in octave 5 | E in octave 5 | G in octave 4 | E in octave 4 | A in octave 4 | G in octave 3 | C in octave 4 | A in octave 3} Quarter,A4-minor seventh chord,1.0,39.75
Chord {G in octave 5 | C in octave 5 | E in octave 5 | E in octave 4 | G in octave 3 | C in octave 4 | A in octave 3} 16th,A3-minor seventh chord,0.25,42.0
Chord {G in octave 5 | E in octave 4} Dotted Eighth,E4-interval class 3,0.75,130/3
Chord {E-flat in octave 5 | B-flat in octave 5 | D in octave 5 | G in octave 5 | B-flat in octave 3 | G in octave 4 | D in octave 4 | E-flat in octave 4} Zero,E-5-major seventh chord,0.0,45.75
Chord {E-flat in octave 5 | B-flat in octave 5 | G in octave 5 | B-flat in octave 3 | D in octave 5 | D in octave 4 | G in octave 4 | E-flat in octave 4} Quarter,E-5-major seventh chord,1.0,47.0
Chord {E-flat in octave 5 | B-flat in octave 3 | B-flat in octave 5 | D in octave 5 | G in octave 5 | D in octave 4 | G in octave 4 | E-flat in octave 4} Zero,E-5-major seventh chord,0.0,49.0
Chord {B-flat in octave 5 | D in octave 5 | D in octave 6 | G in octave 5 | G in octave 4 | E-flat in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),E-4-major seventh chord,1/3,151/3
Chord {G in octave 5 | E in octave 5 | C in octave 5 | E in octave 4 | A in octave 4 | G in octave 4 | C in octave 4 | A in octave 3 | G in octave 3} 16th,A4-minor seventh chord,0.25,52.75
Chord {G in octave 5 | C in octave 5 | E in octave 5 | G in octave 3 | E in octave 4 | A in octave 4 | C in octave 4 | G in octave 4 | A in octave 3} Dotted Eighth,A4-minor seventh chord,0.75,54.25
Chord {G in octave 5 | E in octave 5 | A in octave 3 | G in octave 3} 16th,A3-incomplete dominant-seventh chord,0.25,56.0
Chord {G in octave 5 | C in octave 5 | E in octave 4 | C in octave 4} Dotted Eighth,C5-major triad,0.75,172/3
Chord {B-flat in octave 5 | E-flat in octave 5 | D in octave 5 | G in octave 5 | B-flat in octave 3 | G in octave 4 | D in octave 4 | E-flat in octave 4} 16th,E-5-major seventh chord,0.25,179/3
Chord {E-flat in octave 5 | B-flat in octave 5 | G in octave 5 | D in octave 5 | B-flat in octave 3 | G in octave 4 | E-flat in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),E-5-major seventh chord,2/3,61.0
Chord {D in octave 4 | G in octave 5 | E-flat in octave 4 | B-flat in octave 3} Dotted Eighth,E-4-major seventh chord,0.75,190/3
Chord {B-flat in octave 5 | D in octave 5 | E-flat in octave 5 | G in octave 5 | G in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),E-5-major seventh chord,1/3,64.75
Chord {F in octave 5 | G-sharp in octave 4 | B-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C-sharp in octave 4 | B-flat in octave 3 | C-sharp in octave 5} 16th,G#4-minor seventh chord,0.25,66.5
Chord {F in octave 5 | B-flat in octave 4 | G-sharp in octave 4 | G-sharp in octave 3 | F in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | C-sharp in octave 5} Dotted Eighth,G#4-minor seventh chord,0.75,67.75
Chord {G-sharp in octave 5 | C-sharp in octave 5 | C in octave 5 | F in octave 5 | C-sharp in octave 4 | F in octave 4} Eighth,F5-major seventh chord,0.5,214/3
Chord {E-flat in octave 5 | B in octave 4 | G-sharp in octave 4 | E in octave 3 | E in octave 4 | B in octave 3} Zero,E-5-major seventh chord,0.0,220/3
Chord {E-flat in octave 4 | G-sharp in octave 3} 16th,E-4-interval class 5,0.25,220/3
Chord {B in octave 4 | B-flat in octave 5 | E-flat in octave 4 | E-flat in octave 5 | G-sharp in octave 4 | E in octave 3 | B in octave 3 | G-sharp in octave 3} Quarter,E-4-Hirajoshi pentatonic,1.0,74.75
Chord {E-flat in octave 5 | G-sharp in octave 4 | B in octave 4 | E in octave 4 | E in octave 3 | E-flat in octave 4 | G-sharp in octave 3 | B in octave 3} 16th,E-5-major seventh chord,0.25,77.0
Chord {G-sharp in octave 4 | B in octave 4 | E-flat in octave 4 | B in octave 3 | E-flat in octave 5} Dotted Eighth,E-4-minor triad,0.75,78.5
Chord {E in octave 5 | C in octave 5 | G in octave 3 | E in octave 4 | C in octave 4 | A in octave 4 | A in octave 3} 16th,A4-minor seventh chord,0.25,80.5
Chord {G in octave 5 | D in octave 5 | E in octave 5 | G in octave 3} Quarter Triplet (2/3 QL),E5-incomplete minor-seventh chord,2/3,82.0
Chord {E in octave 5 | D in octave 5 | C in octave 5 | A in octave 4 | G in octave 3 | B in octave 3 | E in octave 4 | C in octave 4} 16th,A4-C all combinatorial (P6, I3, RI9),0.25,84.0
Chord {C in octave 5 | E in octave 5} Dotted Eighth,C5-interval class 4,0.75,85.5
Chord {B-flat in octave 5 | E-flat in octave 5 | D in octave 5 | B-flat in octave 3 | G in octave 4 | E-flat in octave 4 | D in octave 4} 16th,E-5-major seventh chord,0.25,87.5
