615.5
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,4.0
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,6.0
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,23/3
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,26/3
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,9.75
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,12.0
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,14.0
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,47/3
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,50/3
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,17.75
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,20.0
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,22.0
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,71/3
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,74/3
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,25.75
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,28.0
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,30.0
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,95/3
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,98/3
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,33.75
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,38.0
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,119/3
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,122/3
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,44.0
Chord {C in octave 5 | E-flat in octave 2 | B in octave 1} 16th,C5-major-minor trichord,0.25,146/3
Chord {B-flat in octave 4 | E-flat in octave 2} 16th,E-2-interval class 5,0.25,155/3
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,52.0
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,54.0
Chord {F in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),B1-tritone,1/3,167/3
Chord {G-sharp in octave 3 | C in octave 4 | F in octave 4} Eighth,F4-minor triad,0.5,68.0
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,F4-minor triad,0.25,206/3
Chord {G-sharp in octave 3 | C in octave 4 | E in octave 2 | F in octave 4 | D in octave 2} Zero,C4-diminished-augmented ninth chord,0.0,69.0
Chord {B-flat in octave 2 | F in octave 4 | D in octave 2 | E-flat in octave 2} 16th,B-2-perfect-fourth major tetrachord,0.25,69.0
Chord {F in octave 4 | C in octave 4 | F in octave 2 | G-sharp in octave 3} 16th,F4-minor triad,0.25,209/3
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 4 | C in octave 5} Eighth,C4-incomplete half-diminished seventh chord,0.5,70.0
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,C4-incomplete half-diminished seventh chord,0.25,212/3
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3 | C in octave 2} 16th,C4-incomplete half-diminished seventh chord,0.25,215/3
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,72.0
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3 | C in octave 5} 16th,F4-minor triad,0.25,218/3
Chord {G-sharp in octave 3 | C in octave 4 | E in octave 2 | F in octave 4 | D in octave 2} Zero,C4-diminished-augmented ninth chord,0.0,73.0
Chord {F-sharp in octave 3 | B-flat in octave 2 | D in octave 2 | E-flat in octave 2} 16th,B-2-minor-augmented tetrachord,0.25,73.0
Chord {F in octave 4 | C in octave 4 | F in octave 2 | G-sharp in octave 3} 16th,F4-minor triad,0.25,221/3
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 4} Eighth,C4-incomplete half-diminished seventh chord,0.5,74.0
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,C4-incomplete half-diminished seventh chord,0.25,224/3
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,C4-incomplete half-diminished seventh chord,0.25,227/3
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,76.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,230/3
Chord {E-flat in octave 4 | B-flat in octave 3 | E-flat in octave 2 | G in octave 3} 16th,E-4-major triad,0.25,233/3
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3 | B-flat in octave 1} 16th,E-4-major triad,0.25,239/3
Chord {G in octave 3 | B-flat in octave 3 | E-flat in octave 4} Eighth,E-4-major triad,0.5,80.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,242/3
Chord {F-sharp in octave 3 | B-flat in octave 2 | D in octave 2 | E-flat in octave 2} 16th,B-2-minor-augmented tetrachord,0.25,81.0
Chord {E-flat in octave 4 | B-flat in octave 3 | E-flat in octave 2 | G in octave 3} 16th,E-4-major triad,0.25,245/3
Chord {G in octave 3 | B-flat in octave 3 | E-flat in octave 4} Eighth,E-4-major triad,0.5,82.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,248/3
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,251/3
Chord {F in octave 4 | C in octave 4 | F in octave 2 | G-sharp in octave 3} 16th,F4-minor triad,0.25,257/3
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 4} Eighth,C4-incomplete half-diminished seventh chord,0.5,86.0
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,C4-incomplete half-diminished seventh chord,0.25,260/3
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3 | C in octave 2} 16th,C4-incomplete half-diminished seventh chord,0.25,263/3
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,F4-minor triad,0.25,266/3
Chord {G-sharp in octave 3 | C in octave 4 | E in octave 2 | F in octave 4 | D in octave 2} Zero,C4-diminished-augmented ninth chord,0.0,89.0
Chord {B-flat in octave 2 | F-sharp in octave 3} 16th,B-2-interval class 4,0.25,89.0
Chord {F in octave 4 | C in octave 4 | F in octave 2 | F in octave 4 | G-sharp in octave 3} 16th,F4-minor triad,0.25,269/3
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 4} Eighth,C4-incomplete half-diminished seventh chord,0.5,90.0
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,C4-incomplete half-diminished seventh chord,0.25,272/3
Chord {B-flat in octave 2 | F-sharp in octave 3 | D in octave 2 | E-flat in octave 2} 16th,B-2-minor-augmented tetrachord,0.25,91.0
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,C4-incomplete half-diminished seventh chord,0.25,275/3
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,92.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,278/3
Chord {F-sharp in octave 3 | B-flat in octave 2} 16th,B-2-interval class 4,0.25,93.0
Chord {E-flat in octave 4 | B-flat in octave 3 | E-flat in octave 2 | G in octave 3} 16th,E-4-major triad,0.25,281/3
Chord {G in octave 3 | B-flat in octave 3 | E-flat in octave 4} Eighth,E-4-major triad,0.5,94.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,284/3
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3 | B-flat in octave 1} 16th,E-4-major triad,0.25,287/3
Chord {G-sharp in octave 3 | C in octave 4 | F in octave 4} Eighth,F4-minor triad,0.5,100.0
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,F4-minor triad,0.25,302/3
Chord {F-sharp in octave 3 | E in octave 2 | F in octave 4 | D in octave 2} 16th,D2-major-second tetracluster,0.25,101.0
Chord {F in octave 4 | C in octave 4 | F in octave 2 | G-sharp in octave 3} 16th,F4-minor triad,0.25,305/3
Chord {G-sharp in octave 3 | C in octave 4 | C in octave 5 | D in octave 4 | C in octave 4 | C in octave 5} Eighth,C4-incomplete half-diminished seventh chord,0.5,102.0
Chord {B-flat in octave 3 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-3-unison,2/3,102.5
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3 | C in octave 2} 16th,C4-incomplete half-diminished seventh chord,0.25,311/3
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,F4-minor triad,0.25,314/3
Chord {G-sharp in octave 3 | C in octave 4 | E in octave 2 | F in octave 4 | D in octave 2} Zero,C4-diminished-augmented ninth chord,0.0,105.0
Chord {B-flat in octave 2 | F-sharp in octave 3} 16th,B-2-interval class 4,0.25,105.0
Chord {F in octave 4 | C in octave 4 | F in octave 2 | G-sharp in octave 3} 16th,F4-minor triad,0.25,317/3
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 4} Eighth,C4-incomplete half-diminished seventh chord,0.5,106.0
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,C4-incomplete half-diminished seventh chord,0.25,320/3
Chord {B-flat in octave 2 | F-sharp in octave 3 | D in octave 2 | E-flat in octave 2} 16th,B-2-minor-augmented tetrachord,0.25,107.0
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,C4-incomplete half-diminished seventh chord,0.25,323/3
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,108.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,326/3
Chord {F-sharp in octave 3 | B-flat in octave 2} 16th,B-2-interval class 4,0.25,109.0
Chord {E-flat in octave 4 | B-flat in octave 3 | E-flat in octave 2 | G in octave 3} 16th,E-4-major triad,0.25,329/3
Chord {B-flat in octave 3 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-3-unison,2/3,110.5
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3 | B-flat in octave 1} 16th,E-4-major triad,0.25,335/3
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,112.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,338/3
Chord {E-flat in octave 4 | B-flat in octave 3 | E-flat in octave 2 | G in octave 3} 16th,E-4-major triad,0.25,341/3
Chord {G in octave 3 | B-flat in octave 3 | E-flat in octave 4} Eighth,E-4-major triad,0.5,114.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,344/3
Chord {B-flat in octave 2 | E in octave 2 | D in octave 2 | E-flat in octave 2} 16th,E2-major third testacluster,0.25,115.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,347/3
Chord {G-sharp in octave 3 | C in octave 4 | F in octave 4} Eighth,F4-minor triad,0.5,116.0
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,F4-minor triad,0.25,350/3
Chord {F-sharp in octave 3 | E in octave 2 | F in octave 4 | D in octave 2} 16th,D2-major-second tetracluster,0.25,117.0
Chord {F in octave 4 | C in octave 4 | F in octave 2 | G-sharp in octave 3} 16th,F4-minor triad,0.25,353/3
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 4 | C in octave 4 | C in octave 5} Eighth,C4-incomplete half-diminished seventh chord,0.5,118.0
Chord {B-flat in octave 3 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-3-unison,2/3,118.5
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3 | C in octave 2} 16th,C4-incomplete half-diminished seventh chord,0.25,359/3
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,F4-minor triad,0.25,362/3
Chord {G-sharp in octave 3 | C in octave 4 | E in octave 2 | F in octave 4 | D in octave 2} Zero,C4-diminished-augmented ninth chord,0.0,121.0
Chord {B-flat in octave 2 | F-sharp in octave 3} 16th,B-2-interval class 4,0.25,121.0
Chord {F in octave 4 | C in octave 4 | F in octave 2 | G-sharp in octave 3} 16th,F4-minor triad,0.25,365/3
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 4} Eighth,C4-incomplete half-diminished seventh chord,0.5,122.0
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,C4-incomplete half-diminished seventh chord,0.25,368/3
Chord {B-flat in octave 2 | F-sharp in octave 3 | D in octave 2 | E-flat in octave 2} 16th,B-2-minor-augmented tetrachord,0.25,123.0
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} 16th,C4-incomplete half-diminished seventh chord,0.25,371/3
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,124.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3} 16th,E-4-major triad,0.25,374/3
Chord {F-sharp in octave 3 | B-flat in octave 2} 16th,B-2-interval class 4,0.25,125.0
Chord {E-flat in octave 4 | B-flat in octave 3 | E-flat in octave 2 | G in octave 3} 16th,E-4-major triad,0.25,377/3
Chord {G in octave 3 | B-flat in octave 3 | E-flat in octave 4} Eighth,E-4-major triad,0.5,126.0
Chord {B-flat in octave 3 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-3-unison,2/3,126.5
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3 | B-flat in octave 1} 16th,E-4-major triad,0.25,383/3
Chord {C in octave 5 | F in octave 2 | F in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),F2-interval class 5,1/3,132.0
Chord {F in octave 2 | G-sharp in octave 2 | G-sharp in octave 3 | G-sharp in octave 4} 16th,G#2-interval class 3,0.25,401/3
Chord {B-flat in octave 2 | B-flat in octave 3 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-2-unison,2/3,134.5
