281.25
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 4 | G in octave 5 | G in octave 4 | D in octave 5} Whole tied to Quarter (5 total QL),G5-minor triad,5.0,0.0
Chord {B-flat in octave 5 | B-flat in octave 4 | F in octave 5 | D in octave 5} Eighth,B-5-major triad,0.5,5.0
Chord {D in octave 6 | B-flat in octave 5 | F in octave 5 | D in octave 5} Eighth,B-5-major triad,0.5,5.5
Chord {C in octave 6 | C in octave 5 | E in octave 5 | G in octave 5} Quarter tied to 16th (1 1/4 total QL),C6-major triad,1.25,6.0
Chord {B-flat in octave 4 | D in octave 5 | F in octave 5 | B-flat in octave 5} Eighth,B-4-major triad,0.5,7.25
Chord {G in octave 4 | B-flat in octave 4 | D in octave 5 | G in octave 5} Half,G4-minor triad,2.0,7.75
Chord {B-flat in octave 4 | D in octave 4 | D in octave 5 | G in octave 4} 16th,G4-minor triad,0.25,9.75
Chord {B-flat in octave 4 | G in octave 4 | D in octave 5 | G in octave 5} Dotted Eighth,G4-minor triad,0.75,10.0
Chord {D in octave 4 | B-flat in octave 4 | G in octave 4 | D in octave 5} 16th,G4-minor triad,0.25,10.75
Chord {B-flat in octave 4 | G in octave 4 | D in octave 5 | G in octave 5} Dotted Eighth,G4-minor triad,0.75,11.0
Chord {D in octave 4 | B-flat in octave 4 | G in octave 4 | D in octave 5} 16th,G4-minor triad,0.25,11.75
Chord {B-flat in octave 4 | G in octave 4 | D in octave 5 | G in octave 5} Quarter,G4-minor triad,1.0,12.0
Chord {B-flat in octave 4 | G in octave 5 | G in octave 4 | D in octave 5} Half tied to 16th (2 1/4 total QL),G5-minor triad,2.25,16.0
Chord {D in octave 5 | G in octave 5 | B-flat in octave 5 | D in octave 6} 16th,G5-minor triad,0.25,18.25
Chord {C in octave 5 | F in octave 5 | G in octave 5 | C in octave 6} 16th,F5-quartal trichord,0.25,18.75
Chord {B-flat in octave 4 | D in octave 5 | F in octave 5 | B-flat in octave 5} 16th,B-4-major triad,0.25,19.25
Chord {G in octave 4 | B-flat in octave 4 | D in octave 5 | F in octave 5 | G in octave 5} Quarter tied to 16th (1 1/4 total QL),G4-minor seventh chord,1.25,19.75
Chord {F in octave 5 | B-flat in octave 4 | B-flat in octave 5 | D in octave 5} Eighth,B-4-major triad,0.5,21.0
Chord {B-flat in octave 5 | D in octave 6 | G in octave 5 | D in octave 5} Eighth,G5-minor triad,0.5,21.5
Chord {E in octave 5 | C in octave 6 | C in octave 5 | G in octave 5} Quarter tied to 16th (1 1/4 total QL),C6-major triad,1.25,22.0
Chord {B-flat in octave 4 | B-flat in octave 5 | F in octave 5 | D in octave 5} Eighth,B-4-major triad,0.5,23.25
Chord {D in octave 5 | G in octave 4 | G in octave 5 | B-flat in octave 4} Dotted Quarter,G4-minor triad,1.5,23.75
Chord {D in octave 5 | D in octave 4 | B-flat in octave 4 | G in octave 4} 16th,G4-minor triad,0.25,25.75
Chord {B-flat in octave 4 | D in octave 5 | G in octave 4 | G in octave 5} Eighth,G4-minor triad,0.5,26.0
Chord {D in octave 4 | B-flat in octave 4 | G in octave 4 | D in octave 5} 16th,G4-minor triad,0.25,26.75
Chord {B-flat in octave 4 | G in octave 4 | D in octave 5 | G in octave 5} Eighth,G4-minor triad,0.5,27.0
Chord {B-flat in octave 4 | G in octave 4 | D in octave 5} 16th,G4-minor triad,0.25,27.75
Chord {B-flat in octave 4 | D in octave 5 | D in octave 4 | G in octave 4 | G in octave 5} Quarter tied to 16th (1 1/4 total QL),G4-minor triad,1.25,28.0
Chord {G in octave 5 | D in octave 5 | G in octave 4 | B-flat in octave 4} 16th,G5-minor triad,0.25,47.0
Chord {A in octave 4 | D in octave 5 | F in octave 5 | A in octave 5} 16th,D5-minor triad,0.25,47.5
Chord {B-flat in octave 4 | D in octave 5 | F in octave 5 | B-flat in octave 5} Eighth,B-4-major triad,0.5,48.0
Chord {B-flat in octave 4 | D in octave 5 | G in octave 4 | G in octave 5} 16th,G4-minor triad,0.25,48.75
Chord {C in octave 6 | C in octave 5 | E in octave 5 | G in octave 5} 16th,C6-major triad,0.25,49.25
Chord {A in octave 5 | F in octave 5 | D in octave 5 | A in octave 4} 16th,D5-minor triad,0.25,49.75
Chord {A in octave 5 | A in octave 4 | F in octave 5 | D in octave 5} 16th,D5-minor triad,0.25,50.25
Chord {D in octave 5 | F in octave 5 | F in octave 4 | G in octave 4} 16th,G4-incomplete dominant-seventh chord,0.25,50.5
Chord {E-flat in octave 4 | E-flat in octave 5} 16th,E-4-unison,0.25,50.75
Chord {D in octave 5 | D in octave 4} 16th,D5-unison,0.25,51.0
Chord {F in octave 4 | F in octave 5} 16th,F4-unison,0.25,51.25
Chord {G in octave 4 | B-flat in octave 4 | G in octave 5 | D in octave 5} Double Dotted Quarter,G4-minor triad,1.75,51.75
Chord {B-flat in octave 4 | G in octave 5 | G in octave 4 | D in octave 5} 16th,G5-minor triad,0.25,53.75
Chord {B-flat in octave 4 | G in octave 4 | G in octave 5 | D in octave 5} 16th,G4-minor triad,0.25,54.0
Chord {B-flat in octave 4 | G in octave 4 | D in octave 5 | G in octave 5} 16th,G4-minor triad,0.25,54.25
Chord {B-flat in octave 4 | B-flat in octave 5 | D in octave 5 | F in octave 5} 16th,B-4-major triad,0.25,54.75
Chord {B-flat in octave 4 | G in octave 4 | D in octave 5 | G in octave 5} 16th,G4-minor triad,0.25,55.25
