400.0
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 2 | G-sharp in octave 3 | E-flat in octave 4} Zero,E-4-incomplete minor-seventh chord,0.0,12.0
Chord {F in octave 3 | E-flat in octave 4} 16th,F3-interval class 2,0.25,12.0
Chord {F-sharp in octave 2 | A in octave 3 | E-flat in octave 4} Zero,F#2-diminished triad,0.0,14.0
Chord {F-sharp in octave 3 | E-flat in octave 4} 16th,F#3-interval class 3,0.25,14.0
Chord {E-flat in octave 6 | G in octave 3 | C in octave 3} Eighth,C3-minor triad,0.5,16.0
Chord {E-flat in octave 6 | G in octave 3 | C in octave 3} 16th,C3-minor triad,0.25,16.75
Chord {G in octave 6 | B-flat in octave 3 | E-flat in octave 3} Eighth,E-3-major triad,0.5,18.0
Chord {G in octave 6 | B-flat in octave 3 | E-flat in octave 3} 16th,E-3-major triad,0.25,18.75
Chord {F in octave 2 | A in octave 3 | E-flat in octave 4} Zero,F2-incomplete dominant-seventh chord,0.0,20.0
Chord {F in octave 3 | E-flat in octave 4} 16th,F3-interval class 2,0.25,20.0
Chord {C in octave 5 | F-sharp in octave 5 | E-flat in octave 6} 16th,F#5-diminished triad,0.25,26.75
Chord {D in octave 6 | D in octave 5 | F in octave 5 | G in octave 4} 16th,G4-incomplete dominant-seventh chord,0.25,28.0
Chord {D in octave 5 | B-flat in octave 4 | G in octave 2} Eighth,G2-minor triad,0.5,30.0
Chord {B-flat in octave 4 | D in octave 5 | G in octave 2} Zero,G2-minor triad,0.0,30.75
Chord {G in octave 6 | A in octave 3 | E-flat in octave 3} Eighth,A3-incomplete half-diminished seventh chord,0.5,32.0
Chord {G in octave 6 | A in octave 3 | E-flat in octave 3} 16th,A3-incomplete half-diminished seventh chord,0.25,32.75
Chord {F in octave 5 | C in octave 6} 16th,F5-interval class 5,0.25,34.0
Chord {F in octave 4 | G-sharp in octave 4 | D in octave 5 | C in octave 5 | C in octave 6} 16th,D5-half-diminished seventh chord,0.25,35.0
Chord {E-flat in octave 2 | G in octave 3 | C in octave 4} Zero,C4-minor triad,0.0,36.0
Chord {E-flat in octave 3 | C in octave 4} 16th,C4-interval class 3,0.25,36.0
Chord {E-flat in octave 3 | E-flat in octave 4 | F in octave 2 | G-sharp in octave 3 | F in octave 3} 16th,E-3-incomplete minor-seventh chord,0.25,38.0
Chord {D in octave 3 | D in octave 4 | B-flat in octave 1 | G-sharp in octave 3 | F in octave 3} 16th,G#3-dominant seventh chord,0.25,39.0
Chord {E in octave 5 | C-sharp in octave 5 | B-flat in octave 2} Eighth,C#5-diminished triad,0.5,42.0
