408.0
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),G4-interval class 5,2/3,15.0
Chord {E in octave 4 | A in octave 4 | C-sharp in octave 3 | B-flat in octave 3} Eighth,A4-major-diminished tetrachord,0.5,16.0
Chord {C in octave 4 | F in octave 4 | C in octave 3 | A in octave 3} Half Triplet (1 1/3 QL),F4-major triad,4/3,16.5
Chord {B in octave 3 | E-flat in octave 4 | G-sharp in octave 2 | F in octave 3} Eighth,E-4-half-diminished seventh chord,0.5,18.0
Chord {B-flat in octave 3 | D in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),B-3-interval class 4,7/3,18.5
Chord {F in octave 4 | A in octave 4} Dotted Eighth,F4-interval class 4,0.75,23.5
Chord {C-sharp in octave 4 | E in octave 4 | G in octave 4} Dotted Eighth,C#4-diminished triad,0.75,25.0
Chord {D in octave 4 | F in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D4-interval class 3,7/3,26.5
Chord {F in octave 4 | A in octave 4} Dotted Eighth,F4-interval class 4,0.75,31.5
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,33.0
Chord {D in octave 4 | F in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D4-interval class 3,7/3,34.5
Chord {C in octave 5 | E in octave 5} Dotted Eighth,C5-interval class 4,0.75,39.5
Chord {B-flat in octave 4 | D in octave 5} Dotted Eighth,B-4-interval class 4,0.75,41.0
Chord {A in octave 4 | C in octave 5} Quarter,A4-interval class 3,1.0,42.5
Chord {G in octave 4 | B-flat in octave 4} Dotted Eighth,G4-interval class 3,0.75,44.0
Chord {F in octave 4 | A in octave 4} Dotted Eighth,F4-interval class 4,0.75,55.5
Chord {C-sharp in octave 4 | E in octave 4 | G in octave 4} Dotted Eighth,C#4-diminished triad,0.75,57.0
Chord {D in octave 4 | F in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D4-interval class 3,7/3,58.5
Chord {F in octave 4 | A in octave 4} Dotted Eighth,F4-interval class 4,0.75,63.5
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,65.0
Chord {D in octave 4 | F in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D4-interval class 3,7/3,66.5
Chord {C in octave 5 | E in octave 5} Dotted Eighth,C5-interval class 4,0.75,71.5
Chord {B-flat in octave 4 | D in octave 5} Dotted Eighth,B-4-interval class 4,0.75,73.0
Chord {A in octave 4 | C in octave 5} Whole Tuplet of 12/7ths (2 1/3 QL),A4-interval class 3,7/3,74.5
Chord {B in octave 3 | F in octave 4 | A in octave 4} Eighth,B3-incomplete half-diminished seventh chord,0.5,81.0
Chord {B-flat in octave 3 | E in octave 4 | G in octave 4} Dotted Eighth,E4-diminished triad,0.75,81.5
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D4-minor seventh chord,7/3,82.5
Chord {A in octave 4 | C-sharp in octave 4 | G in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),A4-incomplete dominant-seventh chord,7/3,90.5
Chord {F in octave 3 | A in octave 3 | D in octave 4} Eighth,D4-minor triad,0.5,97.0
Chord {G in octave 3 | C-sharp in octave 4 | E in octave 4} Dotted Eighth,C#4-diminished triad,0.75,97.5
Chord {A in octave 3 | D in octave 4 | F in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D4-minor triad,7/3,98.5
Chord {F in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),F4-interval class 4,2/3,109.0
Chord {F in octave 4 | A in octave 4} 16th,F4-interval class 4,0.25,109.75
Chord {E in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),E4-interval class 3,2/3,110.0
Chord {E in octave 4 | G in octave 4} 16th,E4-interval class 3,0.25,110.75
Chord {F in octave 4 | B in octave 3 | D in octave 4} Eighth,B3-diminished triad,0.5,111.0
Chord {B in octave 3 | D in octave 4 | F in octave 3} Half Triplet (1 1/3 QL),B3-diminished triad,4/3,111.5
Chord {B-flat in octave 3 | C in octave 4 | E in octave 4} Eighth,C4-incomplete dominant-seventh chord,0.5,113.0
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} Dotted Eighth,B-3-major triad,0.75,113.5
Chord {B-flat in octave 3 | E in octave 4 | G in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E4-diminished triad,7/3,114.5
Chord {F in octave 4 | A in octave 4} Dotted Eighth,F4-interval class 4,0.75,119.5
Chord {C-sharp in octave 4 | E in octave 4 | G in octave 4} Dotted Eighth,C#4-diminished triad,0.75,121.0
Chord {D in octave 4 | F in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D4-interval class 3,7/3,122.5
Chord {F in octave 4 | A in octave 4} Dotted Eighth,F4-interval class 4,0.75,127.5
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,129.0
Chord {D in octave 4 | F in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D4-interval class 3,7/3,130.5
Chord {C in octave 5 | E in octave 5} Dotted Eighth,C5-interval class 4,0.75,135.5
Chord {B-flat in octave 4 | D in octave 5} Dotted Eighth,B-4-interval class 4,0.75,137.0
Chord {A in octave 4 | C in octave 5} Whole Tuplet of 12/7ths (2 1/3 QL),A4-interval class 3,7/3,138.5
Chord {B in octave 3 | F in octave 4 | A in octave 4} Eighth,B3-incomplete half-diminished seventh chord,0.5,145.0
