659.0
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 4 | G in octave 4} 16th,G4-interval class 3,0.25,127.5
Chord {D in octave 5 | B in octave 4} 16th,B4-interval class 3,0.25,127.75
Chord {E in octave 5 | C in octave 5} 16th,C5-interval class 4,0.25,128.0
Chord {E in octave 5 | C in octave 5} 16th,C5-interval class 4,0.25,128.5
Chord {D in octave 5 | B in octave 4} Eighth,B4-interval class 3,0.5,128.75
Chord {B in octave 4 | G in octave 4} Eighth,G4-interval class 4,0.5,129.75
Chord {B in octave 4 | D in octave 4} 16th,B4-interval class 3,0.25,131.0
Chord {C in octave 5 | E in octave 4} 16th,C5-interval class 4,0.25,131.5
Chord {D in octave 5 | B in octave 4} Eighth,B4-interval class 3,0.5,156.0
Chord {D in octave 5 | C in octave 5} 16th,D5-interval class 2,0.25,156.5
Chord {D in octave 5 | B in octave 4} 16th,B4-interval class 3,0.25,156.75
Chord {B in octave 4 | G in octave 4} 16th,G4-interval class 4,0.25,157.25
Chord {D in octave 5 | A in octave 4} Eighth,D5-interval class 5,0.5,157.75
Chord {F in octave 5 | C in octave 5} Eighth,F5-interval class 5,0.5,158.25
Chord {B in octave 4 | G in octave 4} 16th,G4-interval class 4,0.25,171.25
Chord {D in octave 5 | A in octave 4} 16th,D5-interval class 5,0.25,171.5
Chord {E in octave 5 | B in octave 4} 16th,E5-interval class 5,0.25,171.75
Chord {B-flat in octave 4 | G in octave 4} 16th,G4-interval class 3,0.25,482.5
Chord {D in octave 5 | B in octave 4} 16th,B4-interval class 3,0.25,482.75
Chord {E in octave 5 | C in octave 5} 16th,C5-interval class 4,0.25,483.0
Chord {E in octave 5 | C in octave 5} 16th,C5-interval class 4,0.25,483.5
Chord {D in octave 5 | B in octave 4} Eighth,B4-interval class 3,0.5,483.75
Chord {B in octave 4 | G in octave 4} Eighth,G4-interval class 4,0.5,484.75
Chord {B in octave 4 | D in octave 4} 16th,B4-interval class 3,0.25,486.0
Chord {C in octave 5 | E in octave 4} 16th,C5-interval class 4,0.25,486.5
Chord {D in octave 5 | B in octave 4} Eighth,B4-interval class 3,0.5,511.0
Chord {D in octave 5 | C in octave 5} 16th,D5-interval class 2,0.25,511.5
Chord {D in octave 5 | B in octave 4} 16th,B4-interval class 3,0.25,511.75
Chord {B in octave 4 | G in octave 4} 16th,G4-interval class 4,0.25,512.25
Chord {D in octave 5 | A in octave 4} Eighth,D5-interval class 5,0.5,512.75
Chord {F in octave 5 | C in octave 5} Eighth,F5-interval class 5,0.5,513.25
Chord {B in octave 4 | G in octave 4} 16th,G4-interval class 4,0.25,526.25
Chord {D in octave 5 | A in octave 4} 16th,D5-interval class 5,0.25,526.5
Chord {E in octave 5 | B in octave 4} 16th,E5-interval class 5,0.25,526.75
Chord {D in octave 5 | B in octave 4} Eighth,B4-interval class 3,0.5,543.0
Chord {D in octave 5 | C in octave 5} 16th,D5-interval class 2,0.25,543.5
