504.0
3/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,50.0
Chord {B in octave 3 | D in octave 4 | F in octave 3 | G in octave 3} Dotted Eighth,G3-dominant seventh chord,0.75,62.0
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,74.0
Chord {E in octave 3 | G in octave 3 | B in octave 3} Eighth,E3-minor triad,0.5,94.0
Chord {E in octave 3 | B in octave 3 | G-sharp in octave 3} 16th,E3-major triad,0.25,97.0
Chord {G-sharp in octave 3 | B in octave 3 | E in octave 3} Quarter,E3-major triad,1.0,98.0
Chord {F in octave 3 | G in octave 3} Eighth,G3-interval class 2,0.5,121.0
Chord {B in octave 3 | F in octave 3 | G in octave 3 | D in octave 4} Dotted Eighth,G3-dominant seventh chord,0.75,122.0
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,134.0
Chord {B in octave 3 | D in octave 4 | F in octave 3 | G in octave 3} Dotted Eighth,G3-dominant seventh chord,0.75,146.0
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,158.0
Chord {C in octave 4 | A in octave 3 | F in octave 3} 16th,F3-major triad,0.25,172.0
Chord {A in octave 3 | C in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-major triad,1.25,173.0
Chord {A in octave 3 | F in octave 3 | C in octave 4} 16th,F3-major triad,0.25,175.0
Chord {C in octave 4 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),A3-interval class 3,1.25,176.0
Chord {E in octave 3 | G in octave 3 | B in octave 3} Eighth,E3-minor triad,0.5,178.0
Chord {E in octave 3 | B in octave 3 | G-sharp in octave 3} 16th,E3-major triad,0.25,181.0
Chord {G-sharp in octave 3 | B in octave 3 | E in octave 3} Quarter,E3-major triad,1.0,182.0
Chord {F in octave 3 | G in octave 3} Eighth,G3-interval class 2,0.5,205.0
Chord {B in octave 3 | F in octave 3 | G in octave 3 | D in octave 4} Dotted Eighth,G3-dominant seventh chord,0.75,206.0
Chord {A in octave 3 | C in octave 4} Whole tied to Dotted Quarter (5 1/2 total QL),A3-interval class 3,5.5,207.0
Chord {G in octave 3 | F in octave 3 | D in octave 3} Whole tied to Quarter tied to 16th (5 1/4 total QL),G3-incomplete dominant-seventh chord,5.25,213.0
Chord {C in octave 4 | E in octave 3} Whole tied to Quarter tied to 16th (5 1/4 total QL),C4-interval class 4,5.25,231.0
Chord {B in octave 3 | G in octave 3 | F in octave 3 | D in octave 3} 16th,G3-dominant seventh chord,0.25,241.0
Chord {B in octave 3 | G in octave 3 | F in octave 3 | D in octave 3} 16th,G3-dominant seventh chord,0.25,242.0
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,278.0
Chord {B in octave 3 | D in octave 4 | F in octave 3 | G in octave 3} Dotted Eighth,G3-dominant seventh chord,0.75,290.0
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,302.0
Chord {E in octave 3 | G in octave 3 | B in octave 3} Eighth,E3-minor triad,0.5,322.0
Chord {F in octave 3 | G in octave 3} Eighth,G3-interval class 2,0.5,349.0
Chord {B in octave 3 | F in octave 3 | G in octave 3 | D in octave 4} Dotted Eighth,G3-dominant seventh chord,0.75,350.0
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,362.0
Chord {B in octave 3 | D in octave 4 | F in octave 3 | G in octave 3} Dotted Eighth,G3-dominant seventh chord,0.75,374.0
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,386.0
Chord {E in octave 3 | G in octave 3 | B in octave 3} Eighth,E3-minor triad,0.5,406.0
Chord {E in octave 3 | B in octave 3 | G-sharp in octave 3} 16th,E3-major triad,0.25,409.0
Chord {G-sharp in octave 3 | B in octave 3 | E in octave 3} Quarter,E3-major triad,1.0,410.0
Chord {F in octave 3 | G in octave 3} Eighth,G3-interval class 2,0.5,433.0
Chord {B in octave 3 | F in octave 3 | G in octave 3 | D in octave 4} Dotted Eighth,G3-dominant seventh chord,0.75,434.0
Chord {A in octave 3 | C in octave 4} Whole tied to Dotted Quarter (5 1/2 total QL),A3-interval class 3,5.5,435.0
Chord {G in octave 3 | F in octave 3 | D in octave 3} Whole tied to Quarter tied to 16th (5 1/4 total QL),G3-incomplete dominant-seventh chord,5.25,441.0
Chord {C in octave 4 | E in octave 3} Whole tied to Quarter tied to 16th (5 1/4 total QL),C4-interval class 4,5.25,459.0
Chord {B in octave 3 | G in octave 3 | F in octave 3 | D in octave 3} 16th,G3-dominant seventh chord,0.25,469.0
Chord {B in octave 3 | G in octave 3 | F in octave 3 | D in octave 3} 16th,G3-dominant seventh chord,0.25,470.0
Chord {C in octave 3 | C in octave 2 | E in octave 4 | C in octave 4 | G in octave 3} Breve tied to Quarter (9 total QL),C3-major triad,9.0,495.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,16.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} Quarter,C4-major triad,1.0,17.0
Chord {B in octave 3 | E in octave 4 | G in octave 3} 16th,E4-minor triad,0.25,19.0
Chord {B in octave 3 | G in octave 3} Quarter,G3-interval class 4,1.0,20.0
Chord {A in octave 3 | C in octave 4 | E in octave 4} 16th,A3-minor triad,0.25,22.0
Chord {C in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-interval class 4,1.25,23.0
Chord {G in octave 3 | E in octave 4 | C in octave 4} 16th,C4-major triad,0.25,25.0
Chord {E in octave 4 | C in octave 4 | G in octave 3} Quarter,C4-major triad,1.0,26.0
Chord {G in octave 3 | C in octave 4 | E in octave 4} 16th,C4-major triad,0.25,28.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} Quarter,C4-major triad,1.0,29.0
Chord {G in octave 3 | B in octave 3 | E in octave 4} 16th,E4-minor triad,0.25,31.0
Chord {B in octave 3 | E in octave 4 | G in octave 3} Quarter,E4-minor triad,1.0,32.0
Chord {A in octave 3 | C in octave 4 | E in octave 4} 16th,A3-minor triad,0.25,34.0
Chord {A in octave 3 | E in octave 4 | C in octave 4} Quarter,A3-minor triad,1.0,35.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,37.0
Chord {E in octave 4 | G in octave 3 | C in octave 4} Quarter,C4-major triad,1.0,38.0
Chord {G in octave 3 | C in octave 4 | E in octave 4} 16th,C4-major triad,0.25,40.0
Chord {G in octave 3 | B in octave 3 | E in octave 4} 16th,E4-minor triad,0.25,43.0
Chord {B in octave 3 | E in octave 4 | G in octave 3} Quarter,E4-minor triad,1.0,44.0
Chord {A in octave 3 | E in octave 4 | C in octave 4} 16th,A3-minor triad,0.25,46.0
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quarter,A3-minor triad,1.0,47.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,49.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,52.0
Chord {A in octave 3 | C in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-major triad,1.25,53.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} Eighth,F3-major triad,0.5,55.0
Chord {B in octave 3 | F in octave 3 | G in octave 3 | D in octave 4} 16th,G3-dominant seventh chord,0.25,58.0
Chord {B in octave 3 | D in octave 4 | F in octave 3 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-dominant seventh chord,1.25,59.0
Chord {B in octave 3 | F in octave 3 | G in octave 3 | D in octave 4} 16th,G3-dominant seventh chord,0.25,61.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,64.0
Chord {E in octave 4 | G in octave 3} Quarter,E4-interval class 3,1.0,65.0
Chord {B in octave 3 | E in octave 4 | G in octave 3} Eighth,E4-minor triad,0.5,67.0
Chord {B in octave 3 | G in octave 3} Dotted Eighth,G3-interval class 4,0.75,68.0
Chord {A in octave 3 | E in octave 4 | C in octave 4} 16th,A3-minor triad,0.25,70.0
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quarter,A3-minor triad,1.0,71.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,73.0
Chord {A in octave 3 | C in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-major triad,1.25,77.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),F3-major triad,1/3,79.0
Chord {A in octave 3 | F in octave 3 | C in octave 4} Quarter,F3-major triad,1.0,80.0
Chord {B in octave 3 | G in octave 3 | D in octave 4 | F in octave 3} 16th,G3-dominant seventh chord,0.25,82.0
Chord {B in octave 3 | F in octave 3 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-incomplete dominant-seventh chord,1.25,83.0
Chord {D in octave 4 | F in octave 3 | G in octave 3} Double Dotted Quarter,G3-incomplete dominant-seventh chord,1.75,85.0
Chord {C in octave 4 | A in octave 3 | F in octave 3} 16th,F3-major triad,0.25,88.0
Chord {A in octave 3 | C in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-major triad,1.25,89.0
Chord {A in octave 3 | F in octave 3 | C in octave 4} 16th,F3-major triad,0.25,91.0
Chord {C in octave 4 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),A3-interval class 3,1.25,92.0
Chord {G in octave 3 | B in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-interval class 4,1.25,95.0
Chord {A in octave 3 | C in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A3-minor triad,1/3,100.0
Chord {A in octave 3 | C in octave 4} Half Triplet (1 1/3 QL),A3-interval class 3,4/3,101.0
Chord {G in octave 3 | C in octave 4} Quarter,C4-interval class 5,1.0,104.0
Chord {E in octave 4 | C in octave 4 | F-sharp in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),F#3-major-third diminished terachord,1/3,106.0
Chord {E in octave 4 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),F#3-interval class 2,1.25,107.0
Chord {F-sharp in octave 3 | C in octave 4 | E in octave 4} Eighth,F#3-incomplete half-diminished seventh chord,0.5,109.0
Chord {F-sharp in octave 3 | E in octave 4} Quarter,F#3-interval class 2,1.0,110.0
Chord {F in octave 3 | C in octave 4 | A in octave 3} 16th,F3-major triad,0.25,112.0
Chord {A in octave 3 | C in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-major triad,1.25,113.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,115.0
Chord {B in octave 3 | D in octave 4 | F in octave 3 | G in octave 3} 16th,G3-dominant seventh chord,0.25,118.0
Chord {B in octave 3 | D in octave 4 | F in octave 3 | G in octave 3} Dotted Quarter,G3-dominant seventh chord,1.5,119.0
Chord {G in octave 3 | C in octave 4 | E in octave 4} 16th,C4-major triad,0.25,124.0
Chord {G in octave 3 | B in octave 3 | E in octave 4} 16th,E4-minor triad,0.25,127.0
Chord {B in octave 3 | E in octave 4 | G in octave 3} Quarter,E4-minor triad,1.0,128.0
Chord {A in octave 3 | E in octave 4 | C in octave 4} 16th,A3-minor triad,0.25,130.0
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quarter,A3-minor triad,1.0,131.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,133.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,136.0
Chord {A in octave 3 | C in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-major triad,1.25,137.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} Eighth,F3-major triad,0.5,139.0
Chord {B in octave 3 | F in octave 3 | G in octave 3 | D in octave 4} 16th,G3-dominant seventh chord,0.25,142.0
Chord {B in octave 3 | D in octave 4 | F in octave 3 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-dominant seventh chord,1.25,143.0
Chord {B in octave 3 | F in octave 3 | G in octave 3 | D in octave 4} 16th,G3-dominant seventh chord,0.25,145.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,148.0
Chord {E in octave 4 | G in octave 3} Quarter,E4-interval class 3,1.0,149.0
Chord {B in octave 3 | E in octave 4 | G in octave 3} Eighth,E4-minor triad,0.5,151.0
Chord {B in octave 3 | G in octave 3} Dotted Eighth,G3-interval class 4,0.75,152.0
Chord {A in octave 3 | E in octave 4 | C in octave 4} 16th,A3-minor triad,0.25,154.0
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quarter,A3-minor triad,1.0,155.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,157.0
Chord {A in octave 3 | C in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-major triad,1.25,161.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),F3-major triad,1/3,163.0
Chord {A in octave 3 | F in octave 3 | C in octave 4} Quarter,F3-major triad,1.0,164.0
Chord {B in octave 3 | G in octave 3 | D in octave 4 | F in octave 3} 16th,G3-dominant seventh chord,0.25,166.0
Chord {B in octave 3 | F in octave 3 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-incomplete dominant-seventh chord,1.25,167.0
Chord {D in octave 4 | F in octave 3 | G in octave 3} Double Dotted Quarter,G3-incomplete dominant-seventh chord,1.75,169.0
Chord {G in octave 3 | B in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-interval class 4,1.25,179.0
Chord {A in octave 3 | C in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A3-minor triad,1/3,184.0
Chord {A in octave 3 | C in octave 4} Half Triplet (1 1/3 QL),A3-interval class 3,4/3,185.0
Chord {G in octave 3 | C in octave 4} Quarter,C4-interval class 5,1.0,188.0
Chord {E in octave 4 | C in octave 4 | F-sharp in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),F#3-major-third diminished terachord,1/3,190.0
Chord {E in octave 4 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),F#3-interval class 2,1.25,191.0
Chord {F-sharp in octave 3 | C in octave 4 | E in octave 4} Eighth,F#3-incomplete half-diminished seventh chord,0.5,193.0
Chord {F-sharp in octave 3 | E in octave 4} Quarter,F#3-interval class 2,1.0,194.0
Chord {F in octave 3 | C in octave 4 | A in octave 3} 16th,F3-major triad,0.25,196.0
Chord {A in octave 3 | C in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-major triad,1.25,197.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,199.0
