272.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | E-flat in octave 4 | F in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F4-incomplete dominant-seventh chord,10/3,398/3
Chord {C-sharp in octave 4 | G-sharp in octave 4 | B-flat in octave 4 | F in octave 4} Half,G#4-minor seventh chord,2.0,422/3
Chord {F in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E-4-incomplete minor-seventh chord,5/3,148.0
Chord {F in octave 4 | G-sharp in octave 4} Quarter,G#4-interval class 3,1.0,150.0
Chord {A in octave 4 | G in octave 5} Dotted Half,A4-interval class 2,3.0,152.0
Chord {G in octave 4 | C in octave 5 | E in octave 5} Quarter Triplet (2/3 QL),C5-major triad,2/3,155.0
Chord {G-sharp in octave 4 | C-sharp in octave 5 | F in octave 5} Eighth Triplet (1/3 QL),F5-major triad,1/3,467/3
Chord {B-flat in octave 4 | G-sharp in octave 5} Quarter Triplet (2/3 QL),G#5-interval class 2,2/3,156.0
Chord {C-sharp in octave 5 | F in octave 5 | B-flat in octave 4} Quarter,B-4-minor triad,1.0,470/3
Chord {F in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,476/3
Chord {B in octave 4 | G in octave 4} 16th,G4-interval class 4,0.25,169.0
Chord {G-sharp in octave 4 | C in octave 5} 16th,C5-interval class 4,0.25,508/3
Chord {G in octave 4 | E in octave 4} 16th,E4-interval class 3,0.25,509/3
Chord {G in octave 4 | C in octave 5} Quarter,C5-interval class 5,1.0,170.0
Chord {G-sharp in octave 4 | C in octave 5} Eighth,C5-interval class 4,0.5,176.0
Chord {E-flat in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,530/3
Chord {G-sharp in octave 4 | C in octave 5} Eighth,C5-interval class 4,0.5,177.0
Chord {C in octave 5 | E-flat in octave 5} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,533/3
Chord {E-flat in octave 5 | G-sharp in octave 5} Quarter,E-5-interval class 5,1.0,180.0
Chord {F in octave 5 | C in octave 5} Quarter,F5-interval class 5,1.0,182.0
Chord {G-sharp in octave 4 | E-flat in octave 5} Quarter,E-5-interval class 5,1.0,183.0
Chord {C in octave 4 | G in octave 3} Half tied to 16th (2 1/4 total QL),C4-interval class 5,2.25,186.0
Chord {C-sharp in octave 4 | C-sharp in octave 3} Quarter,C#4-unison,1.0,236.0
Chord {E-flat in octave 3 | E-flat in octave 4} Quarter,E-3-unison,1.0,237.0
Chord {G-sharp in octave 3 | G-sharp in octave 4} Quarter,G#3-unison,1.0,239.0
Chord {B-flat in octave 3 | C-sharp in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C#4-interval class 3,11/3,240.0
Chord {C in octave 4 | F in octave 4} Half,F4-interval class 5,2.0,244.0
Chord {A in octave 3 | F in octave 4} Quarter,F4-interval class 4,1.0,248.0
Chord {C in octave 4 | E-flat in octave 4} Quarter,C4-interval class 3,1.0,249.0
Chord {A in octave 3 | C in octave 4} Half,A3-interval class 3,2.0,250.0
Chord {C-sharp in octave 4 | G-sharp in octave 4 | F in octave 4 | G-sharp in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),F4-major triad,7/3,253.0
Chord {G-sharp in octave 4 | F in octave 4} Eighth,G#4-interval class 3,0.5,256.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),G#3-minor seventh chord,10/3,770/3
Chord {E-flat in octave 3 | F in octave 3} Eighth,F3-interval class 2,0.5,260.0
Chord {E-flat in octave 3 | F in octave 3 | G-sharp in octave 3} Eighth,E-3-incomplete minor-seventh chord,0.5,261.0
Chord {E-flat in octave 3 | G-sharp in octave 3 | F in octave 3 | G in octave 3} Eighth,E-3-lydian tetrachord,0.5,262.0
Chord {E-flat in octave 3 | F in octave 3 | G-sharp in octave 3} Eighth,E-3-incomplete minor-seventh chord,0.5,263.0
Chord {E in octave 4 | G in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),E4-interval class 3,11/3,410/3
Chord {G-sharp in octave 4 | B-flat in octave 4} Triple Dotted Half (3 3/4 QL),G#4-interval class 2,3.75,144.0
Chord {C-sharp in octave 5 | B-flat in octave 4} Quarter Triplet (2/3 QL),C#5-interval class 3,2/3,158.0
Chord {E-flat in octave 4 | E-flat in octave 5} Dotted Half,E-4-unison,3.0,479/3
Chord {E-flat in octave 4 | G in octave 3 | G in octave 4} Half tied to 16th (2 1/4 total QL),E-4-interval class 4,2.25,246.0
Chord {C-sharp in octave 4 | B-flat in octave 3} Eighth,C#4-interval class 3,0.5,256.0
Chord {G in octave 4 | B-flat in octave 4 | C in octave 5} Eighth,C5-incomplete dominant-seventh chord,0.5,131.0
Chord {G in octave 4 | F in octave 4 | B-flat in octave 4} 16th,G4-incomplete minor-seventh chord,0.25,395/3
Chord {G-sharp in octave 4 | F in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),F4-minor triad,2/3,134.0
Chord {B-flat in octave 4 | C in octave 5 | E-flat in octave 5} Quarter Triplet (2/3 QL),C5-incomplete minor-seventh chord,2/3,135.0
Chord {B-flat in octave 5 | C in octave 6 | E in octave 5 | G in octave 5} Whole Tuplet of 12/7ths (2 1/3 QL),C6-dominant seventh chord,7/3,136.0
Chord {C in octave 6 | B-flat in octave 5 | E in octave 5 | G in octave 5} Quarter Triplet (2/3 QL),C6-dominant seventh chord,2/3,139.0
Chord {B in octave 5 | G in octave 5 | E-flat in octave 5} 16th,E-5-augmented triad,0.25,419/3
Chord {F in octave 5 | G in octave 5 | B-flat in octave 5} Eighth,G5-incomplete minor-seventh chord,0.5,140.0
Chord {C-sharp in octave 5 | G-sharp in octave 5 | F in octave 5} Quarter,F5-major triad,1.0,422/3
Chord {F in octave 5 | C-sharp in octave 5 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-4-minor triad,2/3,142.0
Chord {C-sharp in octave 5 | C in octave 5 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C#5-incomplete major-seventh chord,2/3,143.0
Chord {C in octave 5 | E in octave 4 | B-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C5-incomplete dominant-seventh chord,5/3,144.0
Chord {B-flat in octave 4 | G-sharp in octave 4 | E in octave 4} Half,E4-incomplete half-diminished seventh chord,2.0,146.0
Chord {F in octave 4 | G-sharp in octave 4 | C in octave 5} Dotted Eighth,F4-minor triad,0.75,177.0
Chord {F in octave 4 | B-flat in octave 4} Double Dotted Quarter,B-4-interval class 5,1.75,178.0
Chord {G-sharp in octave 4 | C in octave 5 | F in octave 4} Quarter,F4-minor triad,1.0,182.0
Chord {C in octave 5 | F in octave 5 | G-sharp in octave 5} Quarter,F5-minor triad,1.0,183.0
Chord {A in octave 4 | F in octave 5 | E-flat in octave 5 | G in octave 5} Whole Tuplet of 12/7ths (2 1/3 QL),F5-whole-tone tetramirror,7/3,184.0
Chord {C in octave 5 | E in octave 5 | G in octave 4} Eighth,C5-major triad,0.5,187.0
Chord {G-sharp in octave 4 | C-sharp in octave 5 | F in octave 5} Eighth Triplet (1/3 QL),F5-major triad,1/3,563/3
Chord {G-sharp in octave 5 | B-flat in octave 4 | C-sharp in octave 5} Eighth,C#5-incomplete minor-seventh chord,0.5,188.0
Chord {B-flat in octave 4 | F in octave 5 | C-sharp in octave 5} Quarter,B-4-minor triad,1.0,566/3
Chord {G-sharp in octave 4 | B-flat in octave 4 | C-sharp in octave 5} Quarter Triplet (2/3 QL),C#5-incomplete minor-seventh chord,2/3,190.0
Chord {F in octave 4 | G-sharp in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F4-minor triad,1/3,572/3
Chord {F in octave 4 | G-sharp in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),G#4-incomplete dominant-seventh chord,2/3,191.0
Chord {E-flat in octave 4 | G-sharp in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E-4-interval class 5,2.75,575/3
Chord {F in octave 5 | G-sharp in octave 5 | C in octave 5 | E-flat in octave 5} Eighth Triplet (1/3 QL),C5-minor seventh chord,1/3,228.0
Chord {B-flat in octave 5 | G-sharp in octave 5 | F in octave 5 | E-flat in octave 5} 16th,E-5-quartal tetramirror,0.25,689/3
Chord {C in octave 6 | G-sharp in octave 5 | F in octave 5 | E-flat in octave 5} Eighth Triplet (1/3 QL),C6-minor seventh chord,1/3,230.0
Chord {E-flat in octave 6 | C in octave 6 | F in octave 5 | G-sharp in octave 5} Quarter,C6-minor seventh chord,1.0,231.0
Chord {G in octave 5 | E in octave 5 | C in octave 6 | B-flat in octave 5} 16th,C6-dominant seventh chord,0.25,232.0
Chord {B in octave 5 | G in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),E5-minor triad,1/3,707/3
