388.25
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,387.5
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,19.75
Chord {B-flat in octave 3 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E-4-interval class 5,5/3,23.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,27.75
Chord {A in octave 3 | C-sharp in octave 4} Quarter,A3-interval class 4,1.0,103/3
Chord {G in octave 3 | B-flat in octave 3} Half tied to Quarter tied to 16th (3 1/4 total QL),G3-interval class 3,3.25,43.75
Chord {A in octave 3 | C in octave 4} Dotted Half,A3-interval class 3,3.0,52.0
Chord {G in octave 3 | B-flat in octave 3} Dotted Half,G3-interval class 3,3.0,59.75
Chord {A in octave 3 | B in octave 3} Dotted Half,B3-interval class 2,3.0,63.75
Chord {C in octave 4 | E-flat in octave 4} Dotted Half,C4-interval class 3,3.0,68.0
Chord {D in octave 4 | E-flat in octave 4} Dotted Half,E-4-interval class 1,3.0,75.75
Chord {A in octave 3 | C in octave 4} Quarter,A3-interval class 3,1.0,83.75
Chord {G in octave 3 | B-flat in octave 3} Whole,G3-interval class 3,4.0,262/3
Chord {A in octave 3 | C in octave 4 | F in octave 4} Dotted Half,F4-major triad,3.0,132.0
Chord {G in octave 3 | B-flat in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),G3-interval class 3,2.75,139.75
Chord {A in octave 3 | B in octave 3 | E-flat in octave 4} Whole Triplet (2 2/3 QL),A3-incomplete dominant-seventh chord,8/3,430/3
Chord {F-sharp in octave 3 | B-flat in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),B-3-interval class 4,2.75,155.75
Chord {A in octave 3 | E-flat in octave 4} Dotted Half,A3-tritone,3.0,478/3
Chord {D in octave 4 | F-sharp in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),D4-interval class 4,11/3,167.5
Chord {D in octave 4 | F in octave 4} Dotted Half,D4-interval class 3,3.0,171.75
Chord {C in octave 4 | E in octave 4} Half tied to 16th (2 1/4 total QL),C4-interval class 4,2.25,550/3
Chord {E-flat in octave 4 | B-flat in octave 4} Whole,E-4-interval class 5,4.0,187.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,211.75
