254.75
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 1 | F-sharp in octave 2 | B-flat in octave 4} 16th,B1-incomplete major-seventh chord,0.25,4.0
Chord {F-sharp in octave 2 | A in octave 4} 16th,F#2-interval class 3,0.25,4.25
Chord {F-sharp in octave 2 | A in octave 5 | A in octave 4} 16th,F#2-interval class 3,0.25,4.5
Chord {F-sharp in octave 2 | B in octave 1 | A in octave 4 | B-flat in octave 4} 16th,B1-minor third tetracluster,0.25,4.75
Chord {F-sharp in octave 2 | A in octave 4 | B-flat in octave 4 | D in octave 2 | A in octave 1 | F-sharp in octave 3} 16th,B-4-augmented major tetrachord,0.25,5.0
Chord {F-sharp in octave 2 | A in octave 4} 16th,F#2-interval class 3,0.25,5.25
Chord {F-sharp in octave 2 | B in octave 1 | A in octave 5 | A in octave 4 | B-flat in octave 4} 16th,B1-minor third tetracluster,0.25,5.5
Chord {F-sharp in octave 2 | A in octave 4} 16th,F#2-interval class 3,0.25,5.75
Chord {F-sharp in octave 2 | B in octave 1 | A in octave 4} 16th,B1-incomplete dominant-seventh chord,0.25,6.0
Chord {F-sharp in octave 2 | A in octave 4 | D in octave 2} 16th,D2-major triad,0.25,6.25
Chord {A in octave 5 | A in octave 4 | B-flat in octave 4 | F-sharp in octave 2} 16th,B-4-major-minor trichord,0.25,6.5
Chord {B in octave 1 | F-sharp in octave 2 | A in octave 4} 16th,B1-incomplete dominant-seventh chord,0.25,6.75
Chord {F-sharp in octave 2 | A in octave 4 | D in octave 2 | A in octave 1 | F-sharp in octave 3} 16th,D2-major triad,0.25,7.0
Chord {F-sharp in octave 2 | A in octave 4} 16th,F#2-interval class 3,0.25,7.25
Chord {B in octave 1 | A in octave 5 | B-flat in octave 2 | A in octave 4 | B-flat in octave 4 | A in octave 1} 16th,B1-chromatic trimirror,0.25,7.5
Chord {B in octave 1 | F-sharp in octave 2 | A in octave 4 | B-flat in octave 4} 16th,B1-minor third tetracluster,0.25,8.0
Chord {F-sharp in octave 2 | A in octave 4} 16th,F#2-interval class 3,0.25,8.25
Chord {F-sharp in octave 2 | A in octave 5 | A in octave 4} 16th,F#2-interval class 3,0.25,8.5
Chord {F-sharp in octave 2 | B in octave 1 | A in octave 4 | B-flat in octave 4} 16th,B1-minor third tetracluster,0.25,8.75
Chord {F-sharp in octave 2 | A in octave 4 | D in octave 2 | A in octave 1 | F-sharp in octave 3} 16th,D2-major triad,0.25,9.0
Chord {F-sharp in octave 2 | A in octave 4} 16th,F#2-interval class 3,0.25,9.25
