275.75
4/4
FullName,CommonName,Len,Offset
Chord {A in octave 3 | C-sharp in octave 4} 16th,A3-interval class 4,0.25,68/3
Chord {C in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),C4-interval class 4,1/3,32.0
Chord {C in octave 4 | F-sharp in octave 4} 16th,F#4-tritone,0.25,101/3
Chord {B in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B3-interval class 5,1/3,34.0
Chord {A in octave 3 | C-sharp in octave 4} 16th,A3-interval class 4,0.25,116/3
Chord {C in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),C4-interval class 4,1/3,48.0
Chord {C in octave 4 | F-sharp in octave 4} 16th,F#4-tritone,0.25,149/3
Chord {B in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B3-interval class 5,1/3,50.0
Chord {F-sharp in octave 3 | G in octave 4} Eighth,G4-interval class 1,0.5,74.0
Chord {G-sharp in octave 3 | F-sharp in octave 4} Eighth,G#3-interval class 2,0.5,224/3
Chord {A in octave 3 | E in octave 4} Eighth,A3-interval class 5,0.5,226/3
Chord {A in octave 3 | B in octave 3} Whole,B3-interval class 2,4.0,76.0
Chord {A in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),B3-interval class 2,1/3,80.0
Chord {A in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),B3-interval class 2,1/3,81.0
Chord {A in octave 3 | C-sharp in octave 4} 16th,A3-interval class 4,0.25,260/3
Chord {C in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),C4-interval class 4,1/3,96.0
Chord {C in octave 4 | F-sharp in octave 4} 16th,F#4-tritone,0.25,293/3
Chord {B in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B3-interval class 5,1/3,98.0
Chord {A in octave 3 | C-sharp in octave 4} 16th,A3-interval class 4,0.25,308/3
Chord {C in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),C4-interval class 4,1/3,112.0
Chord {C in octave 4 | F-sharp in octave 4} 16th,F#4-tritone,0.25,341/3
Chord {B in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B3-interval class 5,1/3,114.0
Chord {A in octave 3 | B in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),B3-interval class 2,5/3,132.0
Chord {B in octave 3 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#4-interval class 3,1/3,134.0
Chord {G-sharp in octave 4 | B in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G#4-interval class 3,5/3,138.0
Chord {E in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),E4-interval class 4,1/3,140.0
Chord {C in octave 5 | E-flat in octave 5} 16th,C5-interval class 3,0.25,734/3
Chord {G in octave 4 | C in octave 5} 16th,C5-interval class 5,0.25,737/3
Chord {A in octave 4 | D in octave 5} 16th,D5-interval class 5,0.25,740/3
Chord {B-flat in octave 4 | E-flat in octave 5} 16th,E-5-interval class 5,0.25,743/3
Chord {A in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),D5-interval class 5,1/3,252.0
Chord {F in octave 4 | A in octave 4} 16th,F4-interval class 4,0.25,253.5
Chord {F in octave 4 | A in octave 4} 16th,F4-interval class 4,0.25,253.75
Chord {F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,254.0
Chord {G in octave 4 | B-flat in octave 4} 16th,G4-interval class 3,0.25,767/3
Chord {G-sharp in octave 4 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C#5-interval class 5,1/3,256.0
Chord {F in octave 4 | G-sharp in octave 4} 16th,G#4-interval class 3,0.25,257.5
Chord {F in octave 4 | G-sharp in octave 4} 16th,G#4-interval class 3,0.25,257.75
Chord {F in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#4-interval class 3,1/3,258.0
Chord {F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,268.0
Chord {F in octave 4 | A in octave 4} 16th,F4-interval class 4,0.25,274.0
Chord {B in octave 1 | B in octave 2} Breve,B1-unison,8.0,132.0
Chord {G-sharp in octave 5 | B in octave 5 | E in octave 6} Whole,E6-major triad,4.0,84.0
Chord {E in octave 5 | G-sharp in octave 5 | C-sharp in octave 6} Whole,C#6-minor triad,4.0,88.0
Chord {A in octave 5 | C-sharp in octave 6 | E in octave 6} Whole,A5-major triad,4.0,92.0
Chord {A in octave 5 | C in octave 6 | E in octave 6} Whole,A5-minor triad,4.0,96.0
Chord {G-sharp in octave 5 | B in octave 5 | E in octave 6} Whole,E6-major triad,4.0,100.0
Chord {C-sharp in octave 5 | G-sharp in octave 5 | C-sharp in octave 6 | E in octave 6} Whole,C#5-minor triad,4.0,104.0
Chord {A in octave 5 | C-sharp in octave 6 | E in octave 6} Whole,A5-major triad,4.0,108.0
Chord {A in octave 5 | C in octave 6 | E in octave 6} Whole,A5-minor triad,4.0,112.0
Chord {G-sharp in octave 5 | C-sharp in octave 6 | E in octave 6} Whole,C#6-minor triad,4.0,116.0
Chord {G-sharp in octave 5 | C-sharp in octave 6 | E in octave 6} Whole,C#6-minor triad,4.0,120.0
Chord {B in octave 4 | F-sharp in octave 5 | A in octave 5 | B in octave 5} Whole,B4-incomplete dominant-seventh chord,4.0,136.0
