269.5
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 3 | A in octave 3 | A in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),A3-tritone,1/3,12.0
Chord {A in octave 4 | A in octave 3} Eighth,A4-unison,0.5,13.0
Chord {A in octave 3 | A in octave 4} Quarter,A3-unison,1.0,14.0
Chord {E-flat in octave 3 | E-flat in octave 4} Dotted Eighth,E-3-unison,0.75,15.0
Chord {F in octave 3 | F in octave 4 | G-sharp in octave 4 | G-sharp in octave 3} 16th,G#4-interval class 3,0.25,17.0
Chord {B in octave 3 | B in octave 4 | G-sharp in octave 3 | F in octave 3 | G-sharp in octave 4 | F in octave 4} Eighth,G#3-diminished triad,0.5,19.0
Chord {F-sharp in octave 4 | F-sharp in octave 3} Quarter,F#4-unison,1.0,20.0
Chord {B-flat in octave 4 | B-flat in octave 3} Dotted Eighth,B-4-unison,0.75,21.0
Chord {E-flat in octave 3 | E-flat in octave 4} Quarter,E-3-unison,1.0,22.0
Chord {B-flat in octave 4 | F-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 3} Eighth,B-4-interval class 4,0.5,23.0
Chord {G-sharp in octave 3 | G-sharp in octave 4 | F in octave 4 | F in octave 3 | C-sharp in octave 3 | C-sharp in octave 4} Eighth Triplet (1/3 QL),F4-major triad,1/3,25.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | G in octave 3 | G in octave 4 | C-sharp in octave 5 | E-flat in octave 3 | E-flat in octave 4 | B-flat in octave 4} Eighth,C#4-dominant seventh chord,0.5,27.0
Chord {G-sharp in octave 3 | F-sharp in octave 3 | F-sharp in octave 4 | G-sharp in octave 4} Zero,G#3-interval class 2,0.0,29.0
Chord {B in octave 3 | E-flat in octave 3 | E-flat in octave 4 | B in octave 4} 16th,E-3-interval class 4,0.25,29.0
Chord {G-sharp in octave 3 | G-sharp in octave 4} Quarter Triplet (2/3 QL),G#3-unison,2/3,89/3
Chord {F-sharp in octave 3 | F-sharp in octave 4 | B in octave 3 | B in octave 4} Eighth Triplet (1/3 QL),B3-interval class 5,1/3,31.0
Chord {B in octave 3 | C-sharp in octave 4 | F in octave 3 | G-sharp in octave 3 | G-sharp in octave 4 | B in octave 4 | F in octave 4 | C-sharp in octave 5} 16th,G#3-dominant seventh chord,0.25,33.0
Chord {G-sharp in octave 3 | G-sharp in octave 4 | B in octave 3 | B in octave 4 | C-sharp in octave 4 | F in octave 3 | F in octave 4 | C-sharp in octave 5} Eighth,G#3-dominant seventh chord,0.5,35.0
Chord {F in octave 3 | D in octave 4 | F in octave 4 | D in octave 5} Dotted Eighth,D4-interval class 3,0.75,37.0
Chord {B-flat in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | C-sharp in octave 5} Zero,C#4-interval class 3,0.0,116/3
Chord {F in octave 3 | C-sharp in octave 5 | F in octave 4} 16th,F3-interval class 4,0.25,116/3
Chord {B-flat in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | F in octave 3 | F in octave 4 | C-sharp in octave 5} Eighth,B-3-minor triad,0.5,39.0
Chord {B-flat in octave 3 | B-flat in octave 4 | F-sharp in octave 4 | F-sharp in octave 3} Eighth,B-3-interval class 4,0.5,40.0
Chord {B-flat in octave 3 | B-flat in octave 4 | F-sharp in octave 4 | F-sharp in octave 3} Eighth,B-3-interval class 4,0.5,41.0
Chord {C in octave 4 | A in octave 3 | A in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),A3-interval class 3,2/3,42.0
Chord {C in octave 4 | E-flat in octave 4 | E-flat in octave 5 | C in octave 5 | A in octave 3 | A in octave 4 | F-sharp in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#3-diminished seventh chord,1/3,43.0
Chord {F in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | B-flat in octave 4 | F in octave 4 | C-sharp in octave 5} Eighth,B-3-minor triad,0.5,45.0
Chord {B-flat in octave 3 | B-flat in octave 4 | E-flat in octave 4 | G in octave 3 | E-flat in octave 5 | G in octave 4} Eighth,E-4-major triad,0.5,47.0
Chord {G-sharp in octave 3 | E-flat in octave 3 | F-sharp in octave 3 | F-sharp in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-3-incomplete dominant-seventh chord,1/3,49.0
Chord {B in octave 3 | F in octave 3 | B in octave 4 | G-sharp in octave 3 | F in octave 4 | C-sharp in octave 4 | G-sharp in octave 4 | C-sharp in octave 5} Eighth Triplet (1/3 QL),G#3-dominant seventh chord,1/3,51.0
Chord {B-flat in octave 4 | B-flat in octave 3} Eighth,B-4-unison,0.5,53.0
Chord {C-sharp in octave 4 | C-sharp in octave 5} Eighth,C#4-unison,0.5,161/3
Chord {C-sharp in octave 5 | C-sharp in octave 4} Eighth,C#5-unison,0.5,55.0
Chord {G-sharp in octave 3 | F-sharp in octave 3 | B in octave 3 | B in octave 4 | G-sharp in octave 4 | F-sharp in octave 4} Eighth,G#3-incomplete minor-seventh chord,0.5,57.0
Chord {E-flat in octave 3 | G-sharp in octave 3 | F-sharp in octave 3 | F-sharp in octave 4 | G-sharp in octave 4 | B in octave 3 | B in octave 4 | E-flat in octave 4} Eighth,E-3-minor seventh chord,0.5,59.0
Chord {F in octave 3 | G-sharp in octave 3 | G-sharp in octave 4 | B in octave 3 | C-sharp in octave 3 | C-sharp in octave 4 | B in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),G#3-dominant seventh chord,1/3,61.0
Chord {F in octave 3 | B in octave 3 | B in octave 4 | F in octave 4 | C-sharp in octave 3 | C-sharp in octave 4 | G-sharp in octave 3 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#3-dominant seventh chord,1/3,63.0
Chord {G-sharp in octave 3 | B-flat in octave 3 | B-flat in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),G#3-interval class 2,2/3,65.0
Chord {E-flat in octave 3 | G in octave 3 | G in octave 4 | E-flat in octave 4 | C-sharp in octave 4 | C-sharp in octave 5 | B-flat in octave 3 | B-flat in octave 4} Dotted Eighth,C#4-dominant seventh chord,0.75,67.0
Chord {E-flat in octave 3 | E-flat in octave 4 | G-sharp in octave 3 | B in octave 3 | B in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),E-3-minor triad,1/3,69.0
Chord {G-sharp in octave 3 | G-sharp in octave 4 | E-flat in octave 4 | E-flat in octave 3} Zero,E-4-interval class 5,0.0,71.0
Chord {B in octave 3 | B in octave 4} 16th,B3-unison,0.25,71.0
Chord {F in octave 3 | F in octave 4 | C-sharp in octave 4 | C-sharp in octave 3 | G-sharp in octave 3 | G-sharp in octave 4} 16th,F3-major triad,0.25,72.0
Chord {A in octave 3 | E-flat in octave 3 | E-flat in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A3-tritone,1/3,76.0
Chord {A in octave 3 | A in octave 4} Eighth,A3-unison,0.5,77.0
Chord {A in octave 3 | A in octave 4} Quarter,A3-unison,1.0,78.0
Chord {E-flat in octave 3 | E-flat in octave 4} Dotted Eighth,E-3-unison,0.75,79.0
Chord {F in octave 4 | G-sharp in octave 4 | F in octave 3 | G-sharp in octave 3} 16th,G#4-interval class 3,0.25,81.0
Chord {G-sharp in octave 3 | B in octave 3 | B in octave 4 | G-sharp in octave 4 | F in octave 3 | F in octave 4} Eighth,G#3-diminished triad,0.5,83.0
Chord {F-sharp in octave 4 | F-sharp in octave 3} Quarter,F#4-unison,1.0,84.0
Chord {B-flat in octave 3 | B-flat in octave 4} Dotted Eighth,B-3-unison,0.75,85.0
Chord {E-flat in octave 4 | E-flat in octave 3} Quarter,E-4-unison,1.0,86.0
Chord {B-flat in octave 3 | B-flat in octave 4 | F-sharp in octave 4 | F-sharp in octave 3} Eighth,B-3-interval class 4,0.5,87.0
Chord {G-sharp in octave 3 | G-sharp in octave 4 | F in octave 3 | C-sharp in octave 3 | F in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),F3-major triad,1/3,89.0
Chord {C-sharp in octave 4 | G in octave 3 | B-flat in octave 3 | E-flat in octave 3 | E-flat in octave 4 | G in octave 4 | C-sharp in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),C#4-dominant seventh chord,1/3,91.0
Chord {G-sharp in octave 3 | F-sharp in octave 3 | G-sharp in octave 4 | F-sharp in octave 4} Zero,G#3-interval class 2,0.0,93.0
Chord {E-flat in octave 3 | B in octave 3 | E-flat in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),E-3-interval class 4,1/3,93.0
Chord {G-sharp in octave 3 | G-sharp in octave 4} Quarter Triplet (2/3 QL),G#3-unison,2/3,281/3
Chord {B in octave 3 | F-sharp in octave 3 | F-sharp in octave 4 | E-flat in octave 3 | E-flat in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),E-3-major triad,1/3,95.0
Chord {B in octave 3 | G-sharp in octave 3 | G-sharp in octave 4 | C-sharp in octave 4 | F in octave 3 | F in octave 4 | C-sharp in octave 5 | B in octave 4} 16th,G#3-dominant seventh chord,0.25,97.0
Chord {G-sharp in octave 3 | B in octave 3 | B in octave 4 | G-sharp in octave 4 | F in octave 3 | F in octave 4 | C-sharp in octave 4 | C-sharp in octave 5} Eighth,G#3-dominant seventh chord,0.5,99.0
Chord {B-flat in octave 3 | B-flat in octave 4 | D in octave 4 | D in octave 5} Quarter Triplet (2/3 QL),B-3-interval class 4,2/3,101.0
Chord {C-sharp in octave 4 | B-flat in octave 3 | B-flat in octave 4 | C-sharp in octave 5 | F in octave 3 | F in octave 4} 16th,B-3-minor triad,0.25,308/3
