667.75
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 3 | F in octave 3} 16th,B-3-interval class 5,0.25,2/3
Chord {D in octave 4 | G-sharp in octave 3} 16th,G#3-tritone,0.25,1.0
Chord {E-flat in octave 4 | B-flat in octave 3} 16th,E-4-interval class 5,0.25,1.25
Chord {F in octave 4 | C in octave 4} 16th,F4-interval class 5,0.25,1.5
Chord {G in octave 4 | D in octave 4} 16th,G4-interval class 5,0.25,1.75
Chord {G-sharp in octave 4 | E-flat in octave 4} 16th,E-4-interval class 5,0.25,2.0
Chord {E-flat in octave 5 | C in octave 4} 16th,C4-interval class 3,0.25,13.5
Chord {F in octave 5 | G in octave 5} Eighth Triplet (1/3 QL),G5-interval class 2,1/3,15.5
Chord {F in octave 2 | C in octave 5} Eighth,F2-interval class 5,0.5,17.25
Chord {C in octave 5 | F in octave 5} 16th,F5-interval class 5,0.25,26.0
Chord {B-flat in octave 5 | G-sharp in octave 5} 16th,G#5-interval class 2,0.25,26.25
Chord {C in octave 5 | F in octave 5} 16th,F5-interval class 5,0.25,26.5
Chord {G in octave 2 | B-flat in octave 5} 16th,G2-interval class 3,0.25,27.75
Chord {G-sharp in octave 5 | D in octave 4} 16th,G#5-tritone,0.25,28.0
Chord {G in octave 2 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,28.25
Chord {C in octave 5 | C in octave 4} 16th,C5-unison,0.25,78.0
Chord {D in octave 5 | D in octave 4} Eighth Triplet (1/3 QL),D5-unison,1/3,79.0
Chord {F-sharp in octave 2 | C-sharp in octave 3 | B in octave 2} 16th,B2-quartal trichord,0.25,88.5
Chord {B in octave 2 | C-sharp in octave 3} Eighth,C#3-interval class 2,0.5,89.0
Chord {B in octave 1 | B in octave 1} 16th,B1-unison,0.25,91.0
Chord {D in octave 2 | D in octave 2} 16th,D2-unison,0.25,91.25
Chord {E in octave 2 | B in octave 2 | E in octave 2} Quarter,E2-interval class 5,1.0,91.5
Chord {C in octave 5 | C-sharp in octave 5 | C-sharp in octave 6 | F in octave 6 | G-sharp in octave 6} Eighth Triplet (1/3 QL),F6-major seventh chord,1/3,289/3
Chord {D in octave 2 | F-sharp in octave 2} Eighth,D2-interval class 4,0.5,107.0
Chord {G in octave 3 | C in octave 2} 16th,C2-interval class 5,0.25,108.5
Chord {C-sharp in octave 5 | F in octave 5 | G-sharp in octave 5 | C in octave 5} Quarter,F5-major seventh chord,1.0,114.0
Chord {C-sharp in octave 5 | F in octave 5 | B-flat in octave 4 | E-flat in octave 3} Quarter,C#5-perfect-fourth minor tetrachord,1.0,115.5
Chord {E in octave 1 | G-sharp in octave 2} 16th,E1-interval class 4,0.25,124.5
Chord {F-sharp in octave 2 | D in octave 3} Breve tied to Eighth (8 1/2 total QL),D3-interval class 4,8.5,133.0
Chord {E-flat in octave 4 | G in octave 4 | B-flat in octave 3 | B-flat in octave 2} Eighth Triplet (1/3 QL),E-4-major triad,1/3,147.5
Chord {F-sharp in octave 4 | D in octave 4} Breve tied to Quarter (9 total QL),D4-interval class 4,9.0,148.5
Chord {F in octave 3 | C in octave 3 | C in octave 4 | G in octave 1 | A in octave 3 | B in octave 2} 16th,F3-lydian pentachord,0.25,161.5
Chord {A in octave 3 | F in octave 3} Eighth Triplet (1/3 QL),F3-interval class 4,1/3,162.0
Chord {G in octave 4 | B-flat in octave 3} Quarter Triplet (2/3 QL),G4-interval class 3,2/3,162.5
Chord {E-flat in octave 3 | F in octave 1} Eighth Triplet (1/3 QL),F1-interval class 2,1/3,163.5
Chord {D in octave 4 | B-flat in octave 3 | A in octave 4} 16th,B-3-incomplete major-seventh chord,0.25,181.25
Chord {G in octave 3 | F in octave 4} 16th,G3-interval class 2,0.25,182.25
Chord {G in octave 3 | F in octave 4 | A in octave 3} Quarter,F4-whole-tone trichord,1.0,548/3
Chord {D in octave 4 | B-flat in octave 3 | F in octave 3} Quarter,B-3-major triad,1.0,551/3
Chord {C in octave 3 | F in octave 2} Quarter Triplet (2/3 QL),F2-interval class 5,2/3,569/3
Chord {C in octave 5 | A in octave 4} Eighth,A4-interval class 3,0.5,578/3
Chord {B in octave 4 | D in octave 5} Eighth,B4-interval class 3,0.5,193.25
Chord {B-flat in octave 3 | A in octave 4 | D in octave 4} 16th,B-3-incomplete major-seventh chord,0.25,590/3
Chord {A in octave 3 | C in octave 4 | A in octave 4} Zero,A3-interval class 3,0.0,197.0
Chord {A in octave 3 | F in octave 4 | G in octave 3} 16th,F4-whole-tone trichord,0.25,593/3
Chord {G in octave 3 | A in octave 3} Quarter,A3-interval class 2,1.0,198.25
Chord {B-flat in octave 3 | D in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),B-3-interval class 4,3.25,199.25
Chord {F in octave 4 | G-sharp in octave 3 | C-sharp in octave 4} 16th,F4-major triad,0.25,203.0
Chord {B in octave 4 | E in octave 5} Eighth,E5-interval class 5,0.5,626/3
Chord {D in octave 4 | D in octave 3} Eighth,D4-unison,0.5,212.0
