468.0
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 5 | F-sharp in octave 4} Zero,D5-interval class 4,0.0,11.0
Chord {F-sharp in octave 6 | F-sharp in octave 5} 16th,F#6-unison,0.25,42.5
Chord {F-sharp in octave 6 | F-sharp in octave 5} Zero,F#6-unison,0.0,43.0
Chord {E in octave 6 | F in octave 3} 16th,F3-interval class 1,0.25,49.0
Chord {B in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),B3-interval class 3,1/3,60.5
Chord {C in octave 5 | E in octave 3} 16th,C5-interval class 4,0.25,63.5
Chord {A in octave 4 | C in octave 4} Zero,A4-interval class 3,0.0,64.5
Chord {B in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,68.5
Chord {D in octave 5 | B-flat in octave 4 | E in octave 4 | F in octave 4} 16th,B-4-all-interval tetrachord,0.25,69.0
Chord {C-sharp in octave 5 | F in octave 5} Eighth Triplet (1/3 QL),F5-interval class 4,1/3,69.5
Chord {B in octave 5 | G-sharp in octave 5} Eighth Triplet (1/3 QL),G#5-interval class 3,1/3,71.0
Chord {F in octave 4 | C in octave 4} Zero,F4-interval class 5,0.0,74.5
Chord {F-sharp in octave 3 | C in octave 4} Zero,F#3-tritone,0.0,74.5
Chord {F in octave 3 | B in octave 3} 16th,B3-tritone,0.25,76.0
Chord {A in octave 5 | A in octave 4 | E in octave 5} Eighth Triplet (1/3 QL),A5-interval class 5,1/3,76.5
Chord {G in octave 5 | E in octave 5} Double Dotted Quarter,E5-interval class 3,1.75,77.5
Chord {E-flat in octave 4 | D in octave 5} Dotted Eighth,E-4-interval class 1,0.75,81.0
Chord {E in octave 1 | G-sharp in octave 3} Eighth,E1-interval class 4,0.5,83.5
Chord {G-sharp in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),G#4-interval class 3,2/3,86.0
Chord {B in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),G#4-interval class 3,2/3,87.0
Chord {E in octave 4 | B in octave 3 | C in octave 4} Zero,C4-incomplete major-seventh chord,0.0,88.5
Chord {D in octave 5 | C in octave 5} 16th,D5-interval class 2,0.25,89.0
Chord {D in octave 5 | F-sharp in octave 4} Dotted Eighth,D5-interval class 4,0.75,90.0
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth,E-5-unison,0.5,96.0
Chord {D in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),D4-unison,1/3,97.0
Chord {C-sharp in octave 4 | E in octave 4} Eighth,C#4-interval class 3,0.5,103.0
Chord {G in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),G4-interval class 5,1/3,107.5
Chord {A in octave 4 | F in octave 2} Quarter Triplet (2/3 QL),F2-interval class 4,2/3,110.0
Chord {E in octave 1 | E in octave 2} Half,E1-unison,2.0,117.0
Chord {E in octave 4 | A in octave 4 | C in octave 4 | A in octave 3 | G in octave 3 | C in octave 2 | A in octave 3} 16th,A4-minor seventh chord,0.25,120.0
Chord {F-sharp in octave 3 | C in octave 4 | C in octave 6 | C in octave 5 | E in octave 2} Eighth Triplet (1/3 QL),F#3-incomplete half-diminished seventh chord,1/3,122.5
Chord {A in octave 5 | F in octave 3 | E in octave 4 | B in octave 3 | A in octave 4} Eighth Triplet (1/3 QL),F3-minor-second quartal tetrachord,1/3,123.5
Chord {G in octave 5 | A in octave 5} 16th,A5-interval class 2,0.25,125.0
Chord {E-flat in octave 5 | A in octave 5} 16th,A5-tritone,0.25,125.5
Chord {E-flat in octave 4 | G-sharp in octave 4 | E-flat in octave 6 | E-flat in octave 5 | D in octave 2} Eighth Triplet (1/3 QL),E-4-tritone-fourth,1/3,130.5
Chord {E in octave 6 | C in octave 2 | E in octave 4 | B in octave 5} 16th,C2-incomplete major-seventh chord,0.25,131.0
Chord {D in octave 2 | C in octave 6} 16th,D2-interval class 2,0.25,131.5
Chord {F-sharp in octave 5 | F-sharp in octave 6 | E in octave 4} 16th,F#5-interval class 2,0.25,132.5
Chord {C in octave 2 | D in octave 2 | A in octave 3 | G in octave 6 | C-sharp in octave 4 | C in octave 5 | D in octave 6 | G in octave 5} 16th,A3-double-seconds triple-fourth pentachord,0.25,133.5
Chord {B in octave 3 | C in octave 2 | D in octave 2 | A in octave 4} 16th,B3-minor tetramirror,0.25,136.0
Chord {C in octave 2 | C in octave 4 | D in octave 3} Eighth Triplet (1/3 QL),D3-interval class 2,1/3,410/3
Chord {G in octave 2 | E in octave 4 | B in octave 3 | F in octave 3} Quarter,E4-all-interval tetrachord,1.0,138.0
Chord {E in octave 3 | C in octave 3 | E-flat in octave 4} Eighth,C3-major-minor trichord,0.5,139.5
Chord {A in octave 4 | A in octave 3} Quarter,A4-unison,1.0,428/3
Chord {B in octave 4 | E in octave 4 | C in octave 4 | B in octave 3 | D in octave 2} Eighth Triplet (1/3 QL),C4-phrygian tetrachord,1/3,144.0
Chord {F-sharp in octave 4 | E in octave 4 | B in octave 3 | B in octave 4} Eighth,E4-quartal trichord,0.5,434/3
Chord {F-sharp in octave 4 | B in octave 4 | E in octave 4 | B in octave 3} Eighth,E4-quartal trichord,0.5,436/3
Chord {F-sharp in octave 4 | B in octave 4 | B in octave 3 | C in octave 4 | E in octave 4 | D in octave 2} Eighth Triplet (1/3 QL),B4-phrygian pentachord,1/3,146.0
Chord {F-sharp in octave 4 | B in octave 4 | E in octave 4 | D in octave 2} Eighth,B4-perfect-fourth minor tetrachord,0.5,440/3
Chord {E in octave 2 | C in octave 2 | A in octave 3} Eighth Triplet (1/3 QL),A3-minor triad,1/3,149.5
Chord {E in octave 2 | C in octave 2 | C in octave 4} Eighth Triplet (1/3 QL),C2-interval class 4,1/3,150.0
Chord {A in octave 3 | E in octave 2 | C in octave 2 | A in octave 4} Eighth Triplet (1/3 QL),A3-minor triad,1/3,150.5
Chord {A in octave 3 | A in octave 4} Zero,A3-unison,0.0,151.5
Chord {E in octave 2 | C in octave 2 | A in octave 3} Eighth Triplet (1/3 QL),A3-minor triad,1/3,151.5
Chord {F in octave 4 | F-sharp in octave 3} Double Dotted Quarter,F4-interval class 1,1.75,153.5
Chord {E in octave 4 | B in octave 3 | E in octave 2 | C in octave 2 | A in octave 3} Eighth Triplet (1/3 QL),A3-major-second minor tetrachord,1/3,155.5
Chord {C in octave 2 | D in octave 2 | D in octave 4} Zero,D2-interval class 2,0.0,158.0
Chord {C in octave 3 | C in octave 4} 16th,C3-unison,0.25,158.5
Chord {D in octave 4 | D in octave 2 | E-flat in octave 3} Zero,E-3-interval class 1,0.0,159.0
Chord {D in octave 2 | C in octave 2 | A in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),A3-perfect-fourth minor tetrachord,1/3,160.0
Chord {C in octave 2 | A in octave 3} Eighth Triplet (1/3 QL),A3-interval class 3,1/3,161.5
Chord {D in octave 4 | G in octave 4} Quarter,G4-interval class 5,1.0,164.75
Chord {C in octave 2 | D in octave 2 | A in octave 3} Eighth Triplet (1/3 QL),D2-incomplete dominant-seventh chord,1/3,167.5
Chord {C in octave 2 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-tritone,1/3,168.5
Chord {G-sharp in octave 4 | F-sharp in octave 3} Eighth,G#4-interval class 2,0.5,169.0
Chord {D in octave 4 | A in octave 3 | F in octave 2} 16th,D4-minor triad,0.25,173.5
Chord {F-sharp in octave 4 | E in octave 2 | C in octave 2} Zero,F#4-incomplete half-diminished seventh chord,0.0,176.0
Chord {E-flat in octave 4 | B in octave 1} Dotted Quarter,E-4-interval class 4,1.5,176.0
Chord {E in octave 4 | E in octave 2 | C in octave 2} 16th,C2-interval class 4,0.25,533/3
Chord {A in octave 3 | D in octave 2 | C in octave 2} Eighth Triplet (1/3 QL),D2-incomplete dominant-seventh chord,1/3,536/3
Chord {C in octave 2 | A in octave 3} Zero,A3-interval class 3,0.0,181.0
Chord {E in octave 4 | G in octave 3} 16th,E4-interval class 3,0.25,185.5
Chord {D in octave 4 | E-flat in octave 4 | G in octave 2} Eighth,E-4-incomplete major-seventh chord,0.5,187.0
Chord {D in octave 4 | B in octave 3 | F-sharp in octave 3} Zero,B3-minor triad,0.0,187.5
Chord {E in octave 3 | D in octave 4 | B in octave 3} 16th,E3-incomplete dominant-seventh chord,0.25,189.5
Chord {A in octave 3 | E-flat in octave 3 | C in octave 5 | D in octave 4} 16th,A3-perfect-fourth diminished tetrachord,0.25,191.5
Chord {E in octave 3 | G-sharp in octave 3 | D in octave 4} 16th,E3-incomplete dominant-seventh chord,0.25,193.5
Chord {A in octave 4 | G-sharp in octave 4} Eighth,A4-interval class 1,0.5,194.0
Chord {A in octave 3 | E in octave 4} 16th,A3-interval class 5,0.25,195.5
Chord {E in octave 4 | C in octave 4 | A in octave 3} 16th,A3-minor triad,0.25,196.5
Chord {C in octave 4 | E in octave 4} Zero,C4-interval class 4,0.0,197.5
Chord {C in octave 4 | E in octave 4 | A in octave 3} 16th,A3-minor triad,0.25,198.5
Chord {F in octave 4 | A in octave 4} 16th,F4-interval class 4,0.25,199.5
Chord {D in octave 5 | G-sharp in octave 4} Quarter Triplet (2/3 QL),G#4-tritone,2/3,202.0
Chord {G in octave 4 | B in octave 4} 16th,G4-interval class 4,0.25,203.5
Chord {D in octave 5 | A in octave 5} Dotted Eighth,D5-interval class 5,0.75,206.0
Chord {D in octave 4 | G in octave 5} Eighth,G5-interval class 5,0.5,207.0
Chord {D in octave 4 | B-flat in octave 4 | E in octave 3} 16th,E3-incomplete half-diminished seventh chord,0.25,212.0
Chord {F-sharp in octave 4 | C-sharp in octave 4 | G in octave 3 | E-flat in octave 2 | E-flat in octave 3} 16th,C#4-all-interval tetrachord,0.25,216.5
Chord {F in octave 4 | G-sharp in octave 1 | C in octave 4 | F-sharp in octave 3} 16th,F4-all-interval tetrachord,0.25,218.5
Chord {G in octave 1 | G in octave 2} Dotted Eighth,G1-unison,0.75,219.5
Chord {E in octave 4 | G-sharp in octave 4} Eighth,E4-interval class 4,0.5,224.0
Chord {B in octave 1 | G-sharp in octave 4 | B in octave 0 | E-flat in octave 4 | A in octave 3} Eighth,E-4-all-interval tetrachord,0.5,225.5
Chord {D in octave 2 | C in octave 2 | F-sharp in octave 4} Eighth Triplet (1/3 QL),D2-incomplete dominant-seventh chord,1/3,232.5
Chord {C in octave 2 | C in octave 4} Eighth Triplet (1/3 QL),C2-unison,1/3,233.0
Chord {C in octave 2 | A in octave 3} Eighth Triplet (1/3 QL),A3-interval class 3,1/3,233.5
Chord {E-flat in octave 4 | C in octave 2 | D in octave 2} 16th,C2-minor trichord,0.25,237.0
Chord {D in octave 4 | C in octave 2 | D in octave 2 | A in octave 3 | A in octave 3 | F in octave 2} 16th,D4-minor seventh chord,0.25,237.5
Chord {A in octave 4 | C in octave 2} 16th,A4-interval class 3,0.25,239.0
Chord {C in octave 5 | C in octave 2} 16th,C5-unison,0.25,718/3
Chord {D in octave 5 | C in octave 2} 16th,D5-interval class 2,0.25,719/3
Chord {E-flat in octave 4 | B in octave 1} Dotted Quarter,E-4-interval class 4,1.5,240.0
Chord {E in octave 4 | F in octave 2} Eighth Triplet (1/3 QL),F2-interval class 1,1/3,725/3
Chord {D in octave 4 | D in octave 2 | C in octave 2 | A in octave 3} Eighth Triplet (1/3 QL),D4-incomplete dominant-seventh chord,1/3,242.0
Chord {D in octave 2 | C in octave 2 | A in octave 3} Eighth Triplet (1/3 QL),D2-incomplete dominant-seventh chord,1/3,731/3
Chord {G-sharp in octave 3 | G in octave 4 | D in octave 5 | D in octave 4} 16th,G#3-tritone-fourth,0.25,262.0
Chord {G-sharp in octave 1 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-4-interval class 5,1/3,267.0
Chord {G in octave 5 | D in octave 4 | D in octave 5 | B in octave 3} Zero,G5-major triad,0.0,270.5
Chord {C-sharp in octave 5 | C in octave 6} 16th,C#5-interval class 1,0.25,273.0
Chord {C-sharp in octave 5 | B in octave 5} 16th,C#5-interval class 2,0.25,273.5
Chord {E-flat in octave 5 | E in octave 2 | C-sharp in octave 5} 16th,C#5-minor trichord,0.25,275.0
Chord {E in octave 2 | E in octave 4} Eighth Triplet (1/3 QL),E2-unison,1/3,280.5
Chord {G in octave 3 | C-sharp in octave 5} Zero,C#5-tritone,0.0,281.0
Chord {D in octave 2 | C-sharp in octave 5} 16th,D2-interval class 1,0.25,281.0
Chord {C-sharp in octave 5 | C-sharp in octave 6} 16th,C#5-unison,0.25,283.0
Chord {D in octave 5 | D in octave 6} Zero,D5-unison,0.0,283.25
Chord {G-sharp in octave 4 | C in octave 3} Eighth,C3-interval class 4,0.5,287.0
Chord {E-flat in octave 3 | B in octave 1} Half Tuplet of 6/5ths (1 2/3 QL),E-3-interval class 4,5/3,290.0
Chord {C-sharp in octave 6 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C#6-unison,1/3,293.5
Chord {C-sharp in octave 5 | D in octave 4 | D in octave 6} 16th,D4-interval class 1,0.25,295.0
Chord {G in octave 4 | D in octave 4} 16th,G4-interval class 5,0.25,295.25
Chord {A in octave 1 | E in octave 4} 16th,A1-interval class 5,0.25,298.5
Chord {G in octave 1 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,299.0
Chord {E-flat in octave 4 | F in octave 3 | C-sharp in octave 5 | D in octave 5 | D in octave 6} Eighth Triplet (1/3 QL),D5-major-second tetracluster,1/3,301.0
Chord {F in octave 3 | B in octave 1} 16th,B1-tritone,0.25,305.0
Chord {B in octave 1 | C in octave 5} 16th,C5-interval class 1,0.25,310.5
Chord {E in octave 3 | B in octave 1} 16th,E3-interval class 5,0.25,324.5
Chord {B-flat in octave 5 | F in octave 4 | D in octave 4} 16th,B-5-major triad,0.25,327.25
Chord {C-sharp in octave 5 | G in octave 5} 16th,C#5-tritone,0.25,327.5
Chord {G in octave 4 | D in octave 5} Zero,G4-interval class 5,0.0,343.0
Chord {F-sharp in octave 5 | C-sharp in octave 5} 16th,F#5-interval class 5,0.25,343.5
Chord {C in octave 6 | C-sharp in octave 5} 16th,C6-interval class 1,0.25,345.0
Chord {E in octave 3 | B in octave 3} 16th,E3-interval class 5,0.25,350.0
Chord {B in octave 1 | D in octave 5} Eighth,B1-interval class 3,0.5,359.0
Chord {C in octave 2 | C-sharp in octave 5 | F in octave 3} Eighth Triplet (1/3 QL),F3-incomplete major-seventh chord,1/3,365.0
Chord {D in octave 5 | A in octave 5} 16th,D5-interval class 5,0.25,367.0
Chord {C-sharp in octave 5 | G-sharp in octave 1} Eighth Triplet (1/3 QL),C#5-interval class 5,1/3,373.0
Chord {A in octave 1 | C in octave 4} Eighth,A1-interval class 3,0.5,375.0
Chord {A in octave 1 | E in octave 4} Quarter,A1-interval class 5,1.0,375.5
Chord {D in octave 2 | C-sharp in octave 5} Eighth Triplet (1/3 QL),D2-interval class 1,1/3,377.0
Chord {C in octave 5 | D in octave 4} 16th,D4-interval class 2,0.25,384.5
Chord {D in octave 4 | E-flat in octave 3} Eighth Triplet (1/3 QL),E-3-interval class 1,1/3,386.75
Chord {E in octave 3 | E in octave 2} Quarter,E3-unison,1.0,387.5
Chord {E-flat in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),E-4-interval class 1,1/3,388.5
Chord {E-flat in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),E-4-interval class 1,1/3,390.5
Chord {C-sharp in octave 5 | B in octave 5} 16th,C#5-interval class 2,0.25,391.5
Chord {E in octave 4 | D in octave 4} Zero,E4-interval class 2,0.0,396.5
Chord {E in octave 2 | C in octave 2} Eighth Triplet (1/3 QL),C2-interval class 4,1/3,398.0
Chord {E in octave 2 | C in octave 2} Zero,C2-interval class 4,0.0,1198/3
Chord {E in octave 2 | C in octave 2} Zero,C2-interval class 4,0.0,1199/3
Chord {E in octave 2 | C in octave 2} Zero,C2-interval class 4,0.0,1201/3
Chord {C in octave 2 | E in octave 2} Zero,C2-interval class 4,0.0,1202/3
Chord {D in octave 2 | C in octave 2 | C in octave 4} Eighth Triplet (1/3 QL),D2-interval class 2,1/3,1207/3
Chord {G in octave 3 | D in octave 2} Eighth Triplet (1/3 QL),G3-interval class 5,1/3,403.5
Chord {E in octave 4 | A in octave 4 | C in octave 4 | A in octave 3 | G in octave 3} 16th,A4-minor seventh chord,0.25,408.0
Chord {F-sharp in octave 3 | C in octave 4 | C in octave 6 | C in octave 5 | E in octave 2} Eighth Triplet (1/3 QL),F#3-incomplete half-diminished seventh chord,1/3,410.5
Chord {A in octave 5 | F in octave 3 | E in octave 4 | B in octave 3 | A in octave 4} Eighth Triplet (1/3 QL),F3-minor-second quartal tetrachord,1/3,411.5
Chord {G in octave 5 | A in octave 5} 16th,A5-interval class 2,0.25,413.0
Chord {E-flat in octave 5 | A in octave 5} 16th,A5-tritone,0.25,413.5
Chord {E-flat in octave 4 | G-sharp in octave 4 | E-flat in octave 6 | E-flat in octave 5 | D in octave 2} Eighth Triplet (1/3 QL),E-4-tritone-fourth,1/3,418.5
Chord {E in octave 6 | C in octave 2 | E in octave 4 | B in octave 5} 16th,C2-incomplete major-seventh chord,0.25,419.0
Chord {D in octave 2 | C in octave 6} 16th,D2-interval class 2,0.25,419.5
Chord {F-sharp in octave 5 | F-sharp in octave 6 | E in octave 4} 16th,F#5-interval class 2,0.25,420.5
Chord {C in octave 2 | D in octave 2 | G in octave 6 | C-sharp in octave 4 | C in octave 5 | D in octave 6 | G in octave 5} 16th,C2-perfect fourth tetramirror,0.25,421.5
Chord {B in octave 3 | C in octave 2 | D in octave 2 | A in octave 4} 16th,B3-minor tetramirror,0.25,424.0
Chord {C in octave 2 | C in octave 4 | D in octave 3} Eighth Triplet (1/3 QL),D3-interval class 2,1/3,1274/3
Chord {G in octave 2 | E in octave 4 | B in octave 3 | F in octave 3} Quarter,E4-all-interval tetrachord,1.0,426.0
Chord {E in octave 3 | C in octave 3 | E-flat in octave 4} Eighth,C3-major-minor trichord,0.5,427.5
Chord {G in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),G4-unison,1/3,431.5
Chord {B in octave 4 | E in octave 4 | C in octave 4 | B in octave 3 | D in octave 2} Eighth Triplet (1/3 QL),C4-phrygian tetrachord,1/3,432.0
Chord {F-sharp in octave 4 | E in octave 4 | B in octave 3 | B in octave 4} Eighth,E4-quartal trichord,0.5,1298/3
Chord {F-sharp in octave 4 | B in octave 4 | E in octave 4 | B in octave 3} Eighth,E4-quartal trichord,0.5,1300/3
