311.75
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 4 | B-flat in octave 2 | G-sharp in octave 3} Eighth,G#3-incomplete dominant-seventh chord,0.5,20.0
Chord {G-sharp in octave 4 | B in octave 2 | A in octave 3} Eighth,G#4-phrygian trichord,0.5,21.0
Chord {G in octave 4 | C in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),C3-interval class 5,5/3,22.0
Chord {F in octave 4 | A in octave 3 | C in octave 4 | F in octave 2 | F in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),F4-major triad,5/3,24.0
Chord {A in octave 4 | C in octave 4 | F in octave 4 | E-flat in octave 2 | E-flat in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),F4-dominant seventh chord,5/3,26.0
Chord {G in octave 4 | B-flat in octave 3 | F in octave 4} Dotted Eighth,G4-incomplete minor-seventh chord,0.75,28.0
Chord {B in octave 3 | E-flat in octave 4 | G in octave 4} Quarter,E-4-augmented triad,1.0,89/3
Chord {C in octave 4 | F in octave 4 | A in octave 4} Dotted Eighth,F4-major triad,0.75,32.0
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} Dotted Eighth,B-3-major triad,0.75,34.0
Chord {A in octave 3 | C in octave 4 | E in octave 4 | F in octave 4} Dotted Half,F4-major seventh chord,3.0,107/3
Chord {A in octave 3 | C in octave 4 | F in octave 4 | F in octave 2 | F in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),F4-major triad,5/3,40.0
Chord {C in octave 4 | F in octave 4 | A in octave 4 | E-flat in octave 2 | E-flat in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),F4-dominant seventh chord,5/3,42.0
Chord {B-flat in octave 3 | F in octave 4 | B-flat in octave 4} Dotted Eighth,B-3-interval class 5,0.75,44.0
Chord {B in octave 3 | F in octave 4 | B in octave 4} Quarter,B3-tritone,1.0,137/3
Chord {D in octave 4 | F in octave 4 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor triad,5/3,48.0
Chord {E-flat in octave 4 | F-sharp in octave 4 | A in octave 4} Half Triplet (1 1/3 QL),F#4-diminished triad,4/3,50.0
Chord {E in octave 4 | G in octave 4 | B-flat in octave 4} Double Dotted Quarter,E4-diminished triad,1.75,155/3
Chord {E in octave 4 | G-sharp in octave 4 | D in octave 5} Double Dotted Quarter,E4-incomplete dominant-seventh chord,1.75,161/3
Chord {D in octave 4 | B in octave 2} Half Tuplet of 6/5ths (1 2/3 QL),B2-interval class 3,5/3,68.0
Chord {D in octave 4 | C in octave 3 | B-flat in octave 3} Eighth,B-3-whole-tone trichord,0.5,70.0
Chord {B-flat in octave 3 | E in octave 4 | C in octave 5 | C in octave 2} Whole,C5-incomplete dominant-seventh chord,4.0,71.0
Chord {A in octave 4 | C in octave 3} Eighth,A4-interval class 3,0.5,78.0
Chord {C in octave 4 | F in octave 4 | C in octave 5 | A in octave 2} Half Tuplet of 6/5ths (1 2/3 QL),F4-major triad,5/3,80.0
Chord {D in octave 4 | F in octave 4 | C in octave 5 | B-flat in octave 2} Half Tuplet of 6/5ths (1 2/3 QL),B-2-major-second major tetrachord,5/3,82.0
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F in octave 4 | F in octave 2} Dotted Eighth,D4-minor seventh chord,0.75,257/3
