263.0
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 2 | C in octave 5} Quarter Triplet (2/3 QL),F2-interval class 5,2/3,20.0
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,25.5
Chord {F in octave 2 | C in octave 6 | F in octave 5} Quarter Triplet (2/3 QL),F2-interval class 5,2/3,28.0
Chord {D in octave 3 | F in octave 5 | C in octave 6} Quarter Triplet (2/3 QL),D3-incomplete minor-seventh chord,2/3,35.0
Chord {C in octave 3 | F in octave 5 | C-sharp in octave 6} Eighth Triplet (1/3 QL),F5-incomplete major-seventh chord,1/3,107/3
Chord {F in octave 3 | F in octave 5 | C-sharp in octave 6} Eighth Triplet (1/3 QL),F3-interval class 4,1/3,110/3
Chord {F in octave 2 | F in octave 6 | A in octave 5} Quarter Triplet (2/3 QL),F2-interval class 4,2/3,40.0
Chord {C in octave 3 | G in octave 6 | B-flat in octave 5} Eighth Triplet (1/3 QL),C3-incomplete dominant-seventh chord,1/3,122/3
Chord {D in octave 3 | B in octave 5 | G-sharp in octave 6} Quarter Triplet (2/3 QL),G#6-diminished triad,2/3,41.0
Chord {C in octave 6 | A in octave 6} 16th,A6-interval class 3,0.25,125/3
Chord {G in octave 2 | A in octave 5} Eighth Triplet (1/3 QL),A5-interval class 2,1/3,143/3
Chord {C in octave 3 | C in octave 5} Eighth Triplet (1/3 QL),C3-unison,1/3,152/3
Chord {C in octave 3 | G in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),C3-incomplete dominant-seventh chord,1/3,155/3
Chord {F in octave 2 | C in octave 5} Quarter Triplet (2/3 QL),F2-interval class 5,2/3,52.0
Chord {C in octave 3 | G-sharp in octave 5 | B in octave 4} Eighth Triplet (1/3 QL),C3-major-minor trichord,1/3,161/3
Chord {C in octave 3 | B in octave 4 | G-sharp in octave 5} Eighth Triplet (1/3 QL),C3-major-minor trichord,1/3,164/3
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,57.5
Chord {F in octave 2 | C in octave 6 | F in octave 5} Quarter Triplet (2/3 QL),F2-interval class 5,2/3,60.0
Chord {C in octave 3 | B in octave 5 | F in octave 5} Eighth Triplet (1/3 QL),B5-tritone-fourth,1/3,185/3
Chord {C in octave 3 | F in octave 5 | B in octave 5} Eighth Triplet (1/3 QL),B5-tritone-fourth,1/3,188/3
Chord {D in octave 3 | F in octave 5 | C in octave 6} Quarter Triplet (2/3 QL),D3-incomplete minor-seventh chord,2/3,67.0
Chord {F in octave 2 | F in octave 6 | A in octave 5} Quarter Triplet (2/3 QL),F2-interval class 4,2/3,72.0
Chord {D in octave 3 | B in octave 5 | G-sharp in octave 6} Quarter Triplet (2/3 QL),G#6-diminished triad,2/3,73.0
Chord {B-flat in octave 2 | F in octave 5 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-2-interval class 5,2/3,84.0
Chord {G in octave 3 | F in octave 5 | D in octave 6} Quarter Triplet (2/3 QL),G3-incomplete dominant-seventh chord,2/3,85.0
Chord {F in octave 2 | C in octave 6 | E in octave 5} Quarter Triplet (2/3 QL),F2-incomplete major-seventh chord,2/3,92.0
Chord {F in octave 2 | B-flat in octave 5 | D in octave 5} Quarter Triplet (2/3 QL),B-5-major triad,2/3,94.0
Chord {D in octave 3 | A in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),D3-incomplete dominant-seventh chord,2/3,99.0
Chord {G in octave 2 | E in octave 5 | C in octave 6} Quarter Triplet (2/3 QL),C6-major triad,2/3,104.0
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,326/3
Chord {B-flat in octave 5 | D in octave 5} Quarter Triplet (2/3 QL),B-5-interval class 4,2/3,109.0
Chord {E in octave 6 | G in octave 5} Quarter Triplet (2/3 QL),E6-interval class 3,2/3,110.0
Chord {B-flat in octave 5 | D in octave 5} Quarter Triplet (2/3 QL),B-5-interval class 4,2/3,111.0
Chord {G in octave 2 | A in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),F5-whole-tone trichord,1/3,115.0
Chord {G in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),G5-interval class 3,1/3,347/3
Chord {F in octave 2 | C in octave 5} Quarter Triplet (2/3 QL),F2-interval class 5,2/3,116.0
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,121.5
Chord {F in octave 2 | C in octave 6 | F in octave 5} Quarter Triplet (2/3 QL),F2-interval class 5,2/3,124.0
Chord {D in octave 3 | F in octave 5 | C in octave 6} Quarter Triplet (2/3 QL),D3-incomplete minor-seventh chord,2/3,131.0
Chord {C in octave 3 | F in octave 5 | C-sharp in octave 6} Eighth Triplet (1/3 QL),F5-incomplete major-seventh chord,1/3,395/3
Chord {F in octave 3 | F in octave 5 | C-sharp in octave 6} Eighth Triplet (1/3 QL),F3-interval class 4,1/3,398/3
Chord {F in octave 2 | F in octave 6 | A in octave 5} Quarter Triplet (2/3 QL),F2-interval class 4,2/3,136.0
Chord {C in octave 3 | G in octave 6 | B-flat in octave 5} Eighth Triplet (1/3 QL),C3-incomplete dominant-seventh chord,1/3,410/3
Chord {D in octave 3 | B in octave 5 | G-sharp in octave 6} Quarter Triplet (2/3 QL),G#6-diminished triad,2/3,137.0
Chord {C in octave 6 | A in octave 6} 16th,A6-interval class 3,0.25,413/3
Chord {G in octave 2 | A in octave 5} Eighth Triplet (1/3 QL),A5-interval class 2,1/3,431/3
Chord {B-flat in octave 2 | F in octave 5 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-2-interval class 5,2/3,180.0
Chord {G in octave 3 | F in octave 5 | D in octave 6} Quarter Triplet (2/3 QL),G3-incomplete dominant-seventh chord,2/3,181.0
Chord {F in octave 3 | F in octave 5 | D in octave 6} Eighth Triplet (1/3 QL),D6-interval class 3,1/3,551/3
Chord {F in octave 2 | C in octave 6 | E in octave 5} Quarter Triplet (2/3 QL),F2-incomplete major-seventh chord,2/3,188.0
Chord {F in octave 2 | B-flat in octave 5 | D in octave 5} Quarter Triplet (2/3 QL),B-5-major triad,2/3,190.0
Chord {D in octave 3 | A in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),D3-incomplete dominant-seventh chord,2/3,195.0
Chord {C in octave 3 | B-flat in octave 5 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C3-minor trichord,1/3,587/3
Chord {D in octave 3 | C-sharp in octave 5 | B-flat in octave 5} Eighth Triplet (1/3 QL),B-5-major-minor trichord,1/3,593/3
Chord {D in octave 3 | E-flat in octave 5 | B in octave 5} Eighth Triplet (1/3 QL),E-5-major-minor trichord,1/3,599/3
Chord {G in octave 2 | E in octave 5 | C in octave 6} Quarter Triplet (2/3 QL),C6-major triad,2/3,200.0
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,614/3
Chord {B-flat in octave 5 | D in octave 5} Quarter Triplet (2/3 QL),B-5-interval class 4,2/3,205.0
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,617/3
Chord {E in octave 6 | G in octave 5} Quarter Triplet (2/3 QL),E6-interval class 3,2/3,206.0
Chord {C in octave 6 | E in octave 5} Eighth Triplet (1/3 QL),C6-interval class 4,1/3,620/3
Chord {B-flat in octave 5 | D in octave 5} Quarter Triplet (2/3 QL),B-5-interval class 4,2/3,207.0
Chord {G in octave 2 | A in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),F5-whole-tone trichord,1/3,211.0
Chord {G in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),G5-interval class 3,1/3,635/3
Chord {F in octave 2 | C in octave 5} Quarter Triplet (2/3 QL),F2-interval class 5,2/3,212.0
Chord {C in octave 3 | B in octave 4 | G-sharp in octave 5} Eighth Triplet (1/3 QL),C3-major-minor trichord,1/3,641/3
Chord {C in octave 3 | B in octave 4 | G-sharp in octave 5} Eighth Triplet (1/3 QL),C3-major-minor trichord,1/3,644/3
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,217.5
Chord {F in octave 2 | C in octave 6 | F in octave 5} Quarter Triplet (2/3 QL),F2-interval class 5,2/3,220.0
Chord {C in octave 3 | B in octave 5 | F in octave 5} Eighth Triplet (1/3 QL),B5-tritone-fourth,1/3,665/3
Chord {C in octave 3 | F in octave 5 | B in octave 5} Eighth Triplet (1/3 QL),B5-tritone-fourth,1/3,668/3
Chord {D in octave 3 | F in octave 5 | C in octave 6} Quarter Triplet (2/3 QL),D3-incomplete minor-seventh chord,2/3,227.0
Chord {C in octave 3 | F in octave 5 | C-sharp in octave 6} Eighth Triplet (1/3 QL),F5-incomplete major-seventh chord,1/3,683/3
Chord {F in octave 3 | F in octave 5 | C-sharp in octave 6} Eighth Triplet (1/3 QL),F3-interval class 4,1/3,686/3
Chord {F in octave 2 | F in octave 6 | A in octave 5} Quarter Triplet (2/3 QL),F2-interval class 4,2/3,232.0
Chord {C in octave 3 | G in octave 6 | B-flat in octave 5} Eighth Triplet (1/3 QL),C3-incomplete dominant-seventh chord,1/3,698/3
Chord {D in octave 3 | B in octave 5 | G-sharp in octave 6} Quarter Triplet (2/3 QL),G#6-diminished triad,2/3,233.0
Chord {C in octave 6 | A in octave 6} 16th,A6-interval class 3,0.25,701/3
Chord {G in octave 2 | A in octave 5} Eighth Triplet (1/3 QL),A5-interval class 2,1/3,719/3
Chord {C in octave 3 | F in octave 5 | C-sharp in octave 6} Eighth Triplet (1/3 QL),F5-incomplete major-seventh chord,1/3,731/3
Chord {F in octave 3 | F in octave 5 | C-sharp in octave 6} Eighth Triplet (1/3 QL),F3-interval class 4,1/3,734/3
Chord {F in octave 2 | F in octave 6 | A in octave 5} Quarter Triplet (2/3 QL),F2-interval class 4,2/3,248.0
Chord {C in octave 3 | G in octave 6 | B-flat in octave 5} Eighth Triplet (1/3 QL),C3-incomplete dominant-seventh chord,1/3,746/3
Chord {D in octave 3 | B in octave 5 | G-sharp in octave 6} Quarter Triplet (2/3 QL),G#6-diminished triad,2/3,249.0
Chord {C in octave 6 | A in octave 6} 16th,A6-interval class 3,0.25,749/3
Chord {F in octave 3 | F in octave 5} Eighth Triplet (1/3 QL),F3-unison,1/3,256.0
Chord {F-sharp in octave 3 | F-sharp in octave 5} Eighth Triplet (1/3 QL),F#3-unison,1/3,769/3
Chord {G-sharp in octave 3 | G-sharp in octave 5} Eighth Triplet (1/3 QL),G#3-unison,1/3,257.0
Chord {A in octave 3 | A in octave 5} Eighth Triplet (1/3 QL),A3-unison,1/3,772/3
Chord {B in octave 3 | B in octave 5} Eighth Triplet (1/3 QL),B3-unison,1/3,258.0
Chord {C in octave 4 | C in octave 6} Eighth Triplet (1/3 QL),C4-unison,1/3,775/3
Chord {D in octave 4 | D in octave 6} Eighth Triplet (1/3 QL),D4-unison,1/3,259.0
Chord {E-flat in octave 4 | E-flat in octave 6} Eighth Triplet (1/3 QL),E-4-unison,1/3,778/3
Chord {F in octave 4 | F in octave 6} Eighth Triplet (1/3 QL),F4-unison,1/3,260.0
Chord {C in octave 2 | C in octave 4 | C in octave 6} Eighth Triplet (1/3 QL),C2-unison,1/3,261.0
Chord {F in octave 2 | F in octave 3 | F in octave 5} Eighth Triplet (1/3 QL),F2-unison,1/3,262.0
Chord {C in octave 3 | C in octave 5} Eighth Triplet (1/3 QL),C3-unison,1/3,56/3
Chord {A in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),F5-interval class 4,1/3,19.0
Chord {C in octave 3 | G in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),C3-incomplete dominant-seventh chord,1/3,59/3
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,21.0
Chord {C in octave 3 | B in octave 4 | G-sharp in octave 5} Eighth Triplet (1/3 QL),C3-major-minor trichord,1/3,65/3
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,22.0
Chord {C in octave 3 | B in octave 4 | G-sharp in octave 5} Eighth Triplet (1/3 QL),C3-major-minor trichord,1/3,68/3
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,23.0
Chord {F in octave 5 | C in octave 6} Eighth Triplet (1/3 QL),F5-interval class 5,1/3,29.0
