600.0
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 4 | C in octave 4 | G-sharp in octave 3} Eighth,C4-major triad,0.5,21.0
Chord {C in octave 4 | G-sharp in octave 4 | E-flat in octave 4 | G-sharp in octave 3} Eighth,C4-major triad,0.5,26.0
Chord {C in octave 4 | G-sharp in octave 4 | E-flat in octave 4 | G-sharp in octave 3} Eighth,C4-major triad,0.5,27.0
Chord {C in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth,C4-major triad,0.5,29.0
Chord {C in octave 4 | G-sharp in octave 4 | E-flat in octave 4 | G-sharp in octave 3} Eighth,C4-major triad,0.5,34.0
Chord {C in octave 4 | G-sharp in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth,C4-major triad,0.5,35.0
Chord {C in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth,C4-major triad,0.5,37.0
Chord {C in octave 4 | G-sharp in octave 4 | E-flat in octave 4 | G-sharp in octave 3} Eighth,C4-major triad,0.5,42.0
Chord {C in octave 4 | G-sharp in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth,C4-major triad,0.5,43.0
Chord {C in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth,C4-major triad,0.5,45.0
Chord {C in octave 4 | G-sharp in octave 4 | E-flat in octave 4 | G-sharp in octave 3} Eighth,C4-major triad,0.5,50.0
Chord {C in octave 4 | G-sharp in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth,C4-major triad,0.5,51.0
Chord {C in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth,C4-major triad,0.5,53.0
Chord {C in octave 4 | G-sharp in octave 4 | E-flat in octave 4 | G-sharp in octave 3} Eighth,C4-major triad,0.5,58.0
Chord {C in octave 4 | G-sharp in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth,C4-major triad,0.5,59.0
Chord {C in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth,C4-major triad,0.5,61.0
Chord {C in octave 4 | G-sharp in octave 4 | E-flat in octave 4 | G-sharp in octave 3} Eighth,C4-major triad,0.5,66.0
