394.0
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 4 | G in octave 4 | A in octave 4 | D in octave 5} Dotted Eighth,E4-quartal tetramirror,0.75,4.0
Chord {E in octave 4 | F-sharp in octave 4 | A in octave 4 | D in octave 5} 16th,D5-major-second major tetrachord,0.25,4.75
Chord {E in octave 4 | G in octave 4 | A in octave 4 | D in octave 5} 16th,E4-quartal tetramirror,0.25,5.0
Chord {E in octave 4 | G in octave 4 | A in octave 4 | D in octave 5} 16th,E4-quartal tetramirror,0.25,5.5
Chord {E in octave 4 | G in octave 4 | A in octave 4 | D in octave 5} 16th,E4-quartal tetramirror,0.25,6.0
Chord {E in octave 4 | G in octave 4 | A in octave 4 | D in octave 5} 16th,E4-quartal tetramirror,0.25,6.5
Chord {E in octave 4 | G in octave 4 | A in octave 4 | D in octave 5} 16th,E4-quartal tetramirror,0.25,7.0
Chord {A in octave 3 | C in octave 4 | D in octave 4} Dotted Eighth,D4-incomplete dominant-seventh chord,0.75,8.0
Chord {A in octave 3 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,8.75
Chord {A in octave 3 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,9.0
Chord {A in octave 3 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,9.5
Chord {A in octave 3 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,10.0
Chord {A in octave 3 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,10.5
Chord {A in octave 3 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,11.0
Chord {G in octave 3 | B in octave 3 | D in octave 4} Dotted Eighth,G3-major triad,0.75,13.0
Chord {B in octave 3 | D in octave 4} Dotted Eighth,B3-interval class 3,0.75,16.0
Chord {B in octave 3 | D in octave 4} Eighth,B3-interval class 3,0.5,17.0
Chord {B in octave 3 | D in octave 4} Eighth,B3-interval class 3,0.5,17.5
Chord {B in octave 3 | D in octave 4} Eighth,B3-interval class 3,0.5,18.0
Chord {B in octave 3 | D in octave 4} Eighth,B3-interval class 3,0.5,18.5
Chord {B in octave 3 | D in octave 4 | G in octave 4} Eighth,G4-major triad,0.5,19.0
Chord {B in octave 3 | D in octave 4 | G in octave 4} Eighth,G4-major triad,0.5,19.5
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,20.0
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,20.5
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,21.0
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,22.5
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,23.0
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,24.0
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,24.5
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,25.0
Chord {B-flat in octave 3 | E in octave 4} Eighth,E4-tritone,0.5,26.5
Chord {B-flat in octave 3 | E in octave 4 | G in octave 4} Eighth,E4-diminished triad,0.5,27.0
Chord {B-flat in octave 3 | E in octave 4 | G in octave 4} Eighth,E4-diminished triad,0.5,27.5
Chord {G in octave 3 | B in octave 3} Eighth,G3-interval class 4,0.5,30.5
Chord {G in octave 3 | B in octave 3} Dotted Eighth,G3-interval class 4,0.75,31.0
Chord {G in octave 3 | B in octave 3} Eighth,G3-interval class 4,0.5,32.0
Chord {G in octave 3 | B in octave 3} Eighth,G3-interval class 4,0.5,32.5
Chord {G in octave 3 | B in octave 3} Dotted Eighth,G3-interval class 4,0.75,33.0
Chord {B in octave 3 | D in octave 4 | G in octave 4} Eighth,G4-major triad,0.5,35.0
Chord {B in octave 3 | D in octave 4 | G in octave 4} Eighth,G4-major triad,0.5,35.5
Chord {E in octave 4 | G in octave 4 | B-flat in octave 4} Eighth,E4-diminished triad,0.5,36.0
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,36.5
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,37.0
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,38.5
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,39.0
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,40.0
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,40.5
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,41.0
Chord {B-flat in octave 3 | E in octave 4} Eighth,E4-tritone,0.5,42.5
Chord {B-flat in octave 3 | E in octave 4 | G in octave 4} Eighth,E4-diminished triad,0.5,43.0
Chord {B-flat in octave 3 | E in octave 4 | G in octave 4} Eighth,E4-diminished triad,0.5,43.5
Chord {G in octave 3 | B in octave 3} Eighth,G3-interval class 4,0.5,46.5
Chord {G in octave 3 | B in octave 3} Dotted Eighth,G3-interval class 4,0.75,47.0
Chord {G in octave 3 | B in octave 3} Eighth,G3-interval class 4,0.5,48.0
Chord {G in octave 3 | B in octave 3} Eighth,G3-interval class 4,0.5,48.5
Chord {G in octave 3 | B in octave 3} Dotted Eighth,G3-interval class 4,0.75,49.0
