543.25
4/4
FullName,CommonName,Len,Offset
Chord {A in octave 3 | C in octave 4 | F in octave 4 | D in octave 2} Half tied to 16th (2 1/4 total QL),D2-minor seventh chord,2.25,56.0
Chord {E in octave 2 | B in octave 3 | D in octave 4 | G in octave 4} Dotted Eighth,E2-minor seventh chord,0.75,62.0
Chord {E in octave 2 | D in octave 4 | B in octave 3 | G in octave 4} 16th,E2-minor seventh chord,0.25,63.0
Chord {A in octave 3 | F in octave 4 | C in octave 4} Half Triplet (1 1/3 QL),F4-major triad,4/3,65.0
Chord {B in octave 3 | D in octave 4 | G in octave 4 | E in octave 2} Eighth Triplet (1/3 QL),E2-minor seventh chord,1/3,70.5
Chord {E in octave 2 | B in octave 3 | D in octave 4 | G in octave 4} 16th,E2-minor seventh chord,0.25,71.0
Chord {D in octave 2 | C in octave 4} Dotted Quarter,D2-interval class 2,1.5,73.0
Chord {E in octave 2 | B in octave 3 | D in octave 4 | G in octave 4} Dotted Eighth,E2-minor seventh chord,0.75,78.0
Chord {E in octave 2 | B in octave 3 | D in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),E2-minor seventh chord,1/3,79.0
Chord {D in octave 2 | A in octave 3 | C in octave 4 | F in octave 4} Quarter,D2-minor seventh chord,1.0,81.0
Chord {E in octave 3 | D in octave 3} Zero,E3-interval class 2,0.0,259/3
Chord {C in octave 3 | B in octave 2} Zero,C3-interval class 1,0.0,86.5
Chord {A in octave 2 | G in octave 2} Zero,A2-interval class 2,0.0,86.5
Chord {E in octave 2 | D in octave 2} Zero,E2-interval class 2,0.0,86.75
Chord {B in octave 1 | C in octave 2} Zero,C2-interval class 1,0.0,87.0
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F in octave 4} Quarter,D4-minor seventh chord,1.0,89.0
Chord {A in octave 3 | C in octave 4 | E in octave 4 | G in octave 4} Zero,A3-minor seventh chord,0.0,90.5
Chord {A in octave 3 | C in octave 4 | F in octave 4 | D in octave 4} Zero,D4-minor seventh chord,0.0,97.0
Chord {F in octave 3 | B-flat in octave 3} 16th,B-3-interval class 5,0.25,101.5
Chord {A in octave 2 | G in octave 3 | A in octave 3 | C in octave 4} Quarter,A2-incomplete minor-seventh chord,1.0,102.0
Chord {F in octave 4 | A in octave 3 | C in octave 4 | D in octave 4} Zero,D4-minor seventh chord,0.0,105.0
Chord {B-flat in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B-3-interval class 4,5/3,107.5
Chord {B-flat in octave 3 | F in octave 3} 16th,B-3-interval class 5,0.25,328/3
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F in octave 4} Zero,D4-minor seventh chord,0.0,113.0
