596.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 3 | B-flat in octave 3} Half tied to Quarter tied to 16th (3 1/4 total QL),G3-interval class 3,3.25,947/3
Chord {A in octave 3 | C in octave 4} Dotted Half,A3-interval class 3,3.0,959/3
Chord {C in octave 4 | E in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-interval class 4,3.25,303.75
Chord {D in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Breve,D3-minor seventh chord,8.0,292.0
Chord {G in octave 2 | G in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Whole,G2-minor seventh chord,4.0,300.0
Chord {A in octave 2 | A in octave 3 | C in octave 4 | D in octave 4 | E in octave 4} Whole,A2-perfect-fourth minor tetrachord,4.0,304.0
Chord {D in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Breve,D3-minor seventh chord,8.0,308.0
Chord {G in octave 2 | G in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Whole,G2-minor seventh chord,4.0,316.0
Chord {A in octave 2 | A in octave 3 | C in octave 4 | D in octave 4 | E in octave 4} Triple Dotted Half (3 3/4 QL),A2-perfect-fourth minor tetrachord,3.75,320.0
Chord {C in octave 4 | F in octave 4} Half,F4-interval class 5,2.0,468.0
Chord {C in octave 4 | E in octave 4} Half,C4-interval class 4,2.0,470.0
Chord {B-flat in octave 3 | D in octave 4} Half,B-3-interval class 4,2.0,472.0
Chord {C in octave 4 | E in octave 4} Half,C4-interval class 4,2.0,474.0
Chord {C in octave 4 | F in octave 4} Half,F4-interval class 5,2.0,476.0
Chord {C in octave 4 | E in octave 4} Half,C4-interval class 4,2.0,478.0
Chord {B-flat in octave 3 | D in octave 4} Half,B-3-interval class 4,2.0,480.0
Chord {C in octave 4 | E in octave 4} Half,C4-interval class 4,2.0,482.0
Chord {D in octave 4 | A in octave 4} Half,D4-interval class 5,2.0,484.0
Chord {E in octave 4 | G in octave 4} Half,E4-interval class 3,2.0,486.0
Chord {B-flat in octave 3 | D in octave 4} Half,B-3-interval class 4,2.0,488.0
Chord {A in octave 3 | E in octave 4} Half,A3-interval class 5,2.0,490.0
Chord {D in octave 4 | F in octave 4} Half,D4-interval class 3,2.0,492.0
Chord {A in octave 3 | E in octave 4} Half,A3-interval class 5,2.0,494.0
Chord {B-flat in octave 3 | F in octave 4} Half,B-3-interval class 5,2.0,496.0
Chord {C in octave 4 | E in octave 4} Half,C4-interval class 4,2.0,498.0
Chord {B in octave 3 | D in octave 4 | G in octave 3 | E in octave 4} Dotted Eighth,E4-minor seventh chord,0.75,26.0
Chord {G in octave 4 | E in octave 4 | B in octave 3 | D in octave 4} 16th,E4-minor seventh chord,0.25,27.0
Chord {A in octave 3 | F in octave 4 | D in octave 4 | C in octave 4} Whole tied to 16th (4 1/4 total QL),D4-minor seventh chord,4.25,28.0
Chord {C in octave 4 | F in octave 4 | A in octave 3 | D in octave 4} Zero,D4-minor seventh chord,0.0,32.5
Chord {D in octave 4 | G in octave 3 | B in octave 3} Eighth,G3-major triad,0.5,34.0
Chord {G in octave 3 | B in octave 3 | D in octave 4} Eighth,G3-major triad,0.5,34.5
Chord {B in octave 3 | D in octave 4 | E in octave 4 | G in octave 4} 16th,E4-minor seventh chord,0.25,35.0
Chord {A in octave 3 | F in octave 4 | D in octave 4 | C in octave 4} Whole tied to 16th (4 1/4 total QL),D4-minor seventh chord,4.25,36.0
Chord {C in octave 4 | F in octave 4 | A in octave 3 | D in octave 4} Zero,D4-minor seventh chord,0.0,40.5
Chord {D in octave 4 | G in octave 3 | B in octave 3} Quarter,G3-major triad,1.0,42.0
Chord {B in octave 3 | D in octave 4 | E in octave 4 | G in octave 4} 16th,E4-minor seventh chord,0.25,43.0
Chord {A in octave 3 | F in octave 4 | D in octave 4 | C in octave 4} Whole tied to 16th (4 1/4 total QL),D4-minor seventh chord,4.25,44.0
Chord {C in octave 4 | F in octave 4 | A in octave 3 | D in octave 4} Zero,D4-minor seventh chord,0.0,48.5
Chord {D in octave 4 | G in octave 3 | B in octave 3} Eighth,G3-major triad,0.5,50.0
Chord {G in octave 3 | B in octave 3 | D in octave 4} Eighth,G3-major triad,0.5,50.5
