640.0
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 4 | G-sharp in octave 3 | C in octave 5} Dotted Quarter,F4-minor triad,1.5,0.75
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),F4-minor triad,1/3,2.75
Chord {F in octave 4 | G-sharp in octave 3 | C in octave 5} Half Triplet (1 1/3 QL),F4-minor triad,4/3,4.25
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3} Double Dotted Quarter,F4-minor triad,1.75,5.75
Chord {G in octave 4 | E in octave 5 | B-flat in octave 3 | E in octave 4 | C in octave 5} Dotted Quarter,C5-dominant seventh chord,1.5,8.75
Chord {E in octave 4 | C in octave 4 | B-flat in octave 3 | G in octave 4} Eighth Triplet (1/3 QL),C4-dominant seventh chord,1/3,10.75
Chord {B-flat in octave 3 | D in octave 5 | E in octave 4 | A in octave 4} Half Triplet (1 1/3 QL),B-3-minor-second quartal tetrachord,4/3,12.25
Chord {E in octave 4 | C in octave 4 | B-flat in octave 3 | G in octave 4} Double Dotted Quarter,C4-dominant seventh chord,1.75,13.75
Chord {F in octave 4 | G-sharp in octave 3 | C in octave 5} Dotted Quarter,F4-minor triad,1.5,16.75
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),F4-minor triad,1/3,18.75
Chord {F in octave 4 | G-sharp in octave 3 | C in octave 5} Half Triplet (1 1/3 QL),F4-minor triad,4/3,20.25
Chord {F in octave 4 | C in octave 4 | G-sharp in octave 3} Double Dotted Quarter,F4-minor triad,1.75,21.75
Chord {B-flat in octave 3 | C-sharp in octave 4 | F in octave 4} Breve Tuplet of 24/23rds (7 2/3 QL),B-3-minor triad,23/3,24.0
Chord {E-flat in octave 4 | G in octave 3 | B-flat in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),E-4-major triad,10/3,98/3
Chord {C-sharp in octave 4 | E in octave 4 | G in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),C#4-half-diminished seventh chord,1/3,36.75
Chord {E in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-diminished seventh chord,5/3,38.0
