370.0
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 5 | F-sharp in octave 5 | G-sharp in octave 5} Half Triplet (1 1/3 QL),G#5-incomplete half-diminished seventh chord,4/3,168.0
Chord {D in octave 5 | F-sharp in octave 5 | G-sharp in octave 5} 16th,G#5-incomplete half-diminished seventh chord,0.25,509/3
Chord {G in octave 4 | F-sharp in octave 4 | B-flat in octave 4 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G4-major-diminished tetrachord,5/3,647/3
Chord {G in octave 4 | F-sharp in octave 4 | B-flat in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),G4-major-diminished tetrachord,1/3,653/3
Chord {C-sharp in octave 4 | B-flat in octave 4 | F-sharp in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-major-diminished tetrachord,1/3,821/3
Chord {D in octave 5 | G-sharp in octave 5 | F-sharp in octave 5} Half Triplet (1 1/3 QL),G#5-incomplete half-diminished seventh chord,4/3,368.0
Chord {D in octave 5 | F-sharp in octave 5 | G-sharp in octave 5} 16th,G#5-incomplete half-diminished seventh chord,0.25,1109/3
Chord {G in octave 3 | C in octave 3 | B-flat in octave 4 | E-flat in octave 4 | F in octave 5} Triple Dotted Half (3 3/4 QL),C3-major pentatonic,3.75,0.0
Chord {G-sharp in octave 3 | C-sharp in octave 3} Triple Dotted Half (3 3/4 QL),C#3-interval class 5,3.75,4.0
Chord {C in octave 3 | G in octave 3} Triple Dotted Half (3 3/4 QL),C3-interval class 5,3.75,8.0
Chord {C-sharp in octave 3 | G-sharp in octave 3 | C in octave 5} Triple Dotted Half (3 3/4 QL),C#3-incomplete major-seventh chord,3.75,12.0
Chord {G in octave 3 | C in octave 3 | B-flat in octave 4 | F in octave 5 | E-flat in octave 4} Triple Dotted Half (3 3/4 QL),C3-major pentatonic,3.75,16.0
Chord {C-sharp in octave 3 | G-sharp in octave 3} Triple Dotted Half (3 3/4 QL),C#3-interval class 5,3.75,20.0
Chord {G in octave 3 | C in octave 3} Triple Dotted Half (3 3/4 QL),C3-interval class 5,3.75,24.0
Chord {C-sharp in octave 3 | G-sharp in octave 3 | C in octave 5} Triple Dotted Half (3 3/4 QL),C#3-incomplete major-seventh chord,3.75,28.0
Chord {G in octave 3 | C in octave 3 | B-flat in octave 4} Whole tied to Quarter (5 total QL),C3-incomplete dominant-seventh chord,5.0,32.0
Chord {E-flat in octave 4 | F in octave 5 | C in octave 5} Quarter,F5-incomplete dominant-seventh chord,1.0,38.0
Chord {G in octave 3 | C in octave 3} Whole tied to Quarter (5 total QL),C3-interval class 5,5.0,40.0
Chord {C in octave 3 | G in octave 3} Whole tied to Quarter (5 total QL),C3-interval class 5,5.0,48.0
Chord {F in octave 5 | C in octave 5 | E-flat in octave 4} Eighth,F5-incomplete dominant-seventh chord,0.5,54.0
Chord {F in octave 5 | E-flat in octave 4 | C in octave 5} Eighth,F5-incomplete dominant-seventh chord,0.5,55.0
Chord {G in octave 3 | C in octave 3} Whole tied to Quarter (5 total QL),C3-interval class 5,5.0,56.0
Chord {B-flat in octave 3 | C-sharp in octave 5 | E-flat in octave 3 | G-sharp in octave 4 | F in octave 5} Half,C#5-major pentatonic,2.0,62.0
Chord {F in octave 5 | E-flat in octave 4 | C in octave 3 | B-flat in octave 4 | G in octave 3} Half,C3-major pentatonic,2.0,66.0
Chord {F in octave 3 | B-flat in octave 2 | C-sharp in octave 4 | E-flat in octave 5 | G-sharp in octave 4} Half,C#4-major pentatonic,2.0,70.0
Chord {G-sharp in octave 4 | C-sharp in octave 4 | E-flat in octave 5} Quarter tied to 16th (1 1/4 total QL),C#4-quartal trichord,1.25,233/3
Chord {B-flat in octave 4 | G in octave 4 | E-flat in octave 5} Double Dotted Quarter,E-5-major triad,1.75,80.0
Chord {B-flat in octave 4 | G in octave 5 | E-flat in octave 5} Double Dotted Quarter,E-5-major triad,1.75,82.0
Chord {F in octave 3 | C-sharp in octave 4 | B-flat in octave 2 | E-flat in octave 5 | G-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-major pentatonic,5/3,84.0
Chord {F in octave 5 | E-flat in octave 4} Breve Tuplet of 12/7ths (4 2/3 QL),F5-interval class 2,14/3,88.0
Chord {C in octave 5 | E-flat in octave 4 | F in octave 5} Quarter,F5-incomplete dominant-seventh chord,1.0,94.0
Chord {C in octave 3 | G in octave 3} Whole tied to Quarter (5 total QL),C3-interval class 5,5.0,96.0
Chord {C in octave 3 | G in octave 3} Whole tied to Quarter (5 total QL),C3-interval class 5,5.0,104.0
Chord {C in octave 5 | E-flat in octave 4 | F in octave 5} Quarter,F5-incomplete dominant-seventh chord,1.0,110.0
Chord {G in octave 3 | C in octave 3} Whole tied to Quarter (5 total QL),C3-interval class 5,5.0,112.0
Chord {A in octave 4 | E in octave 3 | A in octave 5 | B in octave 3} Half Triplet (1 1/3 QL),A4-quartal trichord,4/3,359/3
Chord {F in octave 5 | B-flat in octave 4 | G in octave 3 | C in octave 3 | E-flat in octave 4} Half,C3-major pentatonic,2.0,122.0
Chord {B-flat in octave 2 | E-flat in octave 5 | F in octave 3 | G-sharp in octave 4 | C-sharp in octave 4} Half,C#4-major pentatonic,2.0,126.0
Chord {G-sharp in octave 4 | E-flat in octave 5 | C-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-quartal trichord,1.25,398/3
Chord {E-flat in octave 5 | C-sharp in octave 4 | G-sharp in octave 4} Eighth,C#4-quartal trichord,0.5,134.0
Chord {G in octave 4 | E-flat in octave 5 | B-flat in octave 4} Double Dotted Quarter,E-5-major triad,1.75,136.0
Chord {G in octave 5 | E-flat in octave 5 | B-flat in octave 4} Double Dotted Quarter,E-5-major triad,1.75,138.0
Chord {G-sharp in octave 4 | E-flat in octave 5 | F in octave 3 | B-flat in octave 2 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-major pentatonic,5/3,140.0
Chord {C in octave 4 | G in octave 4 | E-flat in octave 4 | A in octave 2} Quarter,A2-half-diminished seventh chord,1.0,144.0
