336.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | E in octave 4 | C in octave 5 | A in octave 3} Whole,A3-minor seventh chord,4.0,8.0
Chord {E-flat in octave 4 | G in octave 4 | A in octave 3 | C in octave 5} Whole Tuplet of 12/11ths (3 2/3 QL),A3-half-diminished seventh chord,11/3,12.0
Chord {C in octave 5 | G-sharp in octave 3 | F in octave 4 | D in octave 4} Whole,D4-half-diminished seventh chord,4.0,47/3
Chord {F-sharp in octave 4 | C-sharp in octave 4 | B in octave 4 | G in octave 3} Whole tied to 16th (4 1/4 total QL),G3-minor-second quartal tetrachord,4.25,59/3
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor seventh chord,5/3,24.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Half,A3-minor seventh chord,2.0,28.0
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-major seventh chord,5/3,30.0
Chord {A in octave 3 | C in octave 5 | E-flat in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A3-half-diminished seventh chord,5/3,34.0
Chord {B in octave 4 | G in octave 3 | E in octave 4 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),E4-minor seventh chord,1.25,107/3
Chord {C-sharp in octave 4 | F in octave 4 | G in octave 3 | C in octave 5} Quarter,F4-minor-second quartal tetrachord,1.0,37.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Quarter,D4-minor seventh chord,1.0,38.0
Chord {E in octave 4 | B in octave 3 | A in octave 4 | F in octave 3} Quarter,F3-minor-second quartal tetrachord,1.0,39.0
Chord {G in octave 4 | E in octave 3 | C in octave 4 | A in octave 3} Whole,A3-minor seventh chord,4.0,40.0
Chord {B in octave 4 | D in octave 4 | A in octave 3 | G in octave 4 | E-flat in octave 3} Whole,E-3-enigmatic pentachord,4.0,44.0
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 4 | D in octave 4} Whole,D4-half-diminished seventh chord,4.0,48.0
Chord {F-sharp in octave 4 | C-sharp in octave 4 | B in octave 3 | G in octave 3} Whole,G3-minor-second quartal tetrachord,4.0,52.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Half,D4-minor seventh chord,2.0,56.0
Chord {E in octave 4 | B in octave 3 | A in octave 3 | F in octave 3} Half,F3-minor-second quartal tetrachord,2.0,58.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Half,A3-minor seventh chord,2.0,60.0
Chord {E in octave 4 | C in octave 4 | B in octave 3 | G in octave 3} Half,C4-major seventh chord,2.0,62.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 3} Half,D4-minor seventh chord,2.0,64.0
Chord {F in octave 3 | A in octave 4 | B in octave 3 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F3-minor-second quartal tetrachord,5/3,66.0
Chord {A in octave 4 | E in octave 3 | D in octave 4 | B-flat in octave 3} Half,B-3-minor-second quartal tetrachord,2.0,70.0
Chord {C in octave 4 | A in octave 3 | F in octave 4 | D in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),D3-minor seventh chord,23/3,72.0
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 4 | D in octave 3} Half tied to 16th (2 1/4 total QL),D3-half-diminished seventh chord,2.25,81.75
Chord {G-sharp in octave 3 | C in octave 4 | F in octave 3 | D in octave 4} Whole,D4-half-diminished seventh chord,4.0,84.0
Chord {A in octave 3 | C in octave 4 | E in octave 4 | G in octave 4} Half,A3-minor seventh chord,2.0,88.0
Chord {C in octave 4 | E in octave 5 | F in octave 4 | A in octave 4} Quarter,F4-major seventh chord,1.0,98.0
Chord {F in octave 5 | C-sharp in octave 4 | B-flat in octave 4 | G in octave 4} Quarter,G4-half-diminished seventh chord,1.0,99.0
Chord {F in octave 4 | A in octave 3 | D in octave 4 | C in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),D4-minor seventh chord,11/3,100.0
Chord {E in octave 4 | G in octave 4 | B-flat in octave 3 | C-sharp in octave 5} Half tied to 16th (2 1/4 total QL),C#5-diminished seventh chord,2.25,317/3
Chord {E in octave 5 | B in octave 3 | A in octave 4 | F in octave 4} Whole,F4-minor-second quartal tetrachord,4.0,108.0
Chord {A in octave 3 | C in octave 5 | E in octave 4 | G in octave 4} Half,A3-minor seventh chord,2.0,112.0
Chord {C in octave 4 | E in octave 5 | F in octave 4 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F4-major seventh chord,5/3,114.0
Chord {G in octave 3 | C in octave 4 | E in octave 3 | A in octave 3} Half,A3-minor seventh chord,2.0,118.0
Chord {A in octave 4 | F-sharp in octave 4 | E in octave 4 | C in octave 4} Breve Tuplet of 24/23rds (7 2/3 QL),F#4-half-diminished seventh chord,23/3,120.0
Chord {F in octave 4 | A in octave 4 | C in octave 4 | E in octave 5} Half tied to 16th (2 1/4 total QL),F4-major seventh chord,2.25,389/3
Chord {F in octave 4 | A in octave 4 | B in octave 3 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F4-minor-second quartal tetrachord,5/3,132.0
Chord {B-flat in octave 3 | D in octave 4 | E in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),E4-half-diminished seventh chord,2.25,401/3
Chord {C in octave 5 | A in octave 3 | F in octave 4 | D in octave 4} Breve Tuplet of 24/23rds (7 2/3 QL),D4-minor seventh chord,23/3,136.0
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 4 | D in octave 4} Whole,D4-half-diminished seventh chord,4.0,431/3
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | F in octave 4} Eighth,D4-half-diminished seventh chord,0.5,149.0
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D4-half-diminished seventh chord,1/3,449/3
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | F in octave 4} Eighth,D4-half-diminished seventh chord,0.5,150.0
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D4-half-diminished seventh chord,1/3,452/3
