419.6666666666667
4/4
FullName,CommonName,Len,Offset
Chord {F-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} Zero,E-4-minor triad,0.0,4.0
Chord {B-flat in octave 3 | G in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-major triad,1.25,4.0
Chord {E-flat in octave 4 | G-sharp in octave 3 | F in octave 3 | B-flat in octave 3 | B-flat in octave 1} 16th,E-4-quartal tetramirror,0.25,5.5
Chord {F-sharp in octave 2 | B-flat in octave 4} Zero,B-4-interval class 4,0.0,6.0
Chord {E-flat in octave 3 | B-flat in octave 3 | E-flat in octave 4 | G in octave 1} 16th,E-3-major triad,0.25,13.5
Chord {F-sharp in octave 2 | B-flat in octave 4} Zero,B-4-interval class 4,0.0,14.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | B-flat in octave 3 | F in octave 1} Half tied to Quarter tied to 16th (3 1/4 total QL),E-4-quartal tetramirror,3.25,15.0
Chord {D in octave 4 | G-sharp in octave 3 | G in octave 4} Quarter Triplet (2/3 QL),G#3-tritone-fourth,2/3,18.5
Chord {F-sharp in octave 2 | B-flat in octave 4} Zero,B-4-interval class 4,0.0,19.5
Chord {B-flat in octave 3 | G in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-major triad,1.25,20.0
Chord {E-flat in octave 4 | G-sharp in octave 3 | F in octave 3 | B-flat in octave 3 | B-flat in octave 1} 16th,E-4-quartal tetramirror,0.25,21.5
Chord {F-sharp in octave 2 | B-flat in octave 4} Zero,B-4-interval class 4,0.0,22.0
Chord {B in octave 2 | E in octave 4} Zero,E4-interval class 5,0.0,22.5
Chord {E-flat in octave 3 | B-flat in octave 3 | E-flat in octave 4 | G in octave 2} 16th,E-3-major triad,0.25,29.5
Chord {F-sharp in octave 2 | B-flat in octave 4} Zero,B-4-interval class 4,0.0,30.0
Chord {D in octave 4 | G-sharp in octave 3 | G in octave 4} Quarter Triplet (2/3 QL),G#3-tritone-fourth,2/3,34.5
Chord {F-sharp in octave 2 | B-flat in octave 4} Zero,B-4-interval class 4,0.0,35.5
Chord {G-sharp in octave 5 | G in octave 3} Quarter,G#5-interval class 1,1.0,36.0
Chord {D in octave 3 | C in octave 4 | F in octave 4 | F-sharp in octave 3} Quarter Triplet (2/3 QL),D3-all-interval tetrachord,2/3,37.5
Chord {E-flat in octave 5 | E-flat in octave 4} 16th,E-5-unison,0.25,38.5
Chord {F-sharp in octave 2 | B-flat in octave 4} Zero,B-4-interval class 4,0.0,39.0
Chord {F in octave 3 | B-flat in octave 3 | E-flat in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),E-4-major-second major tetrachord,1/3,40.0
Chord {F in octave 3 | B-flat in octave 4} Zero,B-4-interval class 5,0.0,40.5
Chord {B-flat in octave 2 | E-flat in octave 4 | B-flat in octave 4} Zero,E-4-interval class 5,0.0,43.5
