448.0
4/4
FullName,CommonName,Len,Offset
Chord {A in octave 5 | C in octave 2} Eighth,A5-interval class 3,0.5,10.0
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,11.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,15.5
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,19.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,19.5
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,23.5
Chord {A in octave 5 | C in octave 2} Eighth,A5-interval class 3,0.5,26.0
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,27.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,31.5
Chord {G-sharp in octave 5 | E-flat in octave 3} 16th,E-3-interval class 5,0.25,33.5
Chord {A in octave 5 | E-flat in octave 3} Quarter,A5-tritone,1.0,34.0
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,35.0
Chord {G-sharp in octave 5 | E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,35.5
Chord {G-sharp in octave 5 | G-sharp in octave 2} Eighth,G#5-unison,0.5,37.0
Chord {F-sharp in octave 2 | E-flat in octave 3} Eighth,F#2-interval class 3,0.5,37.5
Chord {A in octave 5 | C in octave 2} Eighth,A5-interval class 3,0.5,38.0
Chord {C in octave 2 | F-sharp in octave 2 | E-flat in octave 3} Eighth Triplet (1/3 QL),F#2-diminished triad,1/3,39.0
Chord {G-sharp in octave 2 | D in octave 2} 16th,G#2-tritone,0.25,40.5
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,43.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,43.5
Chord {G-sharp in octave 2 | D in octave 2} 16th,G#2-tritone,0.25,48.5
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,51.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,51.5
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,55.5
Chord {G-sharp in octave 2 | D in octave 2} 16th,G#2-tritone,0.25,56.5
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,59.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,59.5
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,63.5
Chord {D in octave 2 | F-sharp in octave 2} Eighth,D2-interval class 4,0.5,67.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,67.5
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,75.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,75.5
Chord {A in octave 5 | F in octave 3 | G-sharp in octave 2} Eighth,F3-major-minor trichord,0.5,78.0
Chord {D in octave 2 | C in octave 2} Eighth,D2-interval class 2,0.5,78.5
Chord {G-sharp in octave 2 | D in octave 2} 16th,G#2-tritone,0.25,79.0
Chord {F in octave 2 | D in octave 2} Eighth,D2-interval class 3,0.5,79.5
Chord {G-sharp in octave 5 | G-sharp in octave 2} Eighth,G#5-unison,0.5,81.0
Chord {F-sharp in octave 2 | D in octave 2} Eighth,D2-interval class 4,0.5,81.5
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,83.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,83.5
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,91.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,91.5
Chord {G-sharp in octave 5 | G-sharp in octave 2} Eighth,G#5-unison,0.5,97.0
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,99.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,99.5
Chord {A in octave 5 | F in octave 3 | G-sharp in octave 2} Eighth,F3-major-minor trichord,0.5,102.0
Chord {D in octave 2 | C in octave 2} Eighth,D2-interval class 2,0.5,102.5
Chord {G-sharp in octave 2 | D in octave 2} 16th,G#2-tritone,0.25,103.0
Chord {F in octave 2 | D in octave 2} Eighth,D2-interval class 3,0.5,103.5
Chord {G-sharp in octave 5 | G-sharp in octave 2} Eighth,G#5-unison,0.5,105.0
Chord {F-sharp in octave 2 | D in octave 2} Eighth,D2-interval class 4,0.5,105.5
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,107.0
Chord {G-sharp in octave 5 | G-sharp in octave 2} 16th,G#5-unison,0.25,107.5
Chord {G-sharp in octave 5 | G-sharp in octave 2} Eighth,G#5-unison,0.5,113.0
Chord {D in octave 2 | F-sharp in octave 2} Eighth,D2-interval class 4,0.5,113.5
Chord {A in octave 5 | C in octave 2} Eighth,A5-interval class 3,0.5,114.0
Chord {C in octave 2 | F-sharp in octave 2} Eighth,F#2-tritone,0.5,115.0
Chord {A in octave 5 | F in octave 3 | G-sharp in octave 2} Eighth,F3-major-minor trichord,0.5,118.0
Chord {D in octave 2 | C in octave 2 | F-sharp in octave 2} Eighth,D2-incomplete dominant-seventh chord,0.5,118.5
