530.3333333333334
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 5 | C-sharp in octave 5} Dotted Eighth,C#5-interval class 5,0.75,50/3
Chord {G in octave 5 | C in octave 5} Quarter,C5-interval class 5,1.0,53/3
Chord {F in octave 5 | F in octave 4} Dotted Eighth,F5-unison,0.75,21.0
Chord {F in octave 6 | B in octave 5} Eighth,B5-tritone,0.5,68/3
Chord {F in octave 5 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#4-interval class 3,1/3,80/3
Chord {G in octave 5 | C in octave 5} Dotted Eighth,C5-interval class 5,0.75,86/3
Chord {G-sharp in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),G#4-interval class 3,1/3,89/3
Chord {C in octave 6 | F in octave 5} Quarter Triplet (2/3 QL),F5-interval class 5,2/3,92/3
Chord {F in octave 5 | C in octave 5} Dotted Eighth,F5-interval class 5,0.75,101/3
Chord {B-flat in octave 4 | C-sharp in octave 5 | G in octave 5} Eighth Triplet (1/3 QL),C#5-diminished triad,1/3,104/3
Chord {F in octave 5 | C in octave 5} Dotted Eighth,F5-interval class 5,0.75,107/3
Chord {C-sharp in octave 5 | G-sharp in octave 5} Quarter Triplet (2/3 QL),C#5-interval class 5,2/3,110/3
Chord {E-flat in octave 5 | G in octave 5} Eighth Triplet (1/3 QL),E-5-interval class 4,1/3,116/3
Chord {E-flat in octave 4 | E-flat in octave 5} Eighth,E-4-unison,0.5,119/3
Chord {A in octave 5 | C in octave 5} Dotted Eighth,A5-interval class 3,0.75,155/3
Chord {F in octave 5 | A in octave 5 | D in octave 6} Quarter tied to 16th (1 1/4 total QL),D6-minor triad,1.25,158/3
Chord {E-flat in octave 6 | B in octave 6} Quarter Triplet (2/3 QL),E-6-interval class 4,2/3,164/3
Chord {E in octave 5 | B in octave 4 | B in octave 5} Dotted Eighth,E5-interval class 5,0.75,170/3
Chord {G in octave 4 | G in octave 5} Quarter Triplet (2/3 QL),G4-unison,2/3,173/3
Chord {E in octave 5 | B in octave 5 | G in octave 5} Quarter tied to 16th (1 1/4 total QL),E5-minor triad,1.25,182/3
Chord {C in octave 5 | F in octave 5 | C in octave 6} Quarter tied to 16th (1 1/4 total QL),F5-interval class 5,1.25,67.0
Chord {C in octave 5 | C in octave 6 | F in octave 5} Quarter tied to 16th (1 1/4 total QL),F5-interval class 5,1.25,206/3
Chord {B in octave 5 | F in octave 5 | B in octave 4} Dotted Eighth,B5-tritone,0.75,70.0
Chord {C in octave 6 | E in octave 5} Quarter,C6-interval class 4,1.0,76.0
Chord {B in octave 5 | E-flat in octave 5} 16th,E-5-interval class 4,0.25,77.0
Chord {E in octave 5 | B-flat in octave 4} Quarter,E5-tritone,1.0,78.0
Chord {A in octave 5 | E-flat in octave 5 | A in octave 4 | C-sharp in octave 5} Eighth Triplet (1/3 QL),A5-incomplete half-diminished seventh chord,1/3,79.0
