259.75
3/8
FullName,CommonName,Len,Offset
Chord {F in octave 3 | E in octave 3} Zero,F3-interval class 1,0.0,3.0
Chord {D in octave 3 | C in octave 3} Zero,D3-interval class 2,0.0,3.25
Chord {B in octave 2 | A in octave 2} Zero,B2-interval class 2,0.0,10/3
Chord {D in octave 2 | C in octave 2} Quarter,D2-interval class 2,1.0,3.5
Chord {A in octave 4 | G in octave 4} Zero,A4-interval class 2,0.0,57.75
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,59.0
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,59.25
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,59.5
Chord {E in octave 4 | G in octave 4} Zero,E4-interval class 3,0.0,59.75
Chord {E in octave 4 | G in octave 4} Zero,E4-interval class 3,0.0,60.0
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,60.25
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,60.5
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,60.75
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,61.0
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,61.25
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,61.5
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,61.75
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,62.0
Chord {D in octave 4 | F-sharp in octave 4} Zero,D4-interval class 4,0.0,62.25
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,62.5
Chord {D in octave 4 | F-sharp in octave 4} Zero,D4-interval class 4,0.0,62.75
Chord {E in octave 4 | G in octave 4 | F-sharp in octave 4} Zero,E4-minor trichord,0.0,63.0
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,63.25
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,63.5
Chord {E in octave 4 | G in octave 4} Zero,E4-interval class 3,0.0,63.75
Chord {E in octave 4 | G in octave 4} Zero,E4-interval class 3,0.0,64.0
Chord {E in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,64.25
Chord {G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,64.75
Chord {B in octave 4 | D in octave 5 | E in octave 4} Zero,E4-incomplete dominant-seventh chord,0.0,76.5
Chord {C-sharp in octave 5 | E in octave 4 | A in octave 4} Zero,A4-major triad,0.0,76.75
Chord {C in octave 5 | D in octave 4 | A in octave 4} Zero,D4-incomplete dominant-seventh chord,0.0,78.5
Chord {G in octave 4 | D in octave 4 | B in octave 4} 16th,G4-major triad,0.25,78.75
Chord {C-sharp in octave 4 | A in octave 4 | E in octave 4} 16th,A4-major triad,0.25,79.0
Chord {F-sharp in octave 2 | F in octave 2} Zero,F#2-interval class 1,0.0,82.5
Chord {G in octave 2 | A in octave 2 | B in octave 2} Quarter,G2-whole-tone trichord,1.0,248/3
Chord {D in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 2,1/3,349/3
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,155.0
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,155.5
Chord {E in octave 4 | G in octave 4} Zero,E4-interval class 3,0.0,155.75
Chord {E in octave 4 | G in octave 4} Zero,E4-interval class 3,0.0,156.0
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,469/3
Chord {D in octave 4 | F-sharp in octave 4} Zero,D4-interval class 4,0.0,157.0
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,472/3
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,157.5
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,157.75
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,158.0
Chord {F-sharp in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 4,1/3,475/3
Chord {E in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,158.75
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,478/3
Chord {E in octave 4 | G in octave 4} Zero,E4-interval class 3,0.0,479/3
Chord {E in octave 4 | G in octave 4} 16th,E4-interval class 3,0.25,159.75
Chord {E in octave 4 | G in octave 4} Zero,E4-interval class 3,0.0,160.0
Chord {E in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,481/3
Chord {G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,160.75
Chord {E in octave 4 | E-flat in octave 4} 16th,E4-interval class 1,0.25,166.5
Chord {E-flat in octave 4 | C-sharp in octave 4} Zero,C#4-interval class 2,0.0,167.0
Chord {G-sharp in octave 3 | B-flat in octave 3} Zero,G#3-interval class 2,0.0,169.0
Chord {A in octave 3 | F-sharp in octave 4 | D in octave 4} 16th,D4-major triad,0.25,176.25
Chord {E-flat in octave 4 | A in octave 3 | F-sharp in octave 4} Zero,F#4-diminished triad,0.0,176.75
Chord {G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,176.75
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,532/3
Chord {F in octave 3 | E in octave 3} Zero,F3-interval class 1,0.0,179.0
