557.3333333333334
4/4
FullName,CommonName,Len,Offset
Chord {C-sharp in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),C#4-interval class 3,1/3,134/3
Chord {G in octave 3 | F-sharp in octave 4} 16th,G3-interval class 1,0.25,46.0
Chord {G in octave 3 | C-sharp in octave 4} Eighth Triplet (1/3 QL),C#4-tritone,1/3,47.0
Chord {A in octave 2 | F-sharp in octave 4} Quarter Triplet (2/3 QL),F#4-interval class 3,2/3,49.0
Chord {B in octave 3 | D in octave 4} Eighth,B3-interval class 3,0.5,73.0
Chord {E in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),C#4-interval class 3,1/3,76.0
Chord {G in octave 3 | C-sharp in octave 4} Eighth Triplet (1/3 QL),C#4-tritone,1/3,77.0
Chord {G in octave 3 | C-sharp in octave 4 | F-sharp in octave 4} 16th,F#4-tritone-fourth,0.25,78.0
Chord {A in octave 3 | C-sharp in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A3-major triad,1/3,80.0
Chord {G in octave 3 | C in octave 4} Zero,C4-interval class 5,0.0,89.5
Chord {E-flat in octave 4 | B-flat in octave 3} 16th,E-4-interval class 5,0.25,89.75
Chord {C in octave 4 | E in octave 4} Zero,C4-interval class 4,0.0,109.5
Chord {F in octave 4 | C-sharp in octave 4} 16th,F4-interval class 4,0.25,109.5
Chord {G-sharp in octave 3 | C-sharp in octave 4} 16th,C#4-interval class 5,0.25,139.75
Chord {D in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),D4-interval class 4,1/3,199.0
Chord {B in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),B3-interval class 3,1/3,201.0
Chord {D in octave 4 | F-sharp in octave 4} Eighth,D4-interval class 4,0.5,608/3
Chord {G in octave 3 | C-sharp in octave 4} 16th,C#4-tritone,0.25,205.0
Chord {G-sharp in octave 3 | D in octave 4} Zero,G#3-tritone,0.0,616/3
Chord {E-flat in octave 4 | G-sharp in octave 4} Zero,E-4-interval class 5,0.0,205.5
Chord {E in octave 4 | A in octave 4} Zero,A4-interval class 5,0.0,205.5
Chord {B-flat in octave 4 | F in octave 4} Zero,B-4-interval class 5,0.0,617/3
Chord {G in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,207.0
