932.8333333333334
8/8
FullName,CommonName,Len,Offset
Chord {F in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 3,1/3,12.0
Chord {B in octave 1 | E in octave 2 | A in octave 4 | F-sharp in octave 2} Quarter,F#2-quartal tetramirror,1.0,13.5
Chord {A in octave 4 | B in octave 1 | F-sharp in octave 2} Quarter,B1-incomplete dominant-seventh chord,1.0,15.5
Chord {A in octave 4 | B in octave 1 | F-sharp in octave 2 | E in octave 4} Quarter,F#2-quartal tetramirror,1.0,17.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,18.5
Chord {F-sharp in octave 2 | B in octave 1 | A in octave 4 | E in octave 4} Quarter,F#2-quartal tetramirror,1.0,19.5
Chord {A in octave 4 | E in octave 2 | B in octave 1 | F-sharp in octave 2} Quarter,F#2-quartal tetramirror,1.0,21.5
Chord {F-sharp in octave 2 | B in octave 1 | A in octave 4} Quarter,B1-incomplete dominant-seventh chord,1.0,23.5
Chord {B in octave 1 | F-sharp in octave 2 | A in octave 4 | E in octave 4} Quarter,F#2-quartal tetramirror,1.0,25.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,26.5
Chord {E in octave 4 | F-sharp in octave 2 | B in octave 1 | A in octave 4} Quarter,F#2-quartal tetramirror,1.0,27.5
Chord {F-sharp in octave 2 | E in octave 2 | B in octave 1 | A in octave 4} Quarter,F#2-quartal tetramirror,1.0,29.5
Chord {G-sharp in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),G#4-interval class 2,1/3,30.5
Chord {E in octave 4 | F-sharp in octave 2} Quarter,F#2-interval class 2,1.0,31.0
Chord {B-flat in octave 2 | B in octave 1 | A in octave 4 | E in octave 4} Quarter,A4-perfect fourth tetramirror,1.0,32.0
Chord {F-sharp in octave 2 | A in octave 4 | B in octave 1 | E in octave 4} Quarter,F#2-quartal tetramirror,1.0,35.5
Chord {A in octave 4 | F-sharp in octave 2 | E in octave 2 | B in octave 1} Quarter,F#2-quartal tetramirror,1.0,37.5
Chord {A in octave 4 | B in octave 1 | F-sharp in octave 2} Quarter,B1-incomplete dominant-seventh chord,1.0,39.5
Chord {E in octave 4 | F-sharp in octave 2 | B in octave 1 | A in octave 4} Quarter,F#2-quartal tetramirror,1.0,41.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,42.5
Chord {E in octave 4 | B in octave 1 | A in octave 4 | F-sharp in octave 2} Quarter,F#2-quartal tetramirror,1.0,43.5
Chord {B in octave 1 | E in octave 4 | A in octave 4 | B-flat in octave 2} Quarter,A4-perfect fourth tetramirror,1.0,46.0
Chord {E in octave 4 | F-sharp in octave 2} Quarter,F#2-interval class 2,1.0,47.0
Chord {A in octave 4 | B-flat in octave 2 | E in octave 4 | B in octave 1} Quarter,A4-perfect fourth tetramirror,1.0,50.0
Chord {E in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 4,1/3,52.0
Chord {A in octave 4 | F-sharp in octave 2 | E in octave 2 | B in octave 1} Quarter,F#2-quartal tetramirror,1.0,53.5
Chord {F-sharp in octave 2 | A in octave 4 | B in octave 1} Quarter,B1-incomplete dominant-seventh chord,1.0,55.5
Chord {E in octave 4 | F-sharp in octave 2 | B in octave 1 | A in octave 4} Quarter,F#2-quartal tetramirror,1.0,57.5
Chord {E in octave 4 | A in octave 4} Quarter,A4-interval class 5,1.0,58.5
Chord {F-sharp in octave 2 | B in octave 1 | A in octave 4 | E in octave 4} Quarter,F#2-quartal tetramirror,1.0,59.5
Chord {B in octave 1 | F-sharp in octave 2 | E in octave 2 | A in octave 4} Quarter,F#2-quartal tetramirror,1.0,61.5
Chord {B-flat in octave 2 | A in octave 4 | B in octave 1 | E in octave 4} Quarter,A4-perfect fourth tetramirror,1.0,64.0
Chord {A in octave 4 | B-flat in octave 2 | E in octave 4 | B in octave 1} Quarter,A4-perfect fourth tetramirror,1.0,66.0
Chord {B-flat in octave 2 | B in octave 1 | A in octave 4} Quarter,B-2-chromatic trimirror,1.0,68.0
Chord {F-sharp in octave 2 | A in octave 4 | B in octave 1} Quarter,B1-incomplete dominant-seventh chord,1.0,71.5
Chord {B in octave 1 | A in octave 4 | F-sharp in octave 2 | E in octave 4} Quarter,F#2-quartal tetramirror,1.0,73.5
Chord {B-flat in octave 2 | A in octave 4 | B in octave 1} Quarter,B-2-chromatic trimirror,1.0,76.0
Chord {A in octave 4 | B in octave 1 | F-sharp in octave 2} Quarter,B1-incomplete dominant-seventh chord,1.0,79.5
Chord {A in octave 4 | E in octave 4 | B in octave 1 | F-sharp in octave 2} Quarter,F#2-quartal tetramirror,1.0,81.5
Chord {E in octave 4 | A in octave 4} Quarter,A4-interval class 5,1.0,82.5
Chord {B in octave 1 | F-sharp in octave 2 | A in octave 4 | E in octave 4} Quarter,F#2-quartal tetramirror,1.0,83.5
Chord {A in octave 4 | E in octave 2 | F-sharp in octave 2 | B in octave 1} Quarter,F#2-quartal tetramirror,1.0,85.5
Chord {F-sharp in octave 2 | B in octave 1 | A in octave 4} Quarter,B1-incomplete dominant-seventh chord,1.0,87.5
Chord {A in octave 4 | B in octave 1 | E in octave 4 | B-flat in octave 2} Quarter,A4-perfect fourth tetramirror,1.0,90.0
Chord {B-flat in octave 2 | B in octave 1 | A in octave 4} Quarter,B-2-chromatic trimirror,1.0,92.0
Chord {B in octave 1 | B-flat in octave 2 | E in octave 4 | A in octave 4} Quarter,A4-perfect fourth tetramirror,1.0,94.0
Chord {A in octave 4 | A in octave 2} 16th,A4-unison,0.25,95.5
Chord {B in octave 1 | A in octave 4 | B-flat in octave 2 | E in octave 4} Quarter,A4-perfect fourth tetramirror,1.0,98.0
Chord {B-flat in octave 2 | A in octave 4 | B in octave 1 | E in octave 4} Quarter,A4-perfect fourth tetramirror,1.0,102.0
Chord {F-sharp in octave 2 | E in octave 4} Quarter,F#2-interval class 2,1.0,103.0
Chord {B-flat in octave 2 | B in octave 1 | A in octave 4 | E in octave 4} Quarter,A4-perfect fourth tetramirror,1.0,104.0
Chord {E in octave 4 | B-flat in octave 2 | B in octave 1 | A in octave 4} Quarter,A4-perfect fourth tetramirror,1.0,106.0
Chord {E in octave 4 | F-sharp in octave 2} Quarter,F#2-interval class 2,1.0,111.0
Chord {E in octave 4 | B-flat in octave 2 | B in octave 1 | A in octave 4} Quarter,A4-perfect fourth tetramirror,1.0,114.0
Chord {A in octave 3 | D in octave 4 | B-flat in octave 2} Whole,B-2-incomplete major-seventh chord,4.0,116.0
Chord {F in octave 4 | E in octave 4 | A in octave 4} Half,F4-incomplete major-seventh chord,2.0,124.0
Chord {E in octave 4 | A in octave 4 | B-flat in octave 2 | B in octave 1} Quarter,A4-perfect fourth tetramirror,1.0,126.0
Chord {E in octave 4 | F-sharp in octave 2} Quarter,F#2-interval class 2,1.0,127.0
Chord {G in octave 4 | E in octave 4} 16th,E4-interval class 3,0.25,133.5
Chord {B-flat in octave 2 | A in octave 4 | B in octave 1 | E in octave 4} Quarter,A4-perfect fourth tetramirror,1.0,134.0
Chord {E in octave 4 | F-sharp in octave 2} Quarter,F#2-interval class 2,1.0,135.0
