496.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 3 | G in octave 4} Dotted Eighth,G3-unison,0.75,29.0
Chord {G in octave 3 | G in octave 4} Triple Dotted Half (3 3/4 QL),G3-unison,3.75,30.0
Chord {G in octave 3 | G in octave 4} Dotted Eighth,G3-unison,0.75,189.0
Chord {G in octave 3 | G in octave 4} Triple Dotted Half (3 3/4 QL),G3-unison,3.75,190.0
Chord {G in octave 3 | G in octave 4} Dotted Eighth,G3-unison,0.75,349.0
Chord {G in octave 3 | G in octave 4} Triple Dotted Half (3 3/4 QL),G3-unison,3.75,350.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Whole,C4-minor triad,4.0,4.0
Chord {F in octave 4 | G-sharp in octave 4 | B in octave 3 | E-flat in octave 5} Whole,E-5-half-diminished seventh chord,4.0,8.0
Chord {C in octave 4 | C in octave 5 | E-flat in octave 4 | G in octave 4} Whole,C4-minor triad,4.0,12.0
Chord {B in octave 3 | D in octave 5 | F in octave 4 | A in octave 4} Half Triplet (1 1/3 QL),B3-half-diminished seventh chord,4/3,16.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Dotted Quarter,C4-minor triad,1.5,17.5
Chord {F in octave 4 | G-sharp in octave 4 | B in octave 3 | E-flat in octave 4} Quarter,E-4-half-diminished seventh chord,1.0,19.0
Chord {C in octave 4 | C in octave 5 | E-flat in octave 4 | G in octave 4} Whole,C4-minor triad,4.0,20.0
Chord {F in octave 4 | G-sharp in octave 4 | B in octave 3 | E-flat in octave 5} Whole,E-5-half-diminished seventh chord,4.0,24.0
Chord {C in octave 4 | C in octave 5 | E-flat in octave 4 | G in octave 4} Whole,C4-minor triad,4.0,28.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Half,C4-minor triad,2.0,32.0
Chord {C in octave 4 | C in octave 5 | E-flat in octave 4 | G in octave 4} Quarter,C4-minor triad,1.0,34.0
Chord {F in octave 4 | G-sharp in octave 4 | B in octave 3 | E-flat in octave 5} Quarter,E-5-half-diminished seventh chord,1.0,35.0
Chord {C in octave 4 | C in octave 5 | E-flat in octave 4 | G in octave 4} Whole,C4-minor triad,4.0,36.0
Chord {F in octave 4 | A in octave 4 | B in octave 3 | E in octave 5} Whole,F4-minor-second quartal tetrachord,4.0,40.0
Chord {F in octave 4 | G-sharp in octave 3 | C in octave 5} Quarter,F4-minor triad,1.0,44.0
Chord {C in octave 4 | C in octave 5 | E-flat in octave 4 | G in octave 4} Quarter,C4-minor triad,1.0,45.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Half,C4-minor triad,2.0,46.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Whole,C4-minor triad,4.0,48.0
Chord {F in octave 4 | G-sharp in octave 3 | C in octave 4} Whole,F4-minor triad,4.0,52.0
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Whole,D4-half-diminished seventh chord,4.0,56.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Whole,C4-minor triad,4.0,60.0
