633.6666666666666
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 2 | F-sharp in octave 2} Zero,F#2-tritone,0.0,4.0
Chord {G in octave 2 | C in octave 2} Quarter,C2-interval class 5,1.0,5.0
Chord {D in octave 2 | C in octave 3} Zero,D2-interval class 2,0.0,6.0
Chord {C in octave 2 | C-sharp in octave 3} Quarter,C2-interval class 1,1.0,8.0
Chord {F-sharp in octave 2 | G-sharp in octave 2} Zero,G#2-interval class 2,0.0,16.0
Chord {G-sharp in octave 2 | B-flat in octave 2} 16th,G#2-interval class 2,0.25,20.0
Chord {F-sharp in octave 2 | G-sharp in octave 2} Zero,G#2-interval class 2,0.0,24.0
Chord {C in octave 2 | C-sharp in octave 3 | G-sharp in octave 2} 16th,C2-incomplete major-seventh chord,0.25,26.0
Chord {C in octave 2 | C-sharp in octave 3 | G-sharp in octave 2} 16th,C2-incomplete major-seventh chord,0.25,27.0
Chord {B in octave 1 | G-sharp in octave 2 | B-flat in octave 2} 16th,G#2-minor trichord,0.25,28.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,29.75
Chord {B in octave 1 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,30.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,33.0
Chord {B in octave 1 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,34.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,35.0
Chord {B in octave 1 | G-sharp in octave 2 | B-flat in octave 2} 16th,G#2-minor trichord,0.25,36.0
Chord {D in octave 2 | G-sharp in octave 2 | B-flat in octave 2} 16th,G#2-incomplete dominant-seventh chord,0.25,37.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,37.75
Chord {B in octave 1 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,38.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,39.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,40.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,41.0
Chord {B in octave 1 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,42.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,43.0
Chord {B in octave 1 | G-sharp in octave 2 | B-flat in octave 2} 16th,G#2-minor trichord,0.25,44.0
Chord {D in octave 2 | G-sharp in octave 2 | B-flat in octave 2} 16th,G#2-incomplete dominant-seventh chord,0.25,45.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,45.75
Chord {B in octave 1 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,46.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,47.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,48.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,49.0
Chord {B in octave 1 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,50.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,51.0
Chord {B in octave 1 | G-sharp in octave 2 | B-flat in octave 2} 16th,G#2-minor trichord,0.25,52.0
Chord {D in octave 2 | G-sharp in octave 2 | B-flat in octave 2} 16th,G#2-incomplete dominant-seventh chord,0.25,53.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,53.75
Chord {B in octave 1 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,54.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,55.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,56.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,57.0
Chord {B in octave 1 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,58.0
Chord {D in octave 2 | G-sharp in octave 2} 16th,G#2-tritone,0.25,59.0
Chord {B in octave 1 | G-sharp in octave 2 | B-flat in octave 2} 16th,G#2-minor trichord,0.25,60.0
