348.0
4/4
FullName,CommonName,Len,Offset
Chord {A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,86.5
Chord {A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,87.0
Chord {A in octave 4 | C in octave 5} Eighth,A4-interval class 3,0.5,87.5
Chord {A in octave 4 | C in octave 5} Eighth,A4-interval class 3,0.5,88.0
Chord {G in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,89.0
Chord {G in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,89.5
Chord {G in octave 4 | B in octave 4} Eighth,G4-interval class 4,0.5,90.0
Chord {F-sharp in octave 4 | B-flat in octave 4} 16th,B-4-interval class 4,0.25,272/3
Chord {F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,275/3
Chord {F in octave 4 | A in octave 4} Dotted Eighth,F4-interval class 4,0.75,92.0
Chord {D in octave 4 | F in octave 4} Half Triplet (1 1/3 QL),D4-interval class 3,4/3,93.0
Chord {G in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,95.25
Chord {G in octave 4 | B in octave 4} Eighth,G4-interval class 4,0.5,287/3
Chord {G in octave 4 | B in octave 4} Quarter Triplet (2/3 QL),G4-interval class 4,2/3,96.25
Chord {F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,97.25
Chord {F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,293/3
Chord {F in octave 4 | A in octave 4} Eighth,F4-interval class 4,0.5,98.25
Chord {E in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,99.0
Chord {E in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,299/3
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,100.0
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,101.0
Chord {C-sharp in octave 4 | E in octave 4} Quarter,C#4-interval class 3,1.0,137.5
Chord {A in octave 4 | D in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),B3-incomplete minor-seventh chord,1/3,152.0
Chord {F-sharp in octave 4 | A in octave 3} Eighth,F#4-interval class 3,0.5,156.0
Chord {B in octave 3 | E in octave 4 | G-sharp in octave 3} Quarter,E4-major triad,1.0,157.5
Chord {D in octave 4 | F-sharp in octave 4 | G-sharp in octave 3} Eighth,G#3-incomplete half-diminished seventh chord,0.5,160.0
Chord {A in octave 3 | F-sharp in octave 4} Eighth,F#4-interval class 3,0.5,164.0
Chord {F-sharp in octave 4 | C-sharp in octave 4} Quarter Triplet (2/3 QL),F#4-interval class 5,2/3,172.0
Chord {A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,278.5
Chord {A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,279.0
Chord {A in octave 4 | C in octave 5} Eighth,A4-interval class 3,0.5,279.5
Chord {A in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),A4-interval class 3,2/3,280.0
Chord {G in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,281.0
Chord {G in octave 4 | B in octave 4} Eighth,G4-interval class 4,0.5,281.5
Chord {G in octave 4 | B in octave 4} Eighth,G4-interval class 4,0.5,282.0
Chord {F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,283.0
Chord {F in octave 4 | A in octave 4} Eighth,F4-interval class 4,0.5,851/3
Chord {D in octave 4 | F in octave 4} Half tied to 16th (2 1/4 total QL),D4-interval class 3,2.25,854/3
Chord {F-sharp in octave 4 | B-flat in octave 4} Zero,B-4-interval class 4,0.0,287.0
Chord {G in octave 4 | B in octave 4} 16th,G4-interval class 4,0.25,287.25
Chord {G in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,863/3
Chord {G in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,288.25
Chord {G in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,289.5
