436.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | C in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Half tied to 16th (2 1/4 total QL),C4-major seventh chord,2.25,9.5
Chord {C in octave 2 | C in octave 3} Breve,C2-unison,8.0,24.0
Chord {F in octave 4 | G in octave 3} 16th,G3-interval class 2,0.25,35.5
Chord {C in octave 2 | C in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),C2-unison,11/3,36.0
Chord {C in octave 2 | C in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),C2-unison,11/3,40.0
Chord {C in octave 3 | C in octave 2} Double Dotted Half,C3-unison,3.5,44.0
Chord {C in octave 2 | C in octave 3} Triple Dotted Half (3 3/4 QL),C2-unison,3.75,48.0
Chord {C in octave 2 | C in octave 3} Triple Dotted Half (3 3/4 QL),C2-unison,3.75,52.0
Chord {C in octave 2 | C in octave 3} Triple Dotted Half (3 3/4 QL),C2-unison,3.75,60.0
Chord {C in octave 2 | G-sharp in octave 2} Quarter,C2-interval class 4,1.0,64.0
Chord {F in octave 4 | G in octave 3} 16th,G3-interval class 2,0.25,67.5
Chord {C in octave 2 | C in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),C2-unison,11/3,68.0
Chord {C in octave 2 | C in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),C2-unison,11/3,72.0
Chord {C in octave 3 | C in octave 2} Double Dotted Half,C3-unison,3.5,76.0
Chord {C in octave 2 | C in octave 3} Triple Dotted Half (3 3/4 QL),C2-unison,3.75,80.0
Chord {C in octave 2 | C in octave 3} Triple Dotted Half (3 3/4 QL),C2-unison,3.75,84.0
Chord {C in octave 2 | C in octave 3} Triple Dotted Half (3 3/4 QL),C2-unison,3.75,92.0
Chord {C in octave 2 | G-sharp in octave 2} Quarter,C2-interval class 4,1.0,96.0
Chord {F in octave 4 | G in octave 3} 16th,G3-interval class 2,0.25,99.5
Chord {C in octave 2 | C in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),C2-unison,11/3,100.0
Chord {C in octave 2 | C in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),C2-unison,11/3,104.0
Chord {C in octave 3 | C in octave 2} Double Dotted Half,C3-unison,3.5,108.0
Chord {C in octave 5 | C in octave 2 | G in octave 4 | C in octave 3 | D in octave 4 | G in octave 2} Quarter Triplet (2/3 QL),C5-quartal trichord,2/3,112.75
Chord {C in octave 5 | G in octave 4 | C in octave 2 | C in octave 3 | D in octave 4 | G in octave 2} 16th,C5-quartal trichord,0.25,113.75
Chord {G in octave 2 | G in octave 4 | D in octave 4 | C in octave 3 | C in octave 2} Eighth,C3-quartal trichord,0.5,117.0
Chord {C in octave 5 | G in octave 4 | D in octave 4 | G in octave 2 | C in octave 2 | C in octave 3} 16th,C5-quartal trichord,0.25,117.75
Chord {C in octave 3 | C in octave 2 | G in octave 2} Quarter,C3-interval class 5,1.0,124.0
Chord {C in octave 5 | G in octave 4 | D in octave 4 | C in octave 3 | G in octave 2 | C in octave 2} Eighth,C5-quartal trichord,0.5,125.25
Chord {G in octave 4 | D in octave 4} 16th,G4-interval class 5,0.25,125.75
Chord {C in octave 3 | C in octave 2 | G in octave 2 | D in octave 4} Eighth Triplet (1/3 QL),C3-quartal trichord,1/3,128.5
Chord {F in octave 4 | C in octave 4 | B-flat in octave 4} 16th,B-4-quartal trichord,0.25,129.25
