318.3333333333333
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 5 | G in octave 6} Whole tied to 16th (4 1/4 total QL),E-5-interval class 4,4.25,104/3
Chord {G-sharp in octave 5 | B in octave 5} Half tied to Dotted Eighth (2 3/4 total QL),G#5-interval class 3,2.75,90.5
Chord {G in octave 3 | G-sharp in octave 3} 16th,G3-interval class 1,0.25,34.5
Chord {G in octave 4 | B-flat in octave 4 | E-flat in octave 2 | E-flat in octave 4} Whole,E-2-major triad,4.0,2.75
Chord {E-flat in octave 4 | G in octave 4 | C in octave 3 | C in octave 4} Whole,C3-minor triad,4.0,6.75
Chord {C in octave 4 | G-sharp in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-interval class 4,11/3,10.75
Chord {G in octave 4 | B-flat in octave 4 | E-flat in octave 2 | E-flat in octave 4} Whole,E-2-major triad,4.0,18.75
Chord {E in octave 4 | G in octave 4 | C in octave 3 | B-flat in octave 4} Whole,C3-dominant seventh chord,4.0,22.75
Chord {C in octave 4 | G-sharp in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-interval class 4,11/3,26.75
Chord {B-flat in octave 4 | G in octave 4} Imperfect Longa Tuplet of 48/35ths (11 2/3 QL),G4-interval class 3,35/3,34.75
Chord {C in octave 4 | A in octave 4} Imperfect Longa Tuplet of 48/35ths (11 2/3 QL),A4-interval class 3,35/3,50.75
Chord {E-flat in octave 4 | C in octave 4} Imperfect Longa Tuplet of 48/35ths (11 2/3 QL),C4-interval class 3,35/3,200/3
Chord {G-sharp in octave 4 | E in octave 4 | C-sharp in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C#4-minor triad,11/3,320/3
Chord {C-sharp in octave 4 | B-flat in octave 4 | F-sharp in octave 2 | F-sharp in octave 4} Whole,B-4-major triad,4.0,356/3
Chord {D in octave 4 | G-sharp in octave 4} Half,G#4-tritone,2.0,142.5
Chord {E in octave 4 | A in octave 4} Half,A4-interval class 5,2.0,144.5
Chord {D in octave 4 | F in octave 4 | B-flat in octave 2 | B-flat in octave 4} Whole,B-2-major triad,4.0,146.5
Chord {F in octave 4 | D in octave 4 | B-flat in octave 2 | G-sharp in octave 4} Whole,G#4-dominant seventh chord,4.0,150.5
Chord {F in octave 4 | B-flat in octave 2 | G-sharp in octave 4 | D in octave 4} Double Dotted Quarter,G#4-dominant seventh chord,1.75,464/3
Chord {B-flat in octave 2 | F in octave 4 | G-sharp in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),G#4-incomplete dominant-seventh chord,5.75,156.5
Chord {E-flat in octave 4 | C in octave 4 | A in octave 4} Double Dotted Quarter,A4-diminished triad,1.75,184.5
Chord {C in octave 4 | A in octave 4 | E-flat in octave 4} Triple Dotted Half (3 3/4 QL),A4-diminished triad,3.75,186.5
Chord {E-flat in octave 4 | G-sharp in octave 4 | C in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),C4-major triad,5.75,194.5
Chord {G-sharp in octave 4 | E-flat in octave 4 | C in octave 4} Double Dotted Quarter,C4-major triad,1.75,200.5
Chord {E-flat in octave 4 | C in octave 4} Triple Dotted Half (3 3/4 QL),C4-interval class 3,3.75,202.5
Chord {C in octave 4 | E-flat in octave 4 | A in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),A4-diminished triad,5.75,210.5
Chord {E-flat in octave 4 | C in octave 4 | A in octave 4} Double Dotted Quarter,A4-diminished triad,1.75,216.5
Chord {C in octave 4 | A in octave 4 | E-flat in octave 4} Triple Dotted Half (3 3/4 QL),A4-diminished triad,3.75,218.5
Chord {C in octave 4 | A in octave 4 | E-flat in octave 4} Triple Dotted Half (3 3/4 QL),A4-diminished triad,3.75,250.5
Chord {G-sharp in octave 4 | F in octave 4 | D in octave 4} Double Dotted Quarter,G#4-diminished triad,1.75,793/3
Chord {F-sharp in octave 4 | C-sharp in octave 4 | B-flat in octave 4} Double Dotted Quarter,B-4-major triad,1.75,841/3
Chord {G-sharp in octave 2 | E-flat in octave 4} Breve,E-4-interval class 5,8.0,919/3
Chord {C in octave 4 | A in octave 4 | E-flat in octave 4} Imperfect Longa Tuplet of 48/35ths (11 2/3 QL),A4-diminished triad,35/3,248/3
Chord {C in octave 4 | E-flat in octave 4 | G-sharp in octave 2 | G-sharp in octave 4} Whole,C4-major triad,4.0,344/3
Chord {C in octave 4 | A in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),A4-interval class 3,11/3,368/3
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 4} Imperfect Longa Tuplet of 48/35ths (11 2/3 QL),G#4-diminished triad,35/3,392/3
Chord {B-flat in octave 4 | E-flat in octave 4 | G in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),E-4-major triad,5.75,162.5
Chord {E-flat in octave 4 | B-flat in octave 4 | G in octave 4} Double Dotted Quarter,E-4-major triad,1.75,168.5
Chord {B-flat in octave 4 | G in octave 4} Triple Dotted Half (3 3/4 QL),G4-interval class 3,3.75,170.5
Chord {C in octave 4 | E-flat in octave 4 | A in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),A4-diminished triad,5.75,178.5
Chord {G-sharp in octave 4 | C-sharp in octave 4 | F in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),F4-major triad,5.75,226.5
Chord {C-sharp in octave 4 | G-sharp in octave 4 | F in octave 4} Double Dotted Quarter,F4-major triad,1.75,697/3
Chord {E in octave 4 | G-sharp in octave 4 | C-sharp in octave 4} Triple Dotted Half (3 3/4 QL),C#4-minor triad,3.75,234.5
Chord {E-flat in octave 4 | C in octave 4 | G-sharp in octave 4} Whole,C4-major triad,4.0,242.5
Chord {F-sharp in octave 4 | C-sharp in octave 4 | B-flat in octave 4} Double Dotted Quarter,B-4-major triad,1.75,745/3
Chord {F in octave 4 | G-sharp in octave 4 | D in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),G#4-diminished triad,5.75,775/3
Chord {G in octave 4 | B-flat in octave 4 | C-sharp in octave 4} Triple Dotted Half (3 3/4 QL),C#4-diminished triad,3.75,799/3
Chord {E-flat in octave 4 | G-sharp in octave 4 | C in octave 4} Whole,C4-major triad,4.0,823/3
Chord {C-sharp in octave 4 | F-sharp in octave 4 | B-flat in octave 4} Double Dotted Quarter,B-4-major triad,1.75,835/3
Chord {C in octave 4 | A in octave 4 | E-flat in octave 4} Triple Dotted Half (3 3/4 QL),A4-diminished triad,3.75,847/3
Chord {F in octave 4 | G-sharp in octave 4 | D in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),G#4-diminished triad,5.75,871/3
Chord {G-sharp in octave 4 | F in octave 4 | D in octave 4} Double Dotted Quarter,G#4-diminished triad,1.75,296.25
Chord {G in octave 4 | B-flat in octave 4 | C-sharp in octave 4} Triple Dotted Half (3 3/4 QL),C#4-diminished triad,3.75,895/3
Chord {G-sharp in octave 2 | E-flat in octave 4 | G-sharp in octave 4 | C in octave 4} Triple Dotted Half (3 3/4 QL),C4-major triad,3.75,314.25
Chord {F in octave 4 | G-sharp in octave 4 | C-sharp in octave 3 | C-sharp in octave 4} Breve,F4-major triad,8.0,296/3
Chord {C-sharp in octave 4 | F-sharp in octave 4 | B-flat in octave 4} Double Dotted Quarter,B-4-major triad,1.75,739/3
Chord {E-flat in octave 4 | B-flat in octave 4 | G in octave 3} Whole,E-4-major triad,4.0,2.75
Chord {G in octave 4 | E-flat in octave 4 | C in octave 5} Whole,C5-minor triad,4.0,6.75
