376.0
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 5 | C in octave 5 | A in octave 2} Eighth,D5-incomplete dominant-seventh chord,0.5,14.0
Chord {C in octave 5 | D in octave 5 | A in octave 2} Zero,D5-incomplete dominant-seventh chord,0.0,14.75
Chord {E in octave 3 | E in octave 4 | C in octave 2 | B-flat in octave 3 | G in octave 3} 16th,C2-dominant seventh chord,0.25,24.0
Chord {E in octave 5 | G in octave 5 | D in octave 5 | D in octave 6 | B-flat in octave 4} Zero,E5-half-diminished seventh chord,0.0,26.0
Chord {D in octave 5 | B-flat in octave 4 | D in octave 2} Eighth,B-4-interval class 4,0.5,28.0
Chord {B-flat in octave 4 | D in octave 5 | D in octave 2} Zero,B-4-interval class 4,0.0,28.75
Chord {D in octave 3 | D in octave 4 | E in octave 2 | G-sharp in octave 3 | E in octave 3} 16th,E2-incomplete dominant-seventh chord,0.25,38.0
Chord {G in octave 3 | G in octave 4 | E-flat in octave 2 | C-sharp in octave 4 | B-flat in octave 3} 16th,C#4-dominant seventh chord,0.25,39.0
Chord {G in octave 4 | D in octave 6 | B in octave 4 | F in octave 5} 16th,G4-dominant seventh chord,0.25,50.0
Chord {G-sharp in octave 4 | D in octave 5 | B in octave 5} 16th,G#4-diminished triad,0.25,58.75
Chord {A in octave 4 | D in octave 5 | C in octave 6} 16th,D5-incomplete dominant-seventh chord,0.25,60.75
Chord {A in octave 5 | D in octave 6} 16th,D6-interval class 5,0.25,62.0
Chord {A in octave 4 | C in octave 5 | F-sharp in octave 5 | D in octave 5 | D in octave 6} 16th,D5-dominant seventh chord,0.25,63.0
Chord {D in octave 5 | B in octave 4 | D in octave 2} Eighth,B4-interval class 3,0.5,64.0
Chord {B in octave 4 | D in octave 5 | D in octave 2} Zero,B4-interval class 3,0.0,64.75
Chord {F in octave 2 | A in octave 3 | D in octave 4} Zero,D4-minor triad,0.0,68.0
Chord {F in octave 3 | D in octave 4} 16th,D4-interval class 3,0.25,68.0
Chord {A in octave 5 | D in octave 6} 16th,D6-interval class 5,0.25,70.0
Chord {A in octave 4 | C in octave 5 | F-sharp in octave 5 | D in octave 5 | D in octave 6} 16th,D5-dominant seventh chord,0.25,71.0
Chord {G in octave 5 | D in octave 6} 16th,G5-interval class 5,0.25,72.0
Chord {G in octave 4 | B in octave 4 | F in octave 5 | D in octave 5 | D in octave 6} 16th,G4-dominant seventh chord,0.25,73.0
Chord {D in octave 5 | C in octave 5 | A in octave 2} Eighth,D5-incomplete dominant-seventh chord,0.5,86.0
