398.6666666666667
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,8.0
Chord {E-flat in octave 2 | C-sharp in octave 2 | F-sharp in octave 2 | B in octave 1} 16th,C#2-major-second major tetrachord,0.25,9.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,10.0
Chord {E-flat in octave 2 | C-sharp in octave 2 | F-sharp in octave 2 | B in octave 1} 16th,C#2-major-second major tetrachord,0.25,11.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,12.0
Chord {E-flat in octave 2 | C-sharp in octave 2 | F-sharp in octave 2 | B in octave 1} 16th,C#2-major-second major tetrachord,0.25,13.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,14.0
Chord {E-flat in octave 2 | C-sharp in octave 2 | F-sharp in octave 2 | B in octave 1} 16th,C#2-major-second major tetrachord,0.25,15.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,47/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,16.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,50/3
Chord {E-flat in octave 2 | C-sharp in octave 2 | F-sharp in octave 2 | B in octave 1} 16th,C#2-major-second major tetrachord,0.25,17.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,18.0
Chord {E-flat in octave 2 | C-sharp in octave 2 | F-sharp in octave 2 | B in octave 1} 16th,C#2-major-second major tetrachord,0.25,19.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,20.0
Chord {E-flat in octave 2 | C-sharp in octave 2 | F-sharp in octave 2 | B in octave 1} 16th,C#2-major-second major tetrachord,0.25,21.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,22.0
Chord {E-flat in octave 2 | C-sharp in octave 2 | F-sharp in octave 2 | B in octave 1} 16th,C#2-major-second major tetrachord,0.25,23.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,71/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,24.0
Chord {E-flat in octave 2 | C-sharp in octave 2 | F-sharp in octave 2 | B in octave 1} 16th,C#2-major-second major tetrachord,0.25,25.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,26.0
Chord {E-flat in octave 2 | C-sharp in octave 2 | F-sharp in octave 2 | B in octave 1} 16th,C#2-major-second major tetrachord,0.25,27.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,28.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,86/3
