453.5
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 1 | A in octave 1} 16th,B-1-interval class 1,0.25,354.5
Chord {E in octave 1 | C in octave 1} 16th,C1-interval class 4,0.25,355.5
Chord {D in octave 4 | C in octave 4 | F in octave 4 | A in octave 4} Quarter,D4-minor seventh chord,1.0,8.0
Chord {D in octave 4 | C in octave 4 | F in octave 4} Half tied to Eighth (2 1/2 total QL),D4-incomplete minor-seventh chord,2.5,9.5
Chord {F in octave 4 | C in octave 4 | C-sharp in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),F4-minor-second quartal tetrachord,2/3,38/3
Chord {G in octave 4 | C-sharp in octave 4} Eighth,C#4-tritone,0.5,14.0
Chord {A in octave 3 | G in octave 4 | E in octave 4 | C in octave 4} Quarter,A3-minor seventh chord,1.0,16.0
Chord {C in octave 4 | E in octave 4 | G in octave 4} Double Dotted Quarter,C4-major triad,1.75,17.5
Chord {F in octave 4 | C in octave 4 | B-flat in octave 3 | F-sharp in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),B-3-enigmatic pentachord,1/3,62/3
Chord {B-flat in octave 4 | D in octave 4 | F in octave 4 | G in octave 4 | B-flat in octave 3} Quarter Triplet (2/3 QL),G4-minor seventh chord,2/3,24.0
Chord {B-flat in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),G4-interval class 3,2.25,24.75
Chord {C-sharp in octave 4 | B-flat in octave 3 | G in octave 3 | E in octave 4} 16th,C#4-diminished seventh chord,0.25,86/3
Chord {C-sharp in octave 4 | B-flat in octave 3 | E in octave 4 | G in octave 3} Eighth,C#4-diminished seventh chord,0.5,88/3
Chord {A in octave 3 | D in octave 4 | C in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,104/3
Chord {A in octave 3 | G in octave 3 | C in octave 4 | F in octave 4 | D in octave 4} 16th,D4-major pentatonic,0.25,36.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,B-3-major triad,1.0,44.0
Chord {G in octave 3 | B-flat in octave 3 | C-sharp in octave 4} Quarter,C#4-diminished triad,1.0,46.0
Chord {C in octave 4 | A in octave 3 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-minor triad,1.25,48.0
Chord {C in octave 4 | G in octave 3 | D in octave 4 | F in octave 3} Dotted Eighth,D4-quartal tetramirror,0.75,49.5
Chord {D in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),D4-interval class 2,1/3,50.5
Chord {C in octave 4 | A in octave 3 | G in octave 3 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A3-minor seventh chord,5/3,51.5
Chord {E-flat in octave 4 | F-sharp in octave 3 | A in octave 3} Dotted Eighth,F#3-diminished triad,0.75,54.5
Chord {F in octave 3 | B-flat in octave 3 | G in octave 3} Half Triplet (1 1/3 QL),G3-incomplete minor-seventh chord,4/3,56.0
Chord {D in octave 4 | B-flat in octave 3 | F in octave 3 | G in octave 3} Quarter,G3-minor seventh chord,1.0,173/3
Chord {B-flat in octave 3 | C-sharp in octave 4 | G in octave 4 | E in octave 4} Quarter,C#4-diminished seventh chord,1.0,62.0
Chord {D in octave 4 | A in octave 3 | E in octave 4 | A in octave 4} 16th,D4-quartal trichord,0.25,200/3
Chord {A in octave 3 | C in octave 4 | E in octave 4} Half,A3-minor triad,2.0,67.5
Chord {G in octave 3 | D in octave 4 | A in octave 3 | F-sharp in octave 4 | A in octave 4} Quarter,D4-perfect-fourth major tetrachord,1.0,72.0
Chord {A in octave 3 | G in octave 3 | A in octave 4 | F-sharp in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),D4-perfect-fourth major tetrachord,1/3,73.5
Chord {A in octave 4 | D in octave 4 | A in octave 3 | G in octave 3 | F-sharp in octave 4} 16th,D4-perfect-fourth major tetrachord,0.25,74.5
Chord {C-sharp in octave 4 | A in octave 4 | F-sharp in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),F#4-minor triad,7/3,75.5
Chord {A in octave 4 | C-sharp in octave 4 | G in octave 3 | F in octave 4} 16th,F4-augmented seventh chord,0.25,236/3
Chord {E in octave 4 | A in octave 3 | F in octave 4 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-major-second minor tetrachord,1.25,80.0
Chord {A in octave 3 | C-sharp in octave 4} Quarter,A3-interval class 4,1.0,81.5
Chord {A in octave 3 | A in octave 4 | F in octave 4 | C in octave 4} Eighth,F4-major triad,0.5,86.0
Chord {A in octave 4 | C in octave 4} 16th,A4-interval class 3,0.25,86.75
Chord {C in octave 4 | G in octave 4 | F in octave 4 | A in octave 3} Quarter,F4-major-second major tetrachord,1.0,88.0
Chord {A in octave 3 | C in octave 4 | G in octave 4 | F in octave 4} 16th,F4-major-second major tetrachord,0.25,89.5
Chord {F in octave 3 | B in octave 3} Quarter tied to 16th (1 1/4 total QL),B3-tritone,1.25,91.5
Chord {G in octave 3 | B-flat in octave 3} 16th,G3-interval class 3,0.25,100.0
Chord {F in octave 4 | F in octave 3} Eighth Triplet (1/3 QL),F4-unison,1/3,109.0
Chord {D in octave 4 | G in octave 4} 16th,G4-interval class 5,0.25,109.5
Chord {G in octave 3 | B-flat in octave 3} Quarter Triplet (2/3 QL),G3-interval class 3,2/3,110.0
Chord {G in octave 3 | C-sharp in octave 4} Quarter,C#4-tritone,1.0,110.75
Chord {A in octave 3 | G in octave 3 | E in octave 4 | C in octave 4} Half Triplet (1 1/3 QL),A3-minor seventh chord,4/3,112.0
Chord {C in octave 4 | A in octave 3 | F in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),D4-minor seventh chord,2/3,116.5
Chord {G-sharp in octave 3 | F in octave 3} Dotted Eighth,G#3-interval class 3,0.75,118.0
Chord {F in octave 4 | G in octave 4} Quarter,G4-interval class 2,1.0,120.0
Chord {B-flat in octave 4 | F in octave 4} Dotted Quarter,B-4-interval class 5,1.5,121.5
Chord {A in octave 3 | C-sharp in octave 4} Quarter,A3-interval class 4,1.0,134.0
Chord {C in octave 4 | A in octave 3 | D in octave 4 | F in octave 4} Quarter,D4-minor seventh chord,1.0,136.25
Chord {A in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,137.5
Chord {F in octave 4 | C-sharp in octave 4 | G in octave 3 | C in octave 4} Half tied to Eighth (2 1/2 total QL),F4-minor-second quartal tetrachord,2.5,140.0
Chord {F in octave 4 | G in octave 3 | C in octave 4 | C-sharp in octave 4} 16th,F4-minor-second quartal tetrachord,0.25,143.25
Chord {A in octave 3 | G in octave 3 | E in octave 4 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-minor seventh chord,1.25,144.0
Chord {G in octave 3 | A in octave 3 | E in octave 4 | C in octave 4} 16th,A3-minor seventh chord,0.25,145.5
Chord {A in octave 3 | G in octave 3 | E in octave 4 | C in octave 4} 16th,A3-minor seventh chord,0.25,146.5
Chord {A in octave 3 | G in octave 3 | C in octave 4} 16th,A3-incomplete minor-seventh chord,0.25,147.5
Chord {E-flat in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),A3-tritone,1/3,452/3
Chord {F in octave 3 | B-flat in octave 3 | A in octave 3 | D in octave 4} Dotted Eighth,B-3-major seventh chord,0.75,152.0
Chord {B-flat in octave 3 | F in octave 3 | D in octave 4} Quarter,B-3-major triad,1.0,153.5
Chord {B-flat in octave 3 | A in octave 4 | E in octave 4} Half tied to Eighth (2 1/2 total QL),A4-tritone-fourth,2.5,156.0
Chord {B-flat in octave 3 | E in octave 4 | C-sharp in octave 4} Zero,C#4-diminished triad,0.0,159.0
Chord {A in octave 3 | C in octave 4 | G in octave 4 | E in octave 4} 16th,A3-minor seventh chord,0.25,160.0
Chord {A in octave 3 | C in octave 4 | E in octave 4 | G in octave 4} 16th,A3-minor seventh chord,0.25,160.5
Chord {C in octave 4 | A in octave 3 | D in octave 4 | F in octave 4} 16th,D4-minor seventh chord,0.25,161.5
Chord {C in octave 4 | F in octave 4 | D in octave 4 | A in octave 3} 16th,D4-minor seventh chord,0.25,162.5
Chord {C in octave 4 | D in octave 4 | A in octave 3 | F in octave 4} 16th,D4-minor seventh chord,0.25,164.0
Chord {B-flat in octave 3 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),B-3-interval class 5,1.25,171.75
Chord {F in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,524/3
Chord {C in octave 4 | A in octave 3 | G in octave 3} Half Triplet (1 1/3 QL),A3-incomplete minor-seventh chord,4/3,176.0
Chord {C in octave 4 | G in octave 3 | A in octave 3 | E in octave 4 | G in octave 4} 16th,A3-minor seventh chord,0.25,533/3
Chord {G in octave 4 | C in octave 4 | G in octave 3 | A in octave 3} 16th,A3-incomplete minor-seventh chord,0.25,178.5
Chord {F-sharp in octave 3 | B-flat in octave 3 | C in octave 4} 16th,B-3-incomplete half-diminished seventh chord,0.25,182.5
Chord {G in octave 3 | F in octave 3 | B-flat in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G3-minor seventh chord,5/3,183.5
Chord {G in octave 4 | B-flat in octave 3 | C-sharp in octave 4} 16th,C#4-diminished triad,0.25,190.5
Chord {E in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),E4-interval class 4,1/3,191.0
Chord {E in octave 4 | A in octave 4} Double Dotted Half,A4-interval class 5,3.5,584/3
Chord {G in octave 3 | A in octave 4} Quarter,A4-interval class 2,1.0,200.0
Chord {G in octave 3 | A in octave 4 | D in octave 4 | F-sharp in octave 4} Quarter Triplet (2/3 QL),D4-perfect-fourth major tetrachord,2/3,201.5
Chord {G in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G3-interval class 5,1/3,202.5
Chord {G in octave 3 | A in octave 4 | D in octave 4 | F-sharp in octave 4} Eighth,D4-perfect-fourth major tetrachord,0.5,203.25
Chord {A in octave 3 | A in octave 4} Double Dotted Quarter,A3-unison,1.75,208.0
Chord {C in octave 4 | A in octave 4 | D in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D4-minor seventh chord,1/3,214.25
Chord {F in octave 4 | D in octave 4 | A in octave 4 | C in octave 4} Eighth,D4-minor seventh chord,0.5,214.75
Chord {D in octave 4 | G-sharp in octave 4 | F in octave 4} 16th,G#4-diminished triad,0.25,215.5
Chord {C in octave 4 | D in octave 4 | F in octave 4 | G in octave 4} Dotted Eighth,D4-quartal tetramirror,0.75,216.0
Chord {A in octave 3 | G in octave 4 | D in octave 4 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),D4-major pentatonic,2/3,217.5
Chord {D in octave 4 | C in octave 4 | A in octave 3 | F in octave 4 | G in octave 4} 16th,D4-major pentatonic,0.25,218.5
Chord {F in octave 3 | B in octave 3} Half Triplet (1 1/3 QL),B3-tritone,4/3,219.5
Chord {E in octave 4 | D in octave 4 | G in octave 4} Eighth,E4-incomplete minor-seventh chord,0.5,228.0
Chord {F in octave 4 | D in octave 4} Dotted Quarter,D4-interval class 3,1.5,235.5
Chord {E in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G in octave 3} Eighth,C#4-diminished seventh chord,0.5,238.0
Chord {A in octave 3 | G in octave 3} Quarter,A3-interval class 2,1.0,240.0
Chord {G in octave 3 | A in octave 3 | C in octave 4} 16th,A3-incomplete minor-seventh chord,0.25,241.5
Chord {A in octave 3 | G in octave 3 | C in octave 4} 16th,A3-incomplete minor-seventh chord,0.25,242.5
Chord {A in octave 3 | G in octave 3 | C in octave 4} Dotted Eighth,A3-incomplete minor-seventh chord,0.75,244.0
Chord {F in octave 3 | B-flat in octave 3 | G in octave 3 | D in octave 4} Quarter,G3-minor seventh chord,1.0,248.0
Chord {B-flat in octave 3 | A in octave 4} 16th,B-3-interval class 1,0.25,251.0
Chord {A in octave 4 | E in octave 4} Double Dotted Quarter,A4-interval class 5,1.75,252.0
Chord {B-flat in octave 3 | E in octave 4} Eighth,E4-tritone,0.5,254.5
Chord {B-flat in octave 3 | G in octave 4 | C in octave 4 | E-flat in octave 4} Quarter Triplet (2/3 QL),C4-minor seventh chord,2/3,256.0
Chord {B-flat in octave 4 | B-flat in octave 3 | E-flat in octave 4 | G in octave 4} Dotted Eighth,E-4-major triad,0.75,258.0
Chord {C-sharp in octave 4 | F-sharp in octave 4} Eighth,F#4-interval class 5,0.5,262.5
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F in octave 4} Quarter,D4-minor seventh chord,1.0,264.0
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D4-minor seventh chord,1/3,265.5
Chord {C in octave 4 | A in octave 3 | F in octave 4 | D in octave 4} 16th,D4-minor seventh chord,0.25,266.5
Chord {G in octave 3 | C in octave 4 | F in octave 4 | C-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),F4-minor-second quartal tetrachord,2.5,267.5
Chord {C in octave 4 | G in octave 3 | C-sharp in octave 4 | F in octave 4} 16th,F4-minor-second quartal tetrachord,0.25,271.0
Chord {E in octave 4 | C in octave 4 | G in octave 3 | A in octave 3} Half tied to 16th (2 1/4 total QL),A3-minor seventh chord,2.25,272.0
Chord {C in octave 4 | G in octave 3 | A in octave 3} 16th,A3-incomplete minor-seventh chord,0.25,824/3
Chord {G in octave 3 | E in octave 4 | A in octave 3} Double Dotted Quarter,A3-incomplete dominant-seventh chord,1.75,827/3
Chord {D in octave 4 | B-flat in octave 3 | G in octave 3 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-minor seventh chord,1.25,280.0
Chord {G in octave 3 | D in octave 4 | B-flat in octave 3} 16th,G3-minor triad,0.25,282.5
Chord {A in octave 3 | C in octave 4 | G in octave 4 | E in octave 4} Quarter,A3-minor seventh chord,1.0,288.0
Chord {D in octave 4 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-interval class 2,1.25,289.5
Chord {A in octave 3 | C in octave 4} Dotted Quarter,A3-interval class 3,1.5,292.0
Chord {E in octave 4 | B-flat in octave 3 | F-sharp in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-Messiaen's truncated mode 6,1/3,294.5
Chord {B-flat in octave 3 | D in octave 4 | G in octave 3 | F in octave 3} Half Triplet (1 1/3 QL),G3-minor seventh chord,4/3,296.0
Chord {D in octave 4 | F in octave 4} Dotted Eighth,D4-interval class 3,0.75,893/3
Chord {C-sharp in octave 4 | G in octave 3} Half tied to Eighth (2 1/2 total QL),C#4-tritone,2.5,300.0
Chord {C in octave 4 | G in octave 3 | A in octave 3 | E in octave 4} Dotted Eighth,A3-minor seventh chord,0.75,304.0
Chord {F in octave 3 | A in octave 3 | D in octave 4 | C in octave 4} Quarter,D4-minor seventh chord,1.0,305.5
Chord {C in octave 4 | A in octave 3 | G in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-minor seventh chord,1.25,308.0
Chord {C in octave 4 | D in octave 4 | A in octave 3 | F in octave 4} Quarter Triplet (2/3 QL),D4-minor seventh chord,2/3,309.5
Chord {E-flat in octave 4 | B in octave 3 | G-sharp in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),E-4-half-diminished seventh chord,1/3,311.0
Chord {B-flat in octave 3 | F in octave 3 | G in octave 3} Half,G3-incomplete minor-seventh chord,2.0,312.0
Chord {F-sharp in octave 4 | B-flat in octave 3 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E4-incomplete dominant-seventh chord,5/3,316.0
Chord {B-flat in octave 3 | G in octave 4 | C-sharp in octave 4} Dotted Eighth,C#4-diminished triad,0.75,318.0
Chord {E in octave 4 | B-flat in octave 3} 16th,E4-tritone,0.25,319.0
Chord {E in octave 4 | C in octave 4 | A in octave 3} Eighth,A3-minor triad,0.5,980/3
Chord {G in octave 3 | D in octave 4 | A in octave 4 | F-sharp in octave 4} Eighth,D4-perfect-fourth major tetrachord,0.5,988/3
Chord {G in octave 3 | D in octave 4 | A in octave 4 | F-sharp in octave 4} 16th,D4-perfect-fourth major tetrachord,0.25,331.25
Chord {C in octave 4 | F in octave 4 | A in octave 4 | D in octave 4} Eighth,D4-minor seventh chord,0.5,342.0
Chord {F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,342.75
Chord {F in octave 4 | G-sharp in octave 4 | D in octave 4} 16th,G#4-diminished triad,0.25,343.5
Chord {G in octave 4 | C in octave 4} Dotted Eighth,C4-interval class 5,0.75,344.0
Chord {A in octave 3 | G in octave 4 | C in octave 4 | D in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),D4-major pentatonic,2/3,345.5
Chord {C in octave 4 | D in octave 4 | A in octave 3 | G in octave 4} 16th,A3-quartal tetramirror,0.25,346.5
Chord {G in octave 4 | F in octave 3 | B-flat in octave 3} Dotted Quarter,G4-incomplete minor-seventh chord,1.5,363.5
Chord {F in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,366.75
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,368.0
Chord {D in octave 4 | A in octave 3 | F in octave 3 | C in octave 4} Whole Triplet (2 2/3 QL),D4-minor seventh chord,8/3,369.5
