647.75
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 3 | E in octave 4 | G in octave 4} Quarter,E4-interval class 3,1.0,14/3
Chord {E-flat in octave 4 | A in octave 3 | F-sharp in octave 4} Dotted Eighth,F#4-diminished triad,0.75,6.0
Chord {F in octave 4 | D in octave 4 | B in octave 3} Dotted Eighth,B3-diminished triad,0.75,7.0
Chord {D in octave 4 | G-sharp in octave 3 | E in octave 4 | B in octave 3} Whole,E4-dominant seventh chord,4.0,16.0
Chord {F in octave 3 | A in octave 3 | D in octave 4 | A in octave 4} Whole,D4-minor triad,4.0,20.0
Chord {G in octave 3 | A in octave 3 | C in octave 4 | E in octave 3} Whole,A3-minor seventh chord,4.0,24.0
Chord {C in octave 4 | E in octave 4 | G in octave 4 | A in octave 3} Whole,A3-minor seventh chord,4.0,28.0
Chord {E in octave 4 | C-sharp in octave 4 | A in octave 3 | G in octave 3} Whole tied to Half tied to Quarter tied to 16th (7 1/4 total QL),A3-dominant seventh chord,7.25,32.0
Chord {A in octave 3 | C in octave 4 | F-sharp in octave 3 | E in octave 4} Whole,F#3-half-diminished seventh chord,4.0,40.0
Chord {E in octave 4 | F-sharp in octave 3 | C in octave 4 | G-sharp in octave 3} Whole,C4-augmented seventh chord,4.0,44.0
Chord {G in octave 3 | B in octave 3 | D in octave 4 | F in octave 4 | F in octave 3} Whole,G3-dominant seventh chord,4.0,48.0
Chord {F in octave 3 | F in octave 4 | E-flat in octave 4 | B in octave 3 | G in octave 3} Half tied to Quarter tied to 16th (3 1/4 total QL),E-4-augmented seventh chord,3.25,52.0
Chord {G in octave 3 | A in octave 3 | C in octave 4 | E in octave 4} Whole,A3-minor seventh chord,4.0,56.0
Chord {F-sharp in octave 4 | E-flat in octave 4 | B-flat in octave 3 | F-sharp in octave 3} Whole,E-4-minor triad,4.0,60.0
Chord {F in octave 3 | A in octave 3 | D in octave 4 | F in octave 4} Whole,D4-minor triad,4.0,64.0
Chord {G in octave 3 | B in octave 3 | E-flat in octave 4 | F in octave 4 | G in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),E-4-augmented seventh chord,3.25,68.0
Chord {E in octave 4 | D in octave 4 | B in octave 3 | G-sharp in octave 3} Whole,E4-dominant seventh chord,4.0,80.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3} Whole,F4-major triad,4.0,84.0
Chord {E in octave 3 | C in octave 4 | A in octave 3 | G in octave 3} Whole,A3-minor seventh chord,4.0,88.0
Chord {A in octave 3 | G in octave 4 | E in octave 4 | C in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),A3-minor seventh chord,3.25,92.0
Chord {G in octave 3 | A in octave 3 | C-sharp in octave 4 | E in octave 4} Whole tied to Half tied to Quarter tied to 16th (7 1/4 total QL),A3-dominant seventh chord,7.25,96.0
Chord {E in octave 4 | F-sharp in octave 3 | C in octave 4 | A in octave 3} Whole,F#3-half-diminished seventh chord,4.0,104.0
Chord {G-sharp in octave 3 | C in octave 4 | F-sharp in octave 3 | E in octave 4} Whole,C4-augmented seventh chord,4.0,108.0
Chord {F in octave 3 | F in octave 4 | D in octave 4 | B in octave 3 | G in octave 3} Whole,G3-dominant seventh chord,4.0,112.0
