330.0
4/4
FullName,CommonName,Len,Offset
Chord {C-sharp in octave 3 | B in octave 1} 16th,C#3-interval class 2,0.25,12.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,13.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,13.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,14.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,15.0
Chord {E-flat in octave 3 | D in octave 2 | B in octave 1} 16th,E-3-major-minor trichord,0.25,15.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,16.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,17.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,17.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,18.0
Chord {B in octave 1 | D in octave 3 | E in octave 2 | B-flat in octave 2} Zero,E2-all-interval tetrachord,0.0,56/3
Chord {E-flat in octave 3 | D in octave 2 | B in octave 1} 16th,E-3-major-minor trichord,0.25,19.75
Chord {B-flat in octave 2 | E in octave 2} Zero,E2-tritone,0.0,20.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,20.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,21.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,21.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,22.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,23.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,23.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,24.0
Chord {D in octave 3 | E in octave 2} Zero,E2-interval class 2,0.0,25.0
Chord {D in octave 3 | E in octave 2} Zero,E2-interval class 2,0.0,76/3
Chord {E in octave 2 | D in octave 3} Zero,E2-interval class 2,0.0,77/3
Chord {B in octave 2 | E in octave 2} Zero,E2-interval class 5,0.0,26.0
Chord {B in octave 2 | E in octave 2} Zero,E2-interval class 5,0.0,79/3
Chord {E in octave 2 | B in octave 2} Zero,E2-interval class 5,0.0,80/3
Chord {G in octave 2 | E in octave 2} Zero,E2-interval class 3,0.0,27.0
Chord {G in octave 2 | E in octave 2} Zero,E2-interval class 3,0.0,82/3
Chord {G in octave 2 | B in octave 1 | E in octave 2} Zero,E2-minor triad,0.0,83/3
Chord {D in octave 2 | D in octave 2} Quarter,D2-unison,1.0,27.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,32.0
Chord {E-flat in octave 3 | F-sharp in octave 2 | E in octave 2 | B in octave 1} 16th,E-3-perfect-fourth major tetrachord,0.25,33.0
Chord {E in octave 2 | B in octave 1} 16th,E2-interval class 5,0.25,101/3
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,36.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,37.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,37.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,38.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,39.0
Chord {E-flat in octave 3 | D in octave 2 | B in octave 1} 16th,E-3-major-minor trichord,0.25,39.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,40.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,41.0
Chord {E-flat in octave 3 | D in octave 2 | B in octave 1} 16th,E-3-major-minor trichord,0.25,41.75
Chord {E-flat in octave 3 | D in octave 2 | B in octave 1} 16th,E-3-major-minor trichord,0.25,42.0
Chord {E-flat in octave 3 | F-sharp in octave 2 | D in octave 2} 16th,D2-major-minor trichord,0.25,43.0
Chord {E-flat in octave 3 | D in octave 2 | B in octave 1} 16th,E-3-major-minor trichord,0.25,43.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,44.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,45.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,45.75
Chord {E-flat in octave 3 | D in octave 2 | B in octave 1} 16th,E-3-major-minor trichord,0.25,46.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,47.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,47.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,48.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,49.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,49.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,50.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,51.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,51.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,52.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,53.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,53.75
Chord {E-flat in octave 3 | D in octave 2 | B in octave 1} 16th,E-3-major-minor trichord,0.25,54.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,55.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,55.75
