531.0
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 5 | F in octave 5} Quarter,D5-interval class 3,1.0,274.0
Chord {D in octave 5 | F in octave 5} Quarter,D5-interval class 3,1.0,530.0
Chord {B-flat in octave 3 | E in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,413/3
Chord {C in octave 5 | A in octave 4} Eighth,A4-interval class 3,0.5,170.0
Chord {E in octave 4 | B-flat in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,533/3
Chord {B-flat in octave 3 | E in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,581/3
Chord {B-flat in octave 3 | E in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,725/3
Chord {C in octave 5 | A in octave 4} Eighth,A4-interval class 3,0.5,426.0
Chord {E in octave 4 | B-flat in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,221/3
Chord {B-flat in octave 3 | E in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,269/3
Chord {E in octave 4 | B-flat in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,989/3
Chord {B-flat in octave 3 | E in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,1037/3
Chord {B-flat in octave 3 | E in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,1181/3
Chord {E in octave 4 | B-flat in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,1301/3
Chord {B-flat in octave 3 | E in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,1349/3
Chord {B-flat in octave 3 | E in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E4-tritone,7/3,1493/3
Chord {B in octave 3 | G in octave 3} Quarter,G3-interval class 4,1.0,24.0
Chord {F in octave 3 | A in octave 3} Half,F3-interval class 4,2.0,54.0
Chord {B-flat in octave 3 | E in octave 3} Half,E3-tritone,2.0,56.0
Chord {D in octave 3 | A in octave 3} Quarter,D3-interval class 5,1.0,58.0
Chord {D in octave 3 | G-sharp in octave 3} Quarter,G#3-tritone,1.0,59.0
Chord {F in octave 2 | C in octave 3} Quarter,F2-interval class 5,1.0,76.0
Chord {F in octave 2 | C in octave 3} Quarter,F2-interval class 5,1.0,92.0
