396.9166666666667
4/4
FullName,CommonName,Len,Offset
Chord {F-sharp in octave 3 | B in octave 4 | E in octave 4 | C in octave 4} Eighth,C4-minor-second quartal tetrachord,0.5,2.0
Chord {B-flat in octave 5 | G in octave 5} 16th,G5-interval class 3,0.25,4.0
Chord {F in octave 5 | F in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F5-interval class 5,1/3,14/3
Chord {G in octave 4 | B-flat in octave 2 | G-sharp in octave 3 | D in octave 4} Zero,G4-all-interval tetrachord,0.0,6.0
Chord {A in octave 4 | D in octave 4 | B-flat in octave 3 | A in octave 3 | E in octave 4} 16th,B-3-minor-second quartal tetrachord,0.25,20/3
Chord {B-flat in octave 4 | C-sharp in octave 4 | F in octave 4 | B-flat in octave 3} 16th,B-4-minor triad,0.25,26/3
Chord {C-sharp in octave 4 | G-sharp in octave 4 | F in octave 4} 16th,F4-major triad,0.25,9.0
Chord {B-flat in octave 4 | C-sharp in octave 4 | B-flat in octave 3} 16th,C#4-interval class 3,0.25,28/3
Chord {F in octave 4 | B in octave 2 | C-sharp in octave 4 | E-flat in octave 4} 16th,C#4-whole-tone tetramirror,0.25,12.0
Chord {G-sharp in octave 4 | A in octave 3 | E-flat in octave 4} Zero,A3-tritone-fourth,0.0,14.0
Chord {G in octave 4 | D in octave 4} 16th,G4-interval class 5,0.25,15.0
Chord {E-flat in octave 5 | G-sharp in octave 4 | E-flat in octave 4 | C in octave 5 | F in octave 4} 16th,C5-minor seventh chord,0.25,20.0
Chord {C-sharp in octave 5 | C-sharp in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),C#5-interval class 5,1/3,20.75
Chord {C-sharp in octave 5 | F in octave 4 | G-sharp in octave 4} Zero,F4-major triad,0.0,65/3
Chord {F in octave 4 | F-sharp in octave 3} Quarter Triplet (2/3 QL),F4-interval class 1,2/3,26.0
Chord {F in octave 3 | F in octave 4 | E-flat in octave 4 | C in octave 4} Zero,F3-incomplete dominant-seventh chord,0.0,28.0
Chord {B-flat in octave 6 | D in octave 4} Eighth,B-6-interval class 4,0.5,29.0
Chord {E-flat in octave 5 | E-flat in octave 6 | G in octave 3 | F in octave 4 | B-flat in octave 5} Eighth Triplet (1/3 QL),E-5-major-second major tetrachord,1/3,30.0
Chord {G-sharp in octave 6 | G-sharp in octave 5 | F-sharp in octave 3 | E-flat in octave 6} Eighth,E-6-incomplete dominant-seventh chord,0.5,31.0
Chord {B-flat in octave 3 | D in octave 4 | C in octave 5 | C in octave 6 | G in octave 5} Zero,G5-perfect-fourth minor tetrachord,0.0,101/3
Chord {F-sharp in octave 3 | B in octave 5 | E in octave 4 | C-sharp in octave 4 | F-sharp in octave 5 | B in octave 4} 16th,C#4-quartal tetramirror,0.25,34.0
Chord {F-sharp in octave 4 | B in octave 6 | A in octave 3 | C-sharp in octave 4 | B in octave 5 | A in octave 6} Eighth,F#4-perfect-fourth minor tetrachord,0.5,35.0
Chord {E-flat in octave 4 | C in octave 4 | G in octave 4} Eighth,C4-minor triad,0.5,36.0
Chord {F in octave 6 | G in octave 4 | F in octave 5 | C in octave 6} Zero,F6-quartal trichord,0.0,110/3
Chord {G-sharp in octave 3 | G in octave 4 | E-flat in octave 4 | F in octave 5 | C in octave 4} 16th,C4-minor-ninth chord,0.25,110/3
