932.75
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 4 | B-flat in octave 3} Half Triplet (1 1/3 QL),E-4-interval class 5,4/3,4.0
Chord {G in octave 4 | B-flat in octave 3 | E-flat in octave 4} 16th,E-4-major triad,0.25,6.0
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,8.0
Chord {G in octave 4 | D in octave 4} Zero,G4-interval class 5,0.0,9.75
Chord {E-flat in octave 4 | D in octave 4} 16th,E-4-interval class 1,0.25,9.75
Chord {C in octave 6 | C in octave 4} Eighth Triplet (1/3 QL),C6-unison,1/3,11.75
Chord {D in octave 6 | D in octave 5} Eighth,D6-unison,0.5,15.0
Chord {F in octave 4 | D in octave 5} 16th,D5-interval class 3,0.25,15.75
Chord {B-flat in octave 3 | C in octave 4} Zero,C4-interval class 2,0.0,17.75
Chord {G in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-4-interval class 4,1/3,22.0
Chord {E-flat in octave 4 | C in octave 4 | F-sharp in octave 3} 16th,F#3-diminished triad,0.25,23.75
Chord {E-flat in octave 4 | C in octave 4 | F-sharp in octave 3} 16th,F#3-diminished triad,0.25,25.75
Chord {D in octave 4 | B-flat in octave 3} 16th,B-3-interval class 4,0.25,27.75
Chord {D in octave 4 | B-flat in octave 3} 16th,B-3-interval class 4,0.25,29.75
Chord {B-flat in octave 3 | F-sharp in octave 5} 16th,B-3-interval class 4,0.25,31.75
Chord {C in octave 6 | B-flat in octave 3} 16th,C6-interval class 2,0.25,34.75
Chord {G in octave 4 | C in octave 5 | E-flat in octave 4} Eighth Triplet (1/3 QL),C5-minor triad,1/3,119/3
Chord {D in octave 4 | G in octave 4 | E-flat in octave 4} 16th,E-4-incomplete major-seventh chord,0.25,41.75
Chord {F in octave 4 | D in octave 4} Zero,D4-interval class 3,0.0,46.25
Chord {C in octave 5 | B-flat in octave 3} 16th,C5-interval class 2,0.25,51.75
Chord {A in octave 3 | G in octave 3 | B-flat in octave 3} 16th,G3-minor trichord,0.25,59.75
Chord {B-flat in octave 3 | D in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 4,1/3,233/3
Chord {D in octave 3 | F-sharp in octave 3} Zero,D3-interval class 4,0.0,80.75
Chord {A in octave 4 | B in octave 4} Zero,B4-interval class 2,0.0,91.0
Chord {F in octave 4 | C in octave 4} Zero,F4-interval class 5,0.0,98.75
Chord {F-sharp in octave 3 | C in octave 4} 16th,F#3-tritone,0.25,107.0
Chord {G in octave 4 | G-sharp in octave 3} 16th,G4-interval class 1,0.25,112.0
Chord {D in octave 3 | F-sharp in octave 3} Zero,D3-interval class 4,0.0,124.75
Chord {D in octave 4 | G in octave 3} 16th,G3-interval class 5,0.25,132.75
Chord {G in octave 4 | D in octave 4} 16th,G4-interval class 5,0.25,141.75
Chord {B-flat in octave 3 | F-sharp in octave 3 | C in octave 4} Zero,B-3-incomplete half-diminished seventh chord,0.0,153.75
Chord {G in octave 4 | E-flat in octave 4} 16th,E-4-interval class 4,0.25,512/3
Chord {C in octave 7 | C in octave 6} Eighth,C7-unison,0.5,177.25
Chord {E-flat in octave 4 | C in octave 4} Eighth,C4-interval class 3,0.5,180.0
Chord {E-flat in octave 5 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 3,1/3,183.75
Chord {A in octave 3 | D in octave 4} Eighth,D4-interval class 5,0.5,203.75
Chord {B-flat in octave 3 | A in octave 3} Quarter Triplet (2/3 QL),B-3-interval class 1,2/3,208.75
Chord {E-flat in octave 5 | G in octave 4} 16th,E-5-interval class 4,0.25,213.75
Chord {E in octave 4 | F in octave 4} 16th,F4-interval class 1,0.25,701/3
Chord {B in octave 4 | F-sharp in octave 3} 16th,B4-interval class 5,0.25,234.75
Chord {E in octave 4 | F-sharp in octave 3} Eighth,F#3-interval class 2,0.5,239.0
Chord {G in octave 4 | G-sharp in octave 3} Quarter,G4-interval class 1,1.0,240.0
Chord {D in octave 5 | D in octave 6} Zero,D5-unison,0.0,244.25
Chord {D in octave 6 | D in octave 4 | D in octave 5} 16th,D6-unison,0.25,244.75
Chord {C in octave 4 | D in octave 4} Zero,D4-interval class 2,0.0,247.0
Chord {E-flat in octave 4 | G in octave 3} 16th,E-4-interval class 4,0.25,248.0
Chord {E-flat in octave 6 | E-flat in octave 5} Zero,E-6-unison,0.0,250.0
Chord {D in octave 4 | B-flat in octave 3 | A in octave 3} 16th,B-3-incomplete major-seventh chord,0.25,755/3
Chord {D in octave 4 | B-flat in octave 3 | G in octave 3} Zero,G3-minor triad,0.0,254.75
Chord {B in octave 3 | E-flat in octave 4} Zero,E-4-interval class 4,0.0,257.75
Chord {C in octave 4 | G-sharp in octave 3} Zero,C4-interval class 4,0.0,264.75
Chord {A in octave 3 | F in octave 3} Zero,F3-interval class 4,0.0,267.75
Chord {F in octave 3 | A in octave 3} Zero,F3-interval class 4,0.0,268.75
Chord {B-flat in octave 2 | D in octave 3} Zero,B-2-interval class 4,0.0,270.75
Chord {G in octave 5 | E-flat in octave 4} Zero,E-4-interval class 4,0.0,278.75
Chord {F-sharp in octave 3 | F in octave 4 | B-flat in octave 3} Eighth,B-3-incomplete major-seventh chord,0.5,280.25
Chord {F in octave 6 | F in octave 4} Eighth Triplet (1/3 QL),F6-unison,1/3,281.25
Chord {E-flat in octave 6 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,282.0
Chord {E-flat in octave 6 | B-flat in octave 3} Eighth Triplet (1/3 QL),E-6-interval class 5,1/3,284.0
Chord {B-flat in octave 3 | D in octave 4 | A in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),G3-major-second minor tetrachord,1/3,284.75
Chord {G in octave 6 | G in octave 5 | B-flat in octave 3} Eighth Triplet (1/3 QL),G6-interval class 3,1/3,856/3
Chord {A in octave 6 | A in octave 5 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 1,1/3,860/3
Chord {A in octave 6 | A in octave 5} 16th,A6-unison,0.25,287.25
Chord {B-flat in octave 6 | D in octave 4} Eighth,B-6-interval class 4,0.5,288.25
Chord {B-flat in octave 6 | D in octave 4} Eighth,B-6-interval class 4,0.5,289.0
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4} Zero,G3-minor triad,0.0,289.75
Chord {B in octave 6 | B in octave 5 | E-flat in octave 4 | F in octave 3 | E in octave 6} Eighth,E-4-major third testacluster,0.5,871/3
Chord {E-flat in octave 4 | B in octave 5 | E in octave 6} Eighth Triplet (1/3 QL),E-4-incomplete major-seventh chord,1/3,291.0
Chord {E-flat in octave 3 | C in octave 7} Eighth,C7-interval class 3,0.5,292.25
Chord {E-flat in octave 3 | A in octave 3} Half,A3-tritone,2.0,293.0
Chord {G-sharp in octave 4 | A in octave 3} Double Dotted Quarter,A3-interval class 1,1.75,296.0
Chord {C-sharp in octave 4 | D in octave 3} Dotted Eighth,D3-interval class 1,0.75,300.0
Chord {E-flat in octave 3 | B-flat in octave 3} Zero,E-3-interval class 5,0.0,306.75
Chord {C-sharp in octave 4 | C in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-augmented major tetrachord,1/3,311.0
Chord {C in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-major triad,1/3,311.75
