407.1666666666667
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 3 | G-sharp in octave 4} Dotted Eighth,G#3-unison,0.75,16.5
Chord {G in octave 4 | E-flat in octave 4 | G in octave 1} Eighth Triplet (1/3 QL),E-4-interval class 4,1/3,21.0
Chord {B in octave 4 | F in octave 4} Eighth,B4-tritone,0.5,68/3
Chord {G in octave 5 | F in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G5-incomplete dominant-seventh chord,1/3,24.0
Chord {E-flat in octave 5 | B in octave 4 | G in octave 5} Eighth Triplet (1/3 QL),E-5-augmented triad,1/3,25.0
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,119/3
Chord {D in octave 5 | G-sharp in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),G#4-diminished triad,1/3,43.25
Chord {E-flat in octave 5 | C in octave 4} Quarter,C4-interval class 3,1.0,45.5
Chord {B-flat in octave 4 | E-flat in octave 4} Eighth,E-4-interval class 5,0.5,163/3
Chord {E in octave 5 | A in octave 4 | E in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),D4-quartal trichord,1/3,55.25
Chord {E in octave 4 | D in octave 5 | G in octave 4 | D in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-major-second major tetrachord,1/3,57.25
Chord {E-flat in octave 4 | C-sharp in octave 4 | F-sharp in octave 4 | C-sharp in octave 5} Eighth,F#4-incomplete minor-seventh chord,0.5,58.25
Chord {E-flat in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),E-4-interval class 5,2/3,61.75
Chord {G-sharp in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-interval class 4,1.25,63.5
Chord {G-sharp in octave 3 | C in octave 4} 16th,C4-interval class 4,0.25,65.0
Chord {F in octave 4 | G-sharp in octave 3} 16th,G#3-interval class 3,0.25,65.75
Chord {E-flat in octave 4 | E-flat in octave 3} Quarter,E-4-unison,1.0,67.75
Chord {E-flat in octave 6 | E-flat in octave 5 | G-sharp in octave 4 | G-sharp in octave 5} Quarter Triplet (2/3 QL),E-6-interval class 5,2/3,74.5
Chord {G-sharp in octave 4 | E-flat in octave 6 | B-flat in octave 3} Eighth,E-6-quartal trichord,0.5,75.75
Chord {G-sharp in octave 4 | E-flat in octave 6} Quarter Triplet (2/3 QL),E-6-interval class 5,2/3,77.25
Chord {G-sharp in octave 4 | E-flat in octave 4} 16th,E-4-interval class 5,0.25,79.75
Chord {G in octave 5 | G in octave 4} Quarter,G5-unison,1.0,94.75
