448.5
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 5 | B in octave 3} Eighth,B5-unison,0.5,0.25
Chord {C in octave 6 | C in octave 4} Eighth,C6-unison,0.5,0.75
Chord {D in octave 4 | D in octave 6} Eighth,D4-unison,0.5,1.25
Chord {E in octave 4 | E in octave 6} Quarter Triplet (2/3 QL),E4-unison,2/3,1.75
Chord {G in octave 2 | B in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),G2-interval class 4,5/3,13/3
Chord {D in octave 6 | D in octave 4} Eighth,D6-unison,0.5,12.5
Chord {C in octave 6 | C in octave 4} Quarter Triplet (2/3 QL),C6-unison,2/3,13.25
Chord {E in octave 5 | G-sharp in octave 4} Dotted Quarter,E5-interval class 4,1.5,65/3
Chord {F in octave 5 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 3,1/3,23.75
Chord {F in octave 4 | C in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),F4-incomplete major-seventh chord,1/3,27.75
Chord {A in octave 6 | C in octave 6} Eighth,A6-interval class 3,0.5,31.25
Chord {G in octave 6 | A in octave 2} Dotted Eighth,A2-interval class 2,0.75,34.0
Chord {D in octave 5 | B-flat in octave 4} Quarter,B-4-interval class 4,1.0,122/3
Chord {F in octave 3 | C in octave 4 | A in octave 3} Quarter Triplet (2/3 QL),F3-major triad,2/3,45.25
Chord {F in octave 3 | A in octave 3 | G in octave 2} Quarter Triplet (2/3 QL),F3-whole-tone trichord,2/3,47.25
Chord {F in octave 3 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-interval class 3,2/3,145/3
Chord {E in octave 4 | D in octave 4 | B-flat in octave 3} Eighth,E4-incomplete half-diminished seventh chord,0.5,55.0
Chord {A in octave 4 | D in octave 4 | F in octave 4} Quarter,D4-minor triad,1.0,56.25
Chord {G in octave 4 | F in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),G4-incomplete dominant-seventh chord,2/3,57.5
Chord {D in octave 5 | E in octave 4 | A in octave 4} Eighth,D5-quartal trichord,0.5,60.75
Chord {C in octave 5 | F in octave 4 | A in octave 4} Quarter,F4-major triad,1.0,71.25
Chord {D in octave 5 | F in octave 4} Half Triplet (1 1/3 QL),D5-interval class 3,4/3,73.0
Chord {G in octave 4 | E in octave 5 | E in octave 4} Eighth,E5-interval class 3,0.5,75.5
Chord {D in octave 5 | F in octave 4} Eighth,D5-interval class 3,0.5,88.0
Chord {C in octave 5 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),C5-interval class 5,1.25,90.0
Chord {B in octave 3 | F in octave 3 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B3-incomplete half-diminished seventh chord,5/3,99.75
Chord {A in octave 3 | C in octave 4} 16th,A3-interval class 3,0.25,117.0
Chord {C in octave 4 | B in octave 3} Eighth,C4-interval class 1,0.5,123.0
Chord {E in octave 4 | C in octave 4} Quarter,C4-interval class 4,1.0,124.0
Chord {B in octave 4 | D in octave 4 | F in octave 4} Eighth,B4-diminished triad,0.5,132.5
Chord {C in octave 5 | A in octave 2} Eighth Triplet (1/3 QL),A2-interval class 3,1/3,401/3
Chord {C in octave 6 | G in octave 5} Eighth,C6-interval class 5,0.5,404/3
Chord {B in octave 5 | B in octave 4 | E in octave 5} Eighth,E5-interval class 5,0.5,407/3
Chord {A in octave 5 | C in octave 4} 16th,A5-interval class 3,0.25,144.5
Chord {F in octave 5 | B-flat in octave 4 | C in octave 4} 16th,B-4-quartal trichord,0.25,152.0
Chord {D in octave 4 | C in octave 4 | G in octave 2} Dotted Quarter,C4-quartal trichord,1.5,153.75
Chord {E in octave 6 | E in octave 5} Eighth,E6-unison,0.5,164.0
Chord {D in octave 5 | G-sharp in octave 4 | E in octave 4} Dotted Eighth,E4-incomplete dominant-seventh chord,0.75,511/3
Chord {D in octave 5 | A in octave 4 | A in octave 3} Eighth,D5-interval class 5,0.5,515/3
Chord {C in octave 5 | F in octave 2} Eighth Triplet (1/3 QL),F2-interval class 5,1/3,172.75
Chord {F-sharp in octave 2 | A in octave 3} Dotted Eighth,F#2-interval class 3,0.75,175.75
Chord {E-flat in octave 4 | F-sharp in octave 4} Eighth,F#4-interval class 3,0.5,533/3
Chord {G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,179.0
Chord {G-sharp in octave 2 | F in octave 3} Quarter Triplet (2/3 QL),G#2-interval class 3,2/3,181.0
Chord {B in octave 4 | B in octave 5} Eighth Triplet (1/3 QL),B4-unison,1/3,190.75
Chord {C in octave 5 | C in octave 6} Eighth Triplet (1/3 QL),C5-unison,1/3,574/3
Chord {D in octave 6 | D in octave 5} Eighth,D6-unison,0.5,192.0
Chord {E in octave 4 | E in octave 6} Dotted Eighth,E4-unison,0.75,193.0
Chord {E in octave 2 | B in octave 2} Eighth Triplet (1/3 QL),E2-interval class 5,1/3,196.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | E in octave 4 | G in octave 3} Quarter Triplet (2/3 QL),C#4-diminished seventh chord,2/3,197.0
Chord {E in octave 4 | G in octave 3 | C-sharp in octave 3} Quarter Triplet (2/3 QL),C#3-diminished triad,2/3,595/3
Chord {F-sharp in octave 3 | D in octave 3} Dotted Quarter,D3-interval class 4,1.5,199.75
Chord {F in octave 3 | G in octave 2} Half Tuplet of 6/5ths (1 2/3 QL),G2-interval class 2,5/3,203.75
Chord {G in octave 2 | B in octave 5} Quarter,G2-interval class 4,1.0,221.5
Chord {B in octave 4 | F in octave 4} Eighth,B4-tritone,0.5,224.0
Chord {G in octave 2 | C in octave 2} Eighth Triplet (1/3 QL),C2-interval class 5,1/3,227.5
Chord {E in octave 4 | B in octave 3 | C in octave 4} Half Triplet (1 1/3 QL),C4-incomplete major-seventh chord,4/3,229.0
Chord {E in octave 5 | B-flat in octave 4 | B-flat in octave 3} Eighth,E5-tritone,0.5,700/3
Chord {A in octave 5 | E in octave 4} Quarter Triplet (2/3 QL),A5-interval class 5,2/3,234.75
Chord {G in octave 5 | E in octave 5} Eighth,E5-interval class 3,0.5,236.25
Chord {C in octave 4 | A in octave 3} Quarter,A3-interval class 3,1.0,245.5
Chord {E in octave 4 | B in octave 3 | G-sharp in octave 3} Dotted Eighth,E4-major triad,0.75,746/3
Chord {G-sharp in octave 3 | B in octave 3} Zero,G#3-interval class 3,0.0,251.25
Chord {G in octave 4 | D in octave 4 | C in octave 5} Dotted Eighth,C5-quartal trichord,0.75,253.75
Chord {D in octave 4 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,766/3
Chord {F in octave 4 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-interval class 5,1.25,260.25
Chord {B-flat in octave 4 | D in octave 5 | F in octave 4} Dotted Eighth,B-4-major triad,0.75,265.5
Chord {C in octave 5 | A in octave 4} Quarter,A4-interval class 3,1.0,826/3
Chord {D in octave 5 | G-sharp in octave 4} Quarter,G#4-tritone,1.0,277.0
Chord {E in octave 5 | C-sharp in octave 5} Quarter,C#5-interval class 3,1.0,290.25
Chord {D in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),D5-interval class 5,1/3,291.75
Chord {F in octave 4 | A in octave 4} Eighth,F4-interval class 4,0.5,878/3
Chord {C-sharp in octave 4 | F in octave 4} Quarter,F4-interval class 4,1.0,293.5
Chord {F-sharp in octave 3 | D in octave 2 | D in octave 1} Eighth,D2-interval class 4,0.5,298.5
Chord {B in octave 4 | F-sharp in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),E4-quartal trichord,1.25,300.0
Chord {F in octave 4 | A in octave 4 | G in octave 3} Quarter,F4-whole-tone trichord,1.0,301.75
Chord {F-sharp in octave 4 | F in octave 6} Quarter tied to 16th (1 1/4 total QL),F#4-interval class 1,1.25,310.5
Chord {E in octave 6 | C in octave 6 | A in octave 5} Quarter,A5-minor triad,1.0,312.5
Chord {C in octave 5 | G in octave 3 | F in octave 4 | F in octave 5 | C in octave 4} Dotted Eighth,F4-quartal trichord,0.75,316.25
Chord {D in octave 6 | D in octave 5} Quarter tied to 16th (1 1/4 total QL),D6-unison,1.25,318.25
Chord {G in octave 4 | E in octave 3 | D in octave 4} 16th,E3-incomplete minor-seventh chord,0.25,965/3
Chord {B in octave 3 | D in octave 5} 16th,B3-interval class 3,0.25,322.25
Chord {G in octave 4 | E in octave 4} Dotted Eighth,E4-interval class 3,0.75,324.5
Chord {G in octave 4 | A in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-incomplete minor-seventh chord,1.25,326.25
Chord {G in octave 4 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-interval class 5,1.25,328.0
Chord {B in octave 3 | A in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),B3-incomplete half-diminished seventh chord,1.25,329.75
Chord {B in octave 4 | B in octave 3} Quarter,B4-unison,1.0,995/3
Chord {C in octave 4 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),C4-interval class 5,1.25,335.25
Chord {B in octave 4 | F-sharp in octave 1} Quarter Triplet (2/3 QL),B4-interval class 5,2/3,1019/3
Chord {E in octave 4 | B in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),E4-interval class 5,7/3,343.25
Chord {A in octave 5 | G in octave 3 | D in octave 5 | F in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G3-dominant-ninth,1/3,358.5
Chord {B in octave 5 | G-sharp in octave 5 | B in octave 4} Eighth,G#5-interval class 3,0.5,359.5
Chord {C in octave 6 | G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),C6-major triad,1/3,1082/3
Chord {C in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,1090/3
Chord {B in octave 4 | E in octave 4} Eighth,E4-interval class 5,0.5,1100/3
Chord {D in octave 3 | E in octave 4} Quarter Triplet (2/3 QL),E4-interval class 2,2/3,367.75
Chord {C in octave 4 | E in octave 4} Eighth,C4-interval class 4,0.5,370.0
Chord {D in octave 4 | B-flat in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),G#2-incomplete dominant-seventh chord,1/3,371.0
Chord {B-flat in octave 4 | F in octave 4} Dotted Eighth,B-4-interval class 5,0.75,372.25
Chord {D in octave 5 | C in octave 4} Eighth Triplet (1/3 QL),D5-interval class 2,1/3,373.5
Chord {D in octave 4 | B-flat in octave 3} Quarter,B-3-interval class 4,1.0,1124/3
Chord {D in octave 4 | A in octave 3 | C in octave 4} Dotted Eighth,D4-incomplete dominant-seventh chord,0.75,376.25
Chord {G in octave 4 | F in octave 4} Quarter,G4-interval class 2,1.0,377.75
Chord {E in octave 4 | G in octave 4 | F in octave 3} Quarter Triplet (2/3 QL),E4-phrygian trichord,2/3,381.0
Chord {E in octave 6 | C in octave 6 | E in octave 5} Quarter,C6-interval class 4,1.0,385.0
Chord {C in octave 5 | G in octave 4} Eighth,C5-interval class 5,0.5,392.25
Chord {G in octave 4 | E in octave 4} Dotted Eighth,E4-interval class 3,0.75,1190/3
Chord {B in octave 4 | F in octave 4} Quarter,B4-tritone,1.0,1205/3
Chord {B in octave 5 | B in octave 4} Eighth Triplet (1/3 QL),B5-unison,1/3,411.25
Chord {C in octave 5 | C in octave 6} Eighth Triplet (1/3 QL),C5-unison,1/3,412.25
Chord {E in octave 6 | E in octave 5} Eighth Triplet (1/3 QL),E6-unison,1/3,415.0
Chord {F in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),F4-interval class 5,2/3,432.5
Chord {D in octave 4 | G in octave 2 | G in octave 4} Half Triplet (1 1/3 QL),G2-interval class 5,4/3,444.0
Chord {G in octave 6 | D in octave 6 | A in octave 5 | B in octave 5 | E in octave 5} Quarter,E5-major pentatonic,1.0,447.5
Chord {D in octave 4 | G in octave 4 | E in octave 3} Half,E3-incomplete minor-seventh chord,2.0,13/3
Chord {E in octave 6 | E in octave 4} Quarter Triplet (2/3 QL),E6-unison,2/3,8.5
Chord {B in octave 4 | G-sharp in octave 4} Dotted Quarter,G#4-interval class 3,1.5,21.75
Chord {E in octave 3 | D in octave 4 | G in octave 4} Dotted Eighth,E3-incomplete minor-seventh chord,0.75,74/3
Chord {C in octave 4 | G in octave 2} Dotted Eighth,C4-interval class 5,0.75,142/3
Chord {B-flat in octave 3 | F in octave 4} Dotted Eighth,B-3-interval class 5,0.75,56.25
Chord {B-flat in octave 3 | G in octave 3} Eighth,G3-interval class 3,0.5,57.5
Chord {G-sharp in octave 4 | C in octave 5 | E in octave 4 | B-flat in octave 3} Dotted Quarter,C5-augmented seventh chord,1.5,59.0
Chord {D in octave 4 | A in octave 3} Quarter Triplet (2/3 QL),D4-interval class 5,2/3,62.0
Chord {A in octave 4 | E-flat in octave 3} Half tied to 16th (2 1/4 total QL),A4-tritone,2.25,190/3
Chord {B in octave 4 | G-sharp in octave 4} Dotted Quarter,G#4-interval class 3,1.5,73.0
Chord {E in octave 4 | C in octave 4} Quarter,C4-interval class 4,1.0,104.5
Chord {G in octave 4 | F in octave 4} Quarter,G4-interval class 2,1.0,128.0
Chord {E in octave 4 | A in octave 4} Half Triplet (1 1/3 QL),A4-interval class 5,4/3,389/3
Chord {G-sharp in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),G#3-interval class 3,1/3,132.5
Chord {E in octave 4 | C in octave 4} 16th,C4-interval class 4,0.25,401/3
Chord {C in octave 5 | E in octave 4} Quarter Triplet (2/3 QL),C5-interval class 4,2/3,404/3
Chord {B in octave 5 | E in octave 5} Quarter,E5-interval class 5,1.0,142.25
Chord {G in octave 4 | C in octave 5} 16th,C5-interval class 5,0.25,147.0
Chord {F in octave 4 | B-flat in octave 4} Zero,B-4-interval class 5,0.0,149.75
Chord {D in octave 4 | B-flat in octave 3} Quarter Triplet (2/3 QL),B-3-interval class 4,2/3,153.0
Chord {F in octave 3 | A in octave 3} Half Triplet (1 1/3 QL),F3-interval class 4,4/3,153.75
Chord {D in octave 4 | A in octave 3 | F in octave 3 | C in octave 4} 16th,D4-minor seventh chord,0.25,156.0
Chord {E in octave 4 | C in octave 1} Eighth,C1-interval class 4,0.5,162.5
Chord {A in octave 4 | F-sharp in octave 3} Quarter,F#3-interval class 3,1.0,175.75
