375.0
3/4
FullName,CommonName,Len,Offset
Chord {F in octave 3 | C in octave 4 | A in octave 3 | E in octave 4} Eighth,F3-major seventh chord,0.5,1.0
Chord {E in octave 4 | B in octave 3 | C in octave 4} Quarter,C4-incomplete major-seventh chord,1.0,13/3
Chord {E in octave 4 | B in octave 3 | G in octave 3 | C in octave 4} Dotted Eighth,C4-major seventh chord,0.75,17.0
Chord {F in octave 3 | E in octave 4 | A in octave 3 | C in octave 4} Quarter Triplet (2/3 QL),F3-major seventh chord,2/3,61/3
Chord {E in octave 4 | C in octave 4 | B in octave 3 | G in octave 3} Quarter Triplet (2/3 QL),C4-major seventh chord,2/3,71/3
Chord {F in octave 2 | C in octave 3} 16th,F2-interval class 5,0.25,25.75
Chord {E in octave 4 | C in octave 4 | A in octave 3} Quarter,A3-minor triad,1.0,27.0
Chord {C in octave 4 | A in octave 3 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-minor triad,1.25,119/3
Chord {A in octave 5 | C in octave 5} 16th,A5-interval class 3,0.25,41.25
Chord {E in octave 4 | C in octave 4} Dotted Eighth,C4-interval class 4,0.75,49.5
Chord {E in octave 4 | A in octave 3 | F in octave 3} Quarter Triplet (2/3 QL),F3-incomplete major-seventh chord,2/3,158/3
Chord {E in octave 4 | C in octave 4 | A in octave 3 | F in octave 3} Quarter Triplet (2/3 QL),F3-major seventh chord,2/3,59.0
Chord {E in octave 4 | C in octave 4 | B in octave 3} Dotted Eighth,C4-incomplete major-seventh chord,0.75,62.25
Chord {G in octave 3 | F in octave 4} Quarter Triplet (2/3 QL),G3-interval class 2,2/3,72.0
Chord {C-sharp in octave 4 | G in octave 3 | E in octave 4} 16th,C#4-diminished triad,0.25,73.25
Chord {E in octave 4 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-interval class 4,1.25,227/3
Chord {B in octave 3 | E in octave 4 | G in octave 3 | C in octave 4} Dotted Eighth,C4-major seventh chord,0.75,79.0
Chord {F-sharp in octave 3 | C in octave 4 | G-sharp in octave 2 | F-sharp in octave 4 | E-flat in octave 4} Eighth,C4-dominant seventh chord,0.5,83.75
Chord {G in octave 4 | F in octave 4} Dotted Half,G4-interval class 2,3.0,256/3
Chord {A in octave 3 | C in octave 4 | F in octave 3} Quarter,F3-major triad,1.0,92.75
Chord {C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,96.0
Chord {A in octave 3 | F in octave 3 | C in octave 4} Eighth,F3-major triad,0.5,99.25
Chord {E in octave 4 | C in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),C4-incomplete major-seventh chord,2/3,102.25
Chord {E in octave 4 | A in octave 3 | C in octave 4} Dotted Eighth,A3-minor triad,0.75,316/3
Chord {E in octave 4 | C in octave 4 | B in octave 3} Quarter,C4-incomplete major-seventh chord,1.0,127.25
Chord {A in octave 5 | C in octave 1 | C in octave 2 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,132.75
Chord {B in octave 5 | D in octave 5} 16th,B5-interval class 3,0.25,133.75
Chord {F in octave 2 | C in octave 3} 16th,F2-interval class 5,0.25,135.75
Chord {C in octave 4 | E in octave 4} 16th,C4-interval class 4,0.25,137.0
Chord {E in octave 4 | C in octave 4} Dotted Eighth,C4-interval class 4,0.75,140.0
Chord {F in octave 2 | C in octave 3} 16th,F2-interval class 5,0.25,142.25
Chord {C in octave 4 | A in octave 3} Dotted Eighth,A3-interval class 3,0.75,430/3
Chord {F in octave 3 | D in octave 3} 16th,D3-interval class 3,0.25,461/3
Chord {F-sharp in octave 2 | C in octave 4 | E in octave 3} Eighth,F#2-incomplete half-diminished seventh chord,0.5,161.75
Chord {F in octave 3 | G in octave 2} Dotted Quarter,G2-interval class 2,1.5,163.25
Chord {D in octave 4 | G-sharp in octave 3 | B in octave 3} Quarter,G#3-diminished triad,1.0,166.0
Chord {C in octave 5 | F in octave 4 | D in octave 3 | C in octave 4} Dotted Eighth,D3-incomplete minor-seventh chord,0.75,177.5
Chord {F in octave 3 | C in octave 4} Eighth,F3-interval class 5,0.5,179.25
Chord {F in octave 3 | A in octave 5} Half tied to 16th (2 1/4 total QL),F3-interval class 4,2.25,190.5
Chord {G in octave 3 | C-sharp in octave 4 | F in octave 4 | C in octave 4} Dotted Eighth,F4-minor-second quartal tetrachord,0.75,197.75
Chord {C in octave 6 | A in octave 5 | F in octave 5 | G in octave 3} Eighth Triplet (1/3 QL),F5-major-second major tetrachord,1/3,200.0
