586.0
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 4 | D in octave 4} 16th,D4-interval class 3,0.25,5.5
Chord {G in octave 5 | D in octave 4} 16th,G5-interval class 5,0.25,26/3
Chord {D in octave 4 | C in octave 4} 16th,D4-interval class 2,0.25,10.25
Chord {F in octave 4 | C-sharp in octave 4} 16th,F4-interval class 4,0.25,13.0
Chord {A in octave 5 | F in octave 4 | C-sharp in octave 4 | A in octave 4} Eighth,F4-augmented triad,0.5,14.0
Chord {A in octave 5 | F in octave 4 | C-sharp in octave 4} Eighth,F4-augmented triad,0.5,15.5
Chord {C-sharp in octave 6 | C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,21.5
Chord {C-sharp in octave 4 | E-flat in octave 6} Eighth,C#4-interval class 2,0.5,22.5
Chord {G-sharp in octave 3 | C-sharp in octave 4} 16th,C#4-interval class 5,0.25,23.25
Chord {E-flat in octave 6 | F-sharp in octave 3} Quarter,F#3-interval class 3,1.0,24.0
Chord {F-sharp in octave 6 | F-sharp in octave 5} Quarter Triplet (2/3 QL),F#6-unison,2/3,28.5
Chord {F-sharp in octave 5 | E-flat in octave 4} 16th,F#5-interval class 3,0.25,38.75
Chord {F in octave 5 | E-flat in octave 3} 16th,F5-interval class 2,0.25,119/3
Chord {E in octave 5 | E-flat in octave 3} 16th,E5-interval class 1,0.25,40.5
Chord {E-flat in octave 4 | C-sharp in octave 4} Dotted Eighth,C#4-interval class 2,0.75,48.0
Chord {C-sharp in octave 5 | C-sharp in octave 4} Dotted Eighth,C#5-unison,0.75,49.75
Chord {C in octave 5 | B-flat in octave 3} Eighth Triplet (1/3 QL),C5-interval class 2,1/3,52.5
Chord {E-flat in octave 5 | G-sharp in octave 4} Eighth Triplet (1/3 QL),E-5-interval class 5,1/3,54.0
Chord {C-sharp in octave 5 | C-sharp in octave 4} 16th,C#5-unison,0.25,55.0
Chord {F in octave 4 | D in octave 4 | C in octave 4} 16th,D4-incomplete minor-seventh chord,0.25,71.5
Chord {F in octave 4 | D in octave 4} 16th,D4-interval class 3,0.25,74.5
Chord {F in octave 4 | C in octave 4} 16th,F4-interval class 5,0.25,79.5
Chord {F in octave 4 | C in octave 4} Zero,F4-interval class 5,0.0,81.5
Chord {C-sharp in octave 5 | C-sharp in octave 4} Eighth Triplet (1/3 QL),C#5-unison,1/3,86.5
Chord {F-sharp in octave 3 | D in octave 4} Dotted Eighth,D4-interval class 4,0.75,280/3
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,94.5
Chord {F-sharp in octave 3 | F in octave 4} Half Triplet (1 1/3 QL),F#3-interval class 1,4/3,95.0
Chord {E in octave 5 | D in octave 5 | E-flat in octave 5} 16th,E5-chromatic trimirror,0.25,110.5
Chord {E-flat in octave 4 | F in octave 4} 16th,F4-interval class 2,0.25,115.75
Chord {B-flat in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,116.0
Chord {E-flat in octave 4 | C in octave 6 | E in octave 3} Eighth Triplet (1/3 QL),C6-major-minor trichord,1/3,352/3
Chord {E-flat in octave 4 | C-sharp in octave 5 | E in octave 3 | C-sharp in octave 6} Eighth Triplet (1/3 QL),C#5-minor trichord,1/3,118.0
Chord {E-flat in octave 4 | E-flat in octave 5} 16th,E-4-unison,0.25,118.75
Chord {D in octave 4 | A in octave 3} Zero,D4-interval class 5,0.0,119.5
Chord {C-sharp in octave 5 | E-flat in octave 3} 16th,C#5-interval class 2,0.25,119.5
Chord {C in octave 5 | D in octave 4 | B in octave 5} Eighth Triplet (1/3 QL),B5-phrygian trichord,1/3,122.75
Chord {F-sharp in octave 4 | C-sharp in octave 4 | F-sharp in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),F#4-incomplete minor-seventh chord,1/3,428/3
Chord {F in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,144.75
Chord {D in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),G4-interval class 5,2/3,148.0
Chord {E-flat in octave 4 | D in octave 5 | D in octave 4} 16th,E-4-interval class 1,0.25,449/3
Chord {B-flat in octave 4 | F in octave 5} 16th,B-4-interval class 5,0.25,150.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | G-sharp in octave 4 | A in octave 4} Half Triplet (1 1/3 QL),A4-incomplete major-seventh chord,4/3,152.75
Chord {A in octave 4 | C-sharp in octave 5} 16th,A4-interval class 4,0.25,154.5
Chord {F in octave 5 | D in octave 5} Eighth Triplet (1/3 QL),D5-interval class 3,1/3,156.0
Chord {C in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-interval class 5,1.25,174.0
Chord {C in octave 6 | F in octave 5 | C in octave 5 | F in octave 4} Eighth,F5-interval class 5,0.5,177.5
Chord {C-sharp in octave 6 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth,F4-major seventh chord,0.5,178.5
Chord {G-sharp in octave 3 | C-sharp in octave 4 | E-flat in octave 6 | E-flat in octave 5} Eighth,C#4-quartal trichord,0.5,538/3
Chord {C-sharp in octave 4 | F in octave 4 | B-flat in octave 5 | G in octave 3 | B-flat in octave 3 | F in octave 6} Quarter,G3-half-diminished seventh chord,1.0,180.0
Chord {F in octave 6 | B-flat in octave 5} Double Dotted Quarter,B-5-interval class 5,1.75,181.5
Chord {E-flat in octave 4 | B-flat in octave 3} Quarter,E-4-interval class 5,1.0,184.0
Chord {G in octave 6 | E-flat in octave 4 | G in octave 5 | B-flat in octave 3} Dotted Quarter,E-4-major triad,1.5,185.5
Chord {E-flat in octave 4 | A in octave 5 | G in octave 4} Quarter,A5-incomplete half-diminished seventh chord,1.0,189.5
Chord {B in octave 6 | A in octave 3} Quarter,B6-interval class 2,1.0,192.0
Chord {G in octave 4 | A in octave 3 | D in octave 4 | E-flat in octave 4} Quarter,E-4-minor-second quartal tetrachord,1.0,193.5
Chord {F in octave 4 | D in octave 4} Half tied to 16th (2 1/4 total QL),D4-interval class 3,2.25,196.0
Chord {C in octave 4 | A in octave 3} 16th,A3-interval class 3,0.25,200.0
Chord {A in octave 6 | C in octave 6} Zero,A6-interval class 3,0.0,201.5
Chord {D in octave 6 | A in octave 6} Eighth Triplet (1/3 QL),D6-interval class 5,1/3,202.5
Chord {D in octave 4 | G in octave 6 | A in octave 3 | G in octave 5 | E in octave 3 | B-flat in octave 3} 16th,E3-Kumoi pentachord,0.25,204.0
Chord {D in octave 4 | D in octave 6 | E in octave 3 | B-flat in octave 3} Eighth,E3-incomplete half-diminished seventh chord,0.5,205.0
Chord {A in octave 6 | A in octave 5 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,617/3
Chord {G in octave 6 | D in octave 6 | B-flat in octave 3} Eighth Triplet (1/3 QL),G6-minor triad,1/3,619/3
Chord {D in octave 4 | G in octave 6 | D in octave 6 | B-flat in octave 3} 16th,G6-minor triad,0.25,207.0
Chord {G in octave 6 | D in octave 6 | B-flat in octave 3} Quarter tied to 16th (1 1/4 total QL),G6-minor triad,1.25,207.75
Chord {D in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 4,1/3,210.5
Chord {G in octave 3 | F in octave 4} Eighth,G3-interval class 2,0.5,218.0
Chord {G in octave 3 | A in octave 4} 16th,A4-interval class 2,0.25,219.5
Chord {C in octave 5 | G in octave 3} 16th,C5-interval class 5,0.25,223.5
Chord {E-flat in octave 5 | C in octave 5} Half Triplet (1 1/3 QL),C5-interval class 3,4/3,224.0
Chord {C in octave 4 | F in octave 4} Dotted Quarter,F4-interval class 5,1.5,230.0
Chord {E in octave 4 | F in octave 3} Quarter,F3-interval class 1,1.0,232.25
Chord {D in octave 4 | B-flat in octave 3} Zero,B-3-interval class 4,0.0,240.5
