505.75
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 6 | A in octave 6} Quarter Triplet (2/3 QL),D6-interval class 5,2/3,4.75
Chord {F-sharp in octave 5 | D in octave 4} Eighth,D4-interval class 4,0.5,29.25
Chord {F-sharp in octave 5 | B-flat in octave 4} Eighth,B-4-interval class 4,0.5,43.5
Chord {D in octave 5 | A in octave 4} Dotted Eighth,D5-interval class 5,0.75,64.0
Chord {F-sharp in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),F#4-interval class 3,2/3,69.5
Chord {B-flat in octave 3 | E in octave 5} 16th,E5-tritone,0.25,110.5
Chord {G in octave 5 | G in octave 4} Half tied to Eighth (2 1/2 total QL),G5-unison,2.5,160.75
Chord {D in octave 5 | F-sharp in octave 4} Quarter Triplet (2/3 QL),D5-interval class 4,2/3,190.25
Chord {G-sharp in octave 4 | E in octave 3} Eighth Triplet (1/3 QL),E3-interval class 4,1/3,197.5
Chord {G-sharp in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),G#4-tritone,2/3,198.5
Chord {F-sharp in octave 5 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 4,1/3,243.75
Chord {B-flat in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-4-unison,1/3,285.0
Chord {A in octave 5 | F in octave 5} Eighth,F5-interval class 4,0.5,929/3
Chord {A in octave 5 | C-sharp in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),F5-augmented triad,1/3,934/3
Chord {A in octave 5 | C-sharp in octave 4 | F in octave 4 | F in octave 5} Eighth,F4-augmented triad,0.5,937/3
Chord {A in octave 5 | C-sharp in octave 4 | C in octave 5} Eighth,A5-major-minor trichord,0.5,313.25
Chord {F in octave 4 | B in octave 3} 16th,B3-tritone,0.25,369.25
Chord {G in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,375.0
Chord {G in octave 5 | E-flat in octave 5} Quarter,E-5-interval class 4,1.0,377.0
Chord {E-flat in octave 4 | C in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),A3-diminished triad,1/3,378.0
Chord {E-flat in octave 4 | C in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),A3-diminished triad,1/3,378.75
Chord {E-flat in octave 4 | C in octave 4 | A in octave 3} Eighth,A3-diminished triad,0.5,1139/3
Chord {E-flat in octave 4 | A in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),A3-diminished triad,1/3,381.0
Chord {E-flat in octave 4 | C in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),A3-diminished triad,1/3,381.75
Chord {E-flat in octave 4 | C in octave 4 | F-sharp in octave 3} Eighth,F#3-diminished triad,0.5,387.5
Chord {E-flat in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 3,1/3,1165/3
Chord {A in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-interval class 3,1/3,393.25
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth,E-5-unison,0.5,425.25
Chord {A in octave 4 | B-flat in octave 2} Double Dotted Quarter,B-2-interval class 1,1.75,1280/3
Chord {B-flat in octave 4 | F in octave 4 | F-sharp in octave 3 | G-sharp in octave 2} 16th,G#2-phrygian tetrachord,0.25,434.25
Chord {B-flat in octave 4 | F in octave 4 | G-sharp in octave 2 | F-sharp in octave 3} 16th,G#2-phrygian tetrachord,0.25,435.0
Chord {B-flat in octave 5 | C in octave 5} Eighth,C5-interval class 2,0.5,439.25
Chord {G-sharp in octave 5 | C in octave 5} Eighth,C5-interval class 4,0.5,440.25
Chord {G in octave 5 | G in octave 4} Dotted Half,G5-unison,3.0,441.25
Chord {B-flat in octave 6 | B-flat in octave 4} Eighth,B-6-unison,0.5,1381/3
Chord {A in octave 6 | C-sharp in octave 6} Half tied to Eighth (2 1/2 total QL),A6-interval class 4,2.5,461.0
Chord {F-sharp in octave 6 | F-sharp in octave 5} Eighth,F#6-unison,0.5,1432/3
Chord {D in octave 6 | D in octave 5} Eighth Triplet (1/3 QL),D6-unison,1/3,478.5
Chord {B-flat in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-5-unison,1/3,1438/3
Chord {A in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),A5-unison,1/3,479.75
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-5-unison,1/3,481.25
Chord {D in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),D4-unison,1/3,1445/3
Chord {B-flat in octave 4 | B-flat in octave 3} 16th,B-4-unison,0.25,482.5
Chord {A in octave 3 | A in octave 4} Eighth Triplet (1/3 QL),A3-unison,1/3,483.0
Chord {D in octave 3 | D in octave 4} Eighth,D3-unison,0.5,484.75
Chord {C in octave 4 | C in octave 3} Eighth,C4-unison,0.5,485.25
Chord {C in octave 3 | C in octave 2} Quarter Triplet (2/3 QL),C3-unison,2/3,489.0
Chord {A in octave 2 | A in octave 1} Quarter Triplet (2/3 QL),A2-unison,2/3,490.25
Chord {D in octave 5 | B-flat in octave 4} Eighth,B-4-interval class 4,0.5,38.5
Chord {D in octave 4 | B-flat in octave 4} Dotted Eighth,B-4-interval class 4,0.75,199.5
Chord {E-flat in octave 4 | G in octave 4} Dotted Quarter,E-4-interval class 4,1.5,209.25
Chord {D in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,272.0
Chord {B-flat in octave 4 | G in octave 4} 16th,G4-interval class 3,0.25,272.5
Chord {C in octave 4 | G in octave 3 | C-sharp in octave 4 | F in octave 5 | F in octave 4} Eighth,F5-minor-second quartal tetrachord,0.5,929/3
Chord {F in octave 5 | F in octave 4 | C-sharp in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F5-incomplete major-seventh chord,1/3,310.5
Chord {C in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),C4-interval class 5,1/3,937/3
Chord {F in octave 4 | G in octave 3 | C in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),F4-quartal trichord,1/3,313.25
Chord {E-flat in octave 5 | D in octave 5} Eighth,E-5-interval class 1,0.5,317.5
Chord {B-flat in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),B-4-interval class 1,2/3,332.75
Chord {B in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#4-interval class 3,1/3,369.75
Chord {B-flat in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),C3-interval class 2,2/3,370.5
Chord {E-flat in octave 4 | D in octave 4} Eighth,E-4-interval class 1,0.5,372.0
Chord {E-flat in octave 4 | G in octave 4} Whole tied to Quarter (5 total QL),E-4-interval class 4,5.0,414.75
Chord {C in octave 4 | F-sharp in octave 3 | G-sharp in octave 2} 16th,F#3-incomplete dominant-seventh chord,0.25,434.25
Chord {F in octave 4 | F-sharp in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),F4-interval class 1,7/3,436.0
Chord {E-flat in octave 3 | E-flat in octave 4} Eighth,E-3-unison,0.5,484.25
Chord {A in octave 3 | A in octave 2} Eighth,A3-unison,0.5,486.25
Chord {C in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),C4-interval class 5,1/3,932/3
