911.0
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 4 | E in octave 2} Eighth,E4-unison,0.5,15.25
Chord {G in octave 4 | E-flat in octave 2} Whole,E-2-interval class 4,4.0,18.25
Chord {D in octave 5 | B-flat in octave 4} Eighth,B-4-interval class 4,0.5,96.25
Chord {D in octave 6 | B-flat in octave 5} Quarter,B-5-interval class 4,1.0,98.0
Chord {D in octave 6 | D in octave 2} Eighth,D6-unison,0.5,302/3
Chord {D in octave 5 | B in octave 4 | G-sharp in octave 4} Half tied to 16th (2 1/4 total QL),G#4-diminished triad,2.25,103.25
Chord {D in octave 5 | C in octave 5 | G-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),C5-incomplete half-diminished seventh chord,1.25,107.25
Chord {C-sharp in octave 5 | B-flat in octave 4} Eighth,C#5-interval class 3,0.5,180.25
Chord {B-flat in octave 4 | C-sharp in octave 5} 16th,C#5-interval class 3,0.25,544/3
Chord {E in octave 5 | C in octave 6} 16th,C6-interval class 4,0.25,182.5
Chord {C-sharp in octave 6 | E in octave 6} 16th,C#6-interval class 3,0.25,554/3
Chord {C in octave 6 | B-flat in octave 5} Eighth,C6-interval class 2,0.5,192.5
Chord {C-sharp in octave 4 | E in octave 3} Eighth Triplet (1/3 QL),C#4-interval class 3,1/3,206.75
Chord {C-sharp in octave 4 | C in octave 1 | E in octave 3} Eighth,C#4-major-minor trichord,0.5,208.0
Chord {C-sharp in octave 4 | C in octave 1} Eighth,C#4-interval class 1,0.5,209.75
Chord {C in octave 1 | C-sharp in octave 4} Quarter Triplet (2/3 QL),C1-interval class 1,2/3,210.75
Chord {G-sharp in octave 4 | C in octave 5 | F-sharp in octave 1} Eighth,F#1-incomplete dominant-seventh chord,0.5,238.75
Chord {G-sharp in octave 5 | E in octave 5 | C in octave 6} 16th,C6-augmented triad,0.25,721/3
Chord {G-sharp in octave 5 | C in octave 6} Eighth,C6-interval class 4,0.5,725/3
Chord {B-flat in octave 5 | D in octave 5 | F-sharp in octave 4} 16th,B-5-augmented triad,0.25,761/3
Chord {G-sharp in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} 16th,C#5-interval class 5,0.25,255.5
Chord {G in octave 5 | G in octave 4 | D in octave 5} 16th,G5-interval class 5,0.25,256.0
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3} 16th,E-4-incomplete half-diminished seventh chord,0.25,284.0
Chord {E-flat in octave 4 | G in octave 3} 16th,E-4-interval class 4,0.25,288.0
Chord {A in octave 2 | G in octave 3} 16th,A2-interval class 2,0.25,292.5
Chord {F in octave 6 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),F6-interval class 5,1.25,295.75
Chord {F in octave 5 | C in octave 4} Quarter,F5-interval class 5,1.0,298.5
Chord {G in octave 5 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G5-interval class 1,1/3,300.5
Chord {G-sharp in octave 3 | G-sharp in octave 4 | F in octave 4} 16th,G#3-interval class 3,0.25,303.0
Chord {G-sharp in octave 3 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#3-unison,1/3,306.5
Chord {F in octave 4 | G in octave 4} 16th,G4-interval class 2,0.25,932/3
Chord {C in octave 6 | C in octave 5} 16th,C6-unison,0.25,317.5
Chord {C in octave 5 | G in octave 4} Eighth,C5-interval class 5,0.5,331.0
Chord {E in octave 3 | E in octave 4} Zero,E3-unison,0.0,998/3
Chord {C in octave 6 | C in octave 5} 16th,C6-unison,0.25,342.5
Chord {G-sharp in octave 5 | E-flat in octave 5 | C in octave 6} Quarter,C6-major triad,1.0,344.5
Chord {B in octave 4 | E-flat in octave 5 | B-flat in octave 5} 16th,E-5-incomplete major-seventh chord,0.25,349.0
Chord {G-sharp in octave 4 | E-flat in octave 4} 16th,E-4-interval class 5,0.25,351.0
Chord {G in octave 5 | G in octave 4} 16th,G5-unison,0.25,352.5
Chord {G-sharp in octave 5 | G-sharp in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),G#5-interval class 3,1/3,353.0
Chord {B-flat in octave 5 | B-flat in octave 4} Zero,B-5-unison,0.0,1061/3
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth Triplet (1/3 QL),G#4-unison,1/3,354.25
Chord {G in octave 5 | G in octave 4} 16th,G5-unison,0.25,355.0
Chord {F in octave 5 | F in octave 4} 16th,F5-unison,0.25,355.5
