583.75
4/4
FullName,CommonName,Len,Offset
Chord {F-sharp in octave 4 | B in octave 3 | A in octave 3} Double Dotted Quarter,B3-incomplete dominant-seventh chord,1.75,5.0
Chord {F-sharp in octave 4 | A in octave 3 | B in octave 3 | D in octave 4} 16th,B3-minor seventh chord,0.25,7.0
Chord {E-flat in octave 4 | B-flat in octave 3} 16th,E-4-interval class 5,0.25,33.0
Chord {B-flat in octave 3 | G in octave 3 | A in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),G3-minor trichord,5/3,53.0
Chord {C-sharp in octave 4 | A in octave 3 | B-flat in octave 3} 16th,A3-major-minor trichord,0.25,55.0
Chord {C-sharp in octave 4 | G-sharp in octave 4 | F in octave 4} 16th,F4-major triad,0.25,67.0
Chord {G-sharp in octave 3 | C in octave 4 | G in octave 4 | E-flat in octave 4} Zero,C4-major seventh chord,0.0,81.0
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,99.0
Chord {B-flat in octave 3 | D in octave 4 | E-flat in octave 4} Zero,E-4-incomplete major-seventh chord,0.0,105.0
Chord {F-sharp in octave 4 | E-flat in octave 4} 16th,F#4-interval class 3,0.25,121.0
Chord {E in octave 5 | B in octave 3 | F-sharp in octave 3} Dotted Quarter,E5-quartal trichord,1.5,128.0
Chord {E in octave 5 | F-sharp in octave 3} Half Triplet (1 1/3 QL),F#3-interval class 2,4/3,132.25
Chord {E-flat in octave 5 | E-flat in octave 6} Eighth,E-5-unison,0.5,136.0
Chord {D in octave 4 | E in octave 5 | E in octave 6} 16th,E5-interval class 2,0.25,136.5
Chord {D in octave 4 | E in octave 6 | E in octave 5} Eighth Triplet (1/3 QL),E6-interval class 2,1/3,137.0
Chord {F-sharp in octave 6 | D in octave 4 | F-sharp in octave 5 | B-flat in octave 3 | A in octave 3 | E in octave 3} Eighth,B-3-enigmatic pentachord,0.5,138.0
Chord {E in octave 6 | A in octave 3 | E in octave 5 | B-flat in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),B-3-minor-second quartal tetrachord,1/3,419/3
Chord {E in octave 6 | E in octave 5 | B-flat in octave 3} 16th,E6-tritone,0.25,143.0
Chord {E in octave 5 | E in octave 6} 16th,E5-unison,0.25,143.5
Chord {E in octave 6 | F-sharp in octave 4 | E in octave 5} Quarter,F#4-interval class 2,1.0,144.0
Chord {C-sharp in octave 4 | F-sharp in octave 4} Quarter,F#4-interval class 5,1.0,437/3
Chord {E in octave 6 | F-sharp in octave 4 | E in octave 5} 16th,F#4-interval class 2,0.25,147.0
Chord {F-sharp in octave 4 | E in octave 6 | E in octave 5 | A in octave 3} 16th,F#4-incomplete minor-seventh chord,0.25,147.5
Chord {F-sharp in octave 4 | A in octave 3 | D in octave 4} Eighth,D4-major triad,0.5,148.0
Chord {F-sharp in octave 4 | F-sharp in octave 5 | F-sharp in octave 6 | A in octave 3 | C-sharp in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),D4-major seventh chord,1/3,446/3
Chord {C in octave 6 | G in octave 5 | E in octave 6 | G-sharp in octave 3 | G in octave 4} Eighth Triplet (1/3 QL),C6-augmented major tetrachord,1/3,151.5
Chord {E in octave 6 | C in octave 6 | G-sharp in octave 3} Eighth,C6-augmented triad,0.5,152.0
Chord {A in octave 5 | G in octave 4 | D in octave 6 | D in octave 4} Zero,G4-quartal trichord,0.0,458/3
Chord {F-sharp in octave 6 | G-sharp in octave 3 | D in octave 6 | D in octave 4} 16th,G#3-incomplete half-diminished seventh chord,0.25,458/3
Chord {F-sharp in octave 6 | G in octave 4 | G-sharp in octave 3 | D in octave 4} 16th,G4-major third testacluster,0.25,461/3
Chord {E in octave 6 | G-sharp in octave 3 | D in octave 4 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),E6-all-interval tetrachord,1.25,155.0
Chord {F-sharp in octave 6 | D in octave 6 | G-sharp in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),G#3-incomplete half-diminished seventh chord,1.25,156.5
Chord {E in octave 6 | D in octave 4} 16th,E6-interval class 2,0.25,158.0
Chord {G-sharp in octave 3 | D in octave 6} 16th,G#3-tritone,0.25,159.0
Chord {B-flat in octave 3 | G-sharp in octave 6 | G-sharp in octave 5} Quarter tied to 16th (1 1/4 total QL),G#6-interval class 2,1.25,160.0
Chord {E-flat in octave 4 | F in octave 3 | B in octave 3 | A in octave 6} Eighth Triplet (1/3 QL),F3-Messiaen's truncated mode 6,1/3,161.5
Chord {E in octave 6 | B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 3} Quarter tied to 16th (1 1/4 total QL),E6-double pentacluster,1.25,164.5
Chord {E-flat in octave 4 | G-sharp in octave 6 | B in octave 3} 16th,E-4-minor triad,0.25,166.0
Chord {A in octave 6 | E in octave 6 | A in octave 5} 16th,A6-interval class 5,0.25,167.0
Chord {E in octave 6 | A in octave 6 | C-sharp in octave 4 | A in octave 5} Eighth,A6-major triad,0.5,169.5
Chord {E in octave 4 | G-sharp in octave 5 | G-sharp in octave 4 | A in octave 3 | E in octave 6} Quarter,A3-incomplete major-seventh chord,1.0,170.75
Chord {E in octave 6 | E in octave 4 | G-sharp in octave 4 | A in octave 3} Quarter,A3-incomplete major-seventh chord,1.0,172.5
Chord {G-sharp in octave 6 | E-flat in octave 6 | G-sharp in octave 5 | C-sharp in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),C#4-major-second minor tetrachord,1/3,174.0
Chord {C-sharp in octave 4 | F-sharp in octave 3 | A in octave 3 | E-flat in octave 6} Quarter tied to 16th (1 1/4 total QL),F#3-half-diminished seventh chord,1.25,176.0
Chord {A in octave 6 | E-flat in octave 6 | C-sharp in octave 4 | F-sharp in octave 3} 16th,F#3-half-diminished seventh chord,0.25,177.5
Chord {C-sharp in octave 4 | A in octave 3 | F-sharp in octave 3} Quarter,F#3-minor triad,1.0,179.0
Chord {E-flat in octave 6 | C-sharp in octave 4 | F-sharp in octave 3 | E in octave 4 | A in octave 3} Quarter Triplet (2/3 QL),F#3-diminished-major ninth chord,2/3,180.5
Chord {C-sharp in octave 4 | G-sharp in octave 6 | A in octave 3 | E-flat in octave 6} Eighth Triplet (1/3 QL),A3-minor-second quartal tetrachord,1/3,181.5
Chord {A in octave 3 | C in octave 4 | F-sharp in octave 3 | E in octave 4} Quarter Triplet (2/3 QL),F#3-half-diminished seventh chord,2/3,183.0
Chord {G-sharp in octave 5 | G-sharp in octave 6 | E in octave 4 | C in octave 4 | E-flat in octave 6 | A in octave 3} Eighth,A3-Persian pentamirror,0.5,554/3
Chord {F-sharp in octave 3 | A in octave 5 | A in octave 6 | E in octave 6 | E in octave 4} Eighth Triplet (1/3 QL),F#3-incomplete minor-seventh chord,1/3,185.5
Chord {F-sharp in octave 3 | E in octave 4 | C in octave 4 | A in octave 3} Eighth,F#3-half-diminished seventh chord,0.5,186.25
Chord {C in octave 4 | A in octave 3 | G-sharp in octave 5 | E-flat in octave 6} Eighth,A3-major-diminished tetrachord,0.5,187.0
