758.25
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 4 | G-sharp in octave 4} Eighth,G#4-interval class 3,0.5,3.25
Chord {G-sharp in octave 4 | E-flat in octave 4 | F in octave 4} Eighth,E-4-incomplete minor-seventh chord,0.5,27.0
Chord {F in octave 4 | D in octave 2 | A in octave 2} Eighth,D2-minor triad,0.5,36.0
Chord {F-sharp in octave 4 | B-flat in octave 2} Quarter,B-2-interval class 4,1.0,37.0
Chord {F-sharp in octave 4 | B in octave 2} Dotted Eighth,B2-interval class 5,0.75,115/3
Chord {A in octave 4 | E in octave 4 | B-flat in octave 3} 16th,A4-tritone-fourth,0.25,44.75
Chord {B in octave 5 | G-sharp in octave 5} Dotted Half,G#5-interval class 3,3.0,148/3
Chord {G-sharp in octave 6 | G-sharp in octave 3} Eighth,G#6-unison,0.5,55.25
Chord {G-sharp in octave 5 | B in octave 4} Half,G#5-interval class 3,2.0,59.0
Chord {G-sharp in octave 4 | B in octave 4} Eighth,G#4-interval class 3,0.5,71.75
Chord {G-sharp in octave 4 | F in octave 4 | E-flat in octave 4} Eighth,E-4-incomplete minor-seventh chord,0.5,77.75
Chord {G-sharp in octave 4 | F in octave 4} 16th,G#4-interval class 3,0.25,238/3
Chord {F-sharp in octave 4 | E-flat in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-incomplete minor-seventh chord,1/3,80.0
Chord {F-sharp in octave 4 | C-sharp in octave 4} Eighth,F#4-interval class 5,0.5,80.75
Chord {E-flat in octave 4 | F in octave 4} Eighth,F4-interval class 2,0.5,82.75
Chord {G-sharp in octave 4 | F in octave 4 | E-flat in octave 4} 16th,E-4-incomplete minor-seventh chord,0.25,84.75
Chord {F-sharp in octave 4 | E-flat in octave 4 | C-sharp in octave 4} Eighth,F#4-incomplete minor-seventh chord,0.5,85.5
Chord {F-sharp in octave 4 | E-flat in octave 4} Quarter,F#4-interval class 3,1.0,86.25
Chord {E-flat in octave 5 | G-sharp in octave 3} Eighth,E-5-interval class 5,0.5,263/3
Chord {G-sharp in octave 4 | E-flat in octave 4 | F in octave 4} Eighth,E-4-incomplete minor-seventh chord,0.5,265/3
Chord {F in octave 4 | G-sharp in octave 4} 16th,G#4-interval class 3,0.25,271/3
Chord {F-sharp in octave 4 | E-flat in octave 4} Eighth,F#4-interval class 3,0.5,91.0
Chord {F-sharp in octave 4 | E-flat in octave 4} Dotted Eighth,F#4-interval class 3,0.75,91.75
Chord {E-flat in octave 5 | G-sharp in octave 3} Eighth Triplet (1/3 QL),E-5-interval class 5,1/3,92.5
Chord {G in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),G4-interval class 1,2/3,116.25
Chord {E in octave 6 | E in octave 4} Eighth Triplet (1/3 QL),E6-unison,1/3,122.75
Chord {C-sharp in octave 6 | E in octave 5 | A in octave 5} 16th,A5-major triad,0.25,154.0
Chord {B-flat in octave 5 | G-sharp in octave 4} Eighth,G#4-interval class 2,0.5,464/3
Chord {C in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),C4-interval class 4,1/3,497/3
Chord {D in octave 5 | G in octave 4} Quarter,G4-interval class 5,1.0,169.0
Chord {E-flat in octave 2 | F-sharp in octave 3} Dotted Eighth,F#3-interval class 3,0.75,514/3
Chord {B in octave 3 | E in octave 4} Whole Triplet (2 2/3 QL),E4-interval class 5,8/3,175.0
Chord {E-flat in octave 4 | C-sharp in octave 6} 16th,C#6-interval class 2,0.25,179.5
Chord {B in octave 4 | C-sharp in octave 4} Quarter,C#4-interval class 2,1.0,593/3
Chord {G-sharp in octave 3 | G-sharp in octave 6} Dotted Eighth,G#3-unison,0.75,614/3
Chord {G-sharp in octave 6 | G-sharp in octave 3} Quarter,G#6-unison,1.0,205.75
Chord {G-sharp in octave 6 | G-sharp in octave 3} Quarter,G#6-unison,1.0,207.0
Chord {E-flat in octave 4 | C-sharp in octave 4} Eighth,C#4-interval class 2,0.5,213.0
Chord {E-flat in octave 5 | C-sharp in octave 5} Quarter,C#5-interval class 2,1.0,646/3
Chord {E-flat in octave 4 | E-flat in octave 6} Eighth Triplet (1/3 QL),E-4-unison,1/3,224.5
Chord {E-flat in octave 4 | E-flat in octave 6} Eighth Triplet (1/3 QL),E-4-unison,1/3,225.5
Chord {G-sharp in octave 5 | B in octave 4} Eighth Triplet (1/3 QL),G#5-interval class 3,1/3,244.75
Chord {E in octave 5 | B in octave 5} 16th,E5-interval class 5,0.25,245.25
Chord {G-sharp in octave 5 | E in octave 5 | B in octave 4} Dotted Quarter,E5-major triad,1.5,247.5
Chord {E in octave 6 | B in octave 6} 16th,E6-interval class 5,0.25,778/3
Chord {G-sharp in octave 4 | F in octave 4} Eighth,G#4-interval class 3,0.5,261.75
Chord {E in octave 4 | B in octave 3} Quarter,E4-interval class 5,1.0,265.25
Chord {F-sharp in octave 5 | C-sharp in octave 5 | A in octave 4} Quarter Triplet (2/3 QL),F#5-minor triad,2/3,271.25
Chord {F-sharp in octave 5 | A in octave 4} Quarter Triplet (2/3 QL),F#5-interval class 3,2/3,272.0
Chord {G-sharp in octave 5 | C-sharp in octave 5} 16th,C#5-interval class 5,0.25,272.75
Chord {G-sharp in octave 4 | B in octave 4} 16th,G#4-interval class 3,0.25,832/3
Chord {B in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),E5-interval class 5,1/3,278.0
Chord {G-sharp in octave 5 | E in octave 5} 16th,E5-interval class 4,0.25,278.5
Chord {B in octave 4 | E in octave 4 | G-sharp in octave 4} 16th,E4-major triad,0.25,280.25
Chord {F in octave 4 | E-flat in octave 5 | G-sharp in octave 4} Double Dotted Quarter,E-5-incomplete minor-seventh chord,1.75,280.75
Chord {B in octave 4 | G-sharp in octave 4} 16th,G#4-interval class 3,0.25,857/3
Chord {C in octave 4 | G-sharp in octave 4} Eighth,C4-interval class 4,0.5,291.0
Chord {G-sharp in octave 5 | F-sharp in octave 3} Half Triplet (1 1/3 QL),G#5-interval class 2,4/3,299.5
Chord {C-sharp in octave 5 | A in octave 4} Quarter,A4-interval class 4,1.0,301.5
Chord {F in octave 2 | C in octave 5 | C in octave 3} Eighth Triplet (1/3 QL),F2-interval class 5,1/3,910/3
Chord {E-flat in octave 5 | C-sharp in octave 6 | G-sharp in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),C#6-quartal tetramirror,1/3,304.5
Chord {C in octave 6 | G in octave 5} 16th,C6-interval class 5,0.25,305.0
Chord {A in octave 5 | E in octave 5 | C in octave 5} Zero,A5-minor triad,0.0,305.5
Chord {F in octave 5 | D in octave 4 | C in octave 5} Zero,D4-incomplete minor-seventh chord,0.0,306.25
Chord {G in octave 4 | A in octave 4} Zero,A4-interval class 2,0.0,306.25
Chord {E-flat in octave 4 | B-flat in octave 3} Eighth,E-4-interval class 5,0.5,311.5
Chord {G-sharp in octave 2 | E-flat in octave 3} 16th,E-3-interval class 5,0.25,319.0
Chord {E-flat in octave 4 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-interval class 3,1.25,320.25
Chord {E-flat in octave 5 | B-flat in octave 4} 16th,E-5-interval class 5,0.25,321.5
Chord {F in octave 4 | F in octave 5} 16th,F4-unison,0.25,322.25
Chord {F-sharp in octave 5 | B in octave 4} 16th,B4-interval class 5,0.25,322.75
Chord {F in octave 3 | C in octave 4} Half Triplet (1 1/3 QL),F3-interval class 5,4/3,331.0
Chord {B in octave 5 | E in octave 5 | E-flat in octave 4} Eighth Triplet (1/3 QL),E5-incomplete major-seventh chord,1/3,334.0
Chord {C-sharp in octave 2 | G-sharp in octave 2} Zero,C#2-interval class 5,0.0,343.0
Chord {E-flat in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 3,1/3,343.75
Chord {E-flat in octave 4 | C in octave 4} 16th,C4-interval class 3,0.25,344.5
Chord {E-flat in octave 4 | F in octave 3 | C in octave 4} 16th,F3-incomplete dominant-seventh chord,0.25,345.0
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 3} 16th,C4-incomplete minor-seventh chord,0.25,345.75
Chord {F in octave 6 | F in octave 5} Eighth,F6-unison,0.5,352.0
Chord {G-sharp in octave 6 | G-sharp in octave 5} 16th,G#6-unison,0.25,1060/3
Chord {B in octave 6 | E in octave 7} Dotted Eighth,E7-interval class 5,0.75,1064/3
Chord {F-sharp in octave 4 | G-sharp in octave 5 | C-sharp in octave 5} Eighth,F#4-quartal trichord,0.5,1096/3
Chord {E-flat in octave 4 | C in octave 4} Eighth,C4-interval class 3,0.5,1099/3
Chord {G-sharp in octave 5 | E-flat in octave 5} 16th,E-5-interval class 5,0.25,1135/3
Chord {F-sharp in octave 4 | A in octave 3} 16th,F#4-interval class 3,0.25,381.5
Chord {B-flat in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 3,1/3,400.0
Chord {B-flat in octave 5 | D in octave 5} Eighth Triplet (1/3 QL),B-5-interval class 4,1/3,1204/3
Chord {E in octave 4 | D in octave 4} Eighth,E4-interval class 2,0.5,403.5
Chord {G-sharp in octave 4 | B-flat in octave 4} Quarter,G#4-interval class 2,1.0,404.5
Chord {G-sharp in octave 6 | B-flat in octave 6} Zero,G#6-interval class 2,0.0,405.75
Chord {E in octave 7 | D in octave 7} Zero,E7-interval class 2,0.0,406.0
Chord {F-sharp in octave 4 | F-sharp in octave 3} Eighth,F#4-unison,0.5,410.5
Chord {C in octave 5 | A in octave 2} Quarter,A2-interval class 3,1.0,428.0
Chord {C-sharp in octave 5 | F-sharp in octave 4} Quarter,F#4-interval class 5,1.0,1291/3
Chord {E-flat in octave 5 | B-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-5-interval class 5,1.25,433.0
Chord {F in octave 6 | F in octave 5} Quarter Triplet (2/3 QL),F6-unison,2/3,438.25
Chord {F in octave 6 | F in octave 5} Dotted Eighth,F6-unison,0.75,439.25
Chord {B in octave 6 | E in octave 6} 16th,E6-interval class 5,0.25,443.0
Chord {G-sharp in octave 6 | B in octave 5} Eighth Triplet (1/3 QL),G#6-interval class 3,1/3,443.5
Chord {B in octave 6 | E in octave 6} 16th,E6-interval class 5,0.25,444.0
Chord {G-sharp in octave 6 | B in octave 5} 16th,G#6-interval class 3,0.25,444.25
Chord {E in octave 6 | B in octave 6} 16th,E6-interval class 5,0.25,1334/3
Chord {G-sharp in octave 6 | B in octave 5} 16th,G#6-interval class 3,0.25,445.0
Chord {E in octave 6 | B in octave 6} 16th,E6-interval class 5,0.25,445.5
Chord {B in octave 3 | E in octave 4} Eighth,E4-interval class 5,0.5,463.0
Chord {G-sharp in octave 5 | B-flat in octave 5} Eighth Triplet (1/3 QL),G#5-interval class 2,1/3,464.25
Chord {B in octave 3 | E in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,1412/3
Chord {E-flat in octave 4 | E-flat in octave 5} 16th,E-4-unison,0.25,473.5
Chord {G-sharp in octave 4 | G-sharp in octave 3 | C-sharp in octave 4 | E-flat in octave 4} Quarter Triplet (2/3 QL),C#4-quartal trichord,2/3,478.0
