446.6666666666667
3/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 4 | E-flat in octave 2 | F-sharp in octave 3} Quarter Triplet (2/3 QL),E-2-incomplete dominant-seventh chord,2/3,2.5
Chord {B-flat in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),B-4-interval class 5,1.25,22/3
Chord {C in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,10.75
Chord {C in octave 6 | F in octave 5} 16th,F5-interval class 5,0.25,17.5
Chord {C-sharp in octave 4 | E in octave 5} Quarter Triplet (2/3 QL),C#4-interval class 3,2/3,18.25
Chord {C in octave 5 | G in octave 5 | A in octave 4} Eighth,A4-incomplete minor-seventh chord,0.5,59/3
Chord {C-sharp in octave 5 | A in octave 4} Half tied to 16th (2 1/4 total QL),A4-interval class 4,2.25,68/3
Chord {C-sharp in octave 5 | A in octave 3} Eighth Triplet (1/3 QL),A3-interval class 4,1/3,77/3
Chord {D in octave 6 | G in octave 5} Eighth,G5-interval class 5,0.5,83/3
Chord {G in octave 2 | B in octave 3} 16th,G2-interval class 4,0.25,139/3
Chord {E-flat in octave 4 | F in octave 3} Eighth,F3-interval class 2,0.5,142/3
Chord {E-flat in octave 5 | E-flat in octave 4 | B in octave 4} 16th,E-5-interval class 4,0.25,145/3
Chord {B in octave 4 | G-sharp in octave 4 | B in octave 3} Dotted Eighth,G#4-interval class 3,0.75,50.25
Chord {B in octave 4 | G-sharp in octave 4} Dotted Eighth,G#4-interval class 3,0.75,51.25
Chord {C-sharp in octave 5 | E-flat in octave 4 | F-sharp in octave 4 | B-flat in octave 4 | C-sharp in octave 4 | B in octave 3} Dotted Eighth,C#5-major-ninth chord,0.75,56.5
Chord {E-flat in octave 4 | C-sharp in octave 5 | B-flat in octave 4 | C-sharp in octave 4 | F in octave 4} 16th,C#5-perfect-fourth minor tetrachord,0.25,60.0
Chord {C-sharp in octave 5 | E-flat in octave 4 | B-flat in octave 4 | C-sharp in octave 4} 16th,C#5-incomplete dominant-seventh chord,0.25,181/3
Chord {E in octave 5 | F-sharp in octave 4 | A in octave 4 | E in octave 4 | D in octave 4} Dotted Eighth,D4-major-second major tetrachord,0.75,61.0
Chord {G-sharp in octave 4 | E in octave 5} Half tied to Dotted Eighth (2 3/4 total QL),E5-interval class 4,2.75,62.5
Chord {E-flat in octave 4 | F in octave 5} Quarter Triplet (2/3 QL),F5-interval class 2,2/3,67.5
Chord {C-sharp in octave 5 | F in octave 4} Quarter,F4-interval class 4,1.0,69.25
Chord {B in octave 3 | G-sharp in octave 2} Dotted Eighth,G#2-interval class 3,0.75,75.0
Chord {G-sharp in octave 4 | B-flat in octave 3} Quarter,G#4-interval class 2,1.0,78.75
Chord {D in octave 3 | A in octave 3} Quarter Triplet (2/3 QL),D3-interval class 5,2/3,245/3
Chord {G in octave 4 | C in octave 4 | A in octave 3} Quarter,A3-incomplete minor-seventh chord,1.0,83.0
Chord {A in octave 4 | F in octave 4} Half,F4-interval class 4,2.0,91.25
Chord {G in octave 4 | A in octave 3} Eighth,A3-interval class 2,0.5,127.25
Chord {B in octave 2 | A in octave 3} Eighth Triplet (1/3 QL),B2-interval class 2,1/3,128.25
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3} Eighth,G#3-diminished triad,0.5,129.25
Chord {G in octave 3 | C in octave 4} Eighth,C4-interval class 5,0.5,130.25
Chord {F-sharp in octave 3 | E-flat in octave 3 | B-flat in octave 3 | C in octave 4} Eighth,C4-half-diminished seventh chord,0.5,131.25
Chord {G in octave 2 | A in octave 4 | B in octave 3 | E in octave 4} 16th,E4-perfect-fourth minor tetrachord,0.25,132.5
Chord {G in octave 4 | A in octave 3 | C in octave 3} 16th,A3-incomplete minor-seventh chord,0.25,133.25
Chord {F in octave 4 | G in octave 3 | C in octave 4 | B-flat in octave 2} Eighth,G3-quartal tetramirror,0.5,134.0
Chord {A in octave 3 | F in octave 3} Half,F3-interval class 4,2.0,136.0
Chord {E in octave 5 | E in octave 4} Eighth,E5-unison,0.5,141.75
Chord {E in octave 5 | A in octave 4} 16th,A4-interval class 5,0.25,427/3
Chord {D in octave 6 | A in octave 5} Quarter tied to 16th (1 1/4 total QL),D6-interval class 5,1.25,152.25
Chord {F in octave 4 | C in octave 4} Dotted Quarter,F4-interval class 5,1.5,153.75
Chord {D in octave 6 | D in octave 5 | A in octave 5} 16th,D6-interval class 5,0.25,155.25
Chord {C in octave 6 | G in octave 5} Zero,C6-interval class 5,0.0,155.75
Chord {F in octave 5 | B in octave 5} Zero,B5-tritone,0.0,156.25
Chord {A in octave 4 | C-sharp in octave 4} Dotted Quarter,A4-interval class 4,1.5,156.75
Chord {F in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,162.25
Chord {G-sharp in octave 2 | B-flat in octave 4 | F-sharp in octave 3} Eighth,G#2-whole-tone trichord,0.5,164.25
Chord {G in octave 2 | F in octave 3} Eighth Triplet (1/3 QL),G2-interval class 2,1/3,165.25
Chord {E in octave 4 | C in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),C4-interval class 4,2.75,169.25
Chord {C in octave 5 | G in octave 5} 16th,C5-interval class 5,0.25,521/3
Chord {C-sharp in octave 4 | B-flat in octave 4} Dotted Eighth,C#4-interval class 3,0.75,178.75
Chord {B-flat in octave 4 | C-sharp in octave 3 | G-sharp in octave 3} Eighth Triplet (1/3 QL),C#3-incomplete minor-seventh chord,1/3,183.25
Chord {B-flat in octave 5 | E-flat in octave 5 | E-flat in octave 4} 16th,E-5-interval class 5,0.25,184.25
Chord {B-flat in octave 4 | F in octave 4 | G-sharp in octave 3} Eighth,G#3-incomplete dominant-seventh chord,0.5,185.25
Chord {B in octave 4 | G in octave 4} 16th,G4-interval class 4,0.25,186.25
Chord {B in octave 5 | E in octave 5} 16th,E5-interval class 5,0.25,560/3
Chord {E in octave 5 | B in octave 5} Eighth Triplet (1/3 QL),E5-interval class 5,1/3,187.25
Chord {C-sharp in octave 4 | F-sharp in octave 4} Eighth,F#4-interval class 5,0.5,188.25
Chord {A in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),A4-interval class 3,2/3,190.25
Chord {C in octave 5 | F in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),F4-major triad,2/3,191.0
Chord {C-sharp in octave 5 | E-flat in octave 4 | A in octave 3} Eighth,A3-incomplete half-diminished seventh chord,0.5,193.25
Chord {F-sharp in octave 4 | E-flat in octave 4} Eighth,F#4-interval class 3,0.5,194.25
Chord {E in octave 2 | D in octave 5 | G in octave 4} 16th,E2-incomplete minor-seventh chord,0.25,195.25
Chord {D in octave 6 | D in octave 5 | G in octave 5 | B in octave 5 | D in octave 4} 16th,G5-major triad,0.25,196.25
Chord {D in octave 6 | D in octave 4 | D in octave 5 | G in octave 5 | B in octave 5} 16th,G5-major triad,0.25,196.5
Chord {D in octave 6 | G in octave 5 | B in octave 5} 16th,G5-major triad,0.25,197.25
Chord {A in octave 4 | B-flat in octave 3 | E in octave 4} Dotted Eighth,A4-tritone-fourth,0.75,596/3
Chord {E in octave 4 | B-flat in octave 3 | G in octave 4} Quarter,E4-diminished triad,1.0,199.75
Chord {C-sharp in octave 4 | F in octave 4} Quarter,F4-interval class 4,1.0,204.25
Chord {B-flat in octave 4 | E-flat in octave 4 | B in octave 3 | G in octave 4} Quarter,E-4-augmented major tetrachord,1.0,207.25
Chord {E-flat in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),E-4-interval class 4,1/3,209.25
Chord {B in octave 4 | G-sharp in octave 4 | E in octave 4 | A in octave 3} Eighth,E4-perfect-fourth major tetrachord,0.5,632/3
Chord {C-sharp in octave 4 | B in octave 4} 16th,C#4-interval class 2,0.25,211.25
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-4-minor triad,1/3,635/3
Chord {E-flat in octave 4 | B in octave 4 | G-sharp in octave 4} 16th,E-4-minor triad,0.25,212.25
Chord {C-sharp in octave 4 | E-flat in octave 4} 16th,C#4-interval class 2,0.25,638/3
Chord {C in octave 5 | E in octave 4 | G in octave 4} Dotted Eighth,C5-major triad,0.75,213.25
Chord {E-flat in octave 4 | C-sharp in octave 4 | C-sharp in octave 5 | F-sharp in octave 4 | B-flat in octave 4 | B in octave 3} 16th,C#4-major-ninth chord,0.25,216.25
Chord {E-flat in octave 4 | F-sharp in octave 4 | C-sharp in octave 4 | C-sharp in octave 5 | B-flat in octave 4 | B in octave 3} 16th,C#4-major-ninth chord,0.25,650/3
Chord {E-flat in octave 4 | C-sharp in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-whole-tone trichord,1/3,218.25
Chord {E in octave 5 | E in octave 4 | D in octave 4} Dotted Eighth,E5-interval class 2,0.75,219.25
Chord {C-sharp in octave 5 | E in octave 5} Quarter,C#5-interval class 3,1.0,220.25
Chord {F in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 5,1/3,225.25
Chord {F in octave 4 | C-sharp in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),F4-incomplete half-diminished seventh chord,1/3,228.0
Chord {C in octave 3 | B-flat in octave 3} 16th,C3-interval class 2,0.25,229.25
Chord {B-flat in octave 3 | D in octave 4 | E in octave 4} Quarter,E4-incomplete half-diminished seventh chord,1.0,234.25
Chord {C-sharp in octave 4 | B-flat in octave 3} Half Triplet (1 1/3 QL),C#4-interval class 3,4/3,236.0
Chord {E in octave 4 | F in octave 3 | A in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),F3-major seventh chord,1/3,238.25
Chord {B in octave 3 | G in octave 3} Eighth,G3-interval class 4,0.5,247.0
Chord {G in octave 3 | B in octave 3} Quarter Triplet (2/3 QL),G3-interval class 4,2/3,248.0
Chord {C in octave 2 | D in octave 2} Zero,D2-interval class 2,0.0,258.25
Chord {C-sharp in octave 4 | G in octave 3} Quarter,C#4-tritone,1.0,259.0
Chord {E in octave 4 | A in octave 4 | C in octave 4 | F in octave 4} Zero,F4-major seventh chord,0.0,261.0
Chord {A in octave 3 | D in octave 4} Dotted Eighth,D4-interval class 5,0.75,262.0
Chord {B in octave 2 | A in octave 3} Eighth,B2-interval class 2,0.5,263.0
