262.5
3/4
FullName,CommonName,Len,Offset
Chord {B in octave 5 | F in octave 5 | G in octave 4} Eighth,G4-incomplete dominant-seventh chord,0.5,7.75
Chord {A in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),A5-interval class 5,1/3,8.5
Chord {D in octave 5 | A in octave 4 | G in octave 5} Eighth Triplet (1/3 QL),G5-quartal trichord,1/3,9.0
Chord {F in octave 5 | C in octave 5} 16th,F5-interval class 5,0.25,9.75
Chord {G in octave 4 | C in octave 5} 16th,C5-interval class 5,0.25,10.0
Chord {G in octave 5 | B in octave 4} 16th,G5-interval class 4,0.25,55/3
Chord {F in octave 5 | A in octave 4} 16th,F5-interval class 4,0.25,18.75
Chord {F in octave 4 | A in octave 4} Zero,F4-interval class 4,0.0,23.0
Chord {B in octave 4 | E in octave 4} 16th,E4-interval class 5,0.25,23.0
Chord {B in octave 4 | E in octave 4} 16th,E4-interval class 5,0.25,23.5
Chord {B in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),B4-interval class 2,1/3,24.0
Chord {G in octave 5 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),G5-unison,1.25,82/3
Chord {A in octave 3 | C in octave 3 | C in octave 4 | G in octave 3 | D in octave 3 | E in octave 3} Dotted Eighth,A3-major pentatonic,0.75,38.0
Chord {G in octave 4 | E in octave 4} 16th,E4-interval class 3,0.25,40.25
Chord {F-sharp in octave 3 | A in octave 4 | B-flat in octave 3} Eighth,B-3-major-minor trichord,0.5,48.0
Chord {A in octave 5 | F in octave 5} 16th,F5-interval class 4,0.25,54.0
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,55.0
Chord {F in octave 5 | A in octave 4 | C in octave 5} 16th,F5-major triad,0.25,56.0
Chord {A in octave 4 | G in octave 3} 16th,A4-interval class 2,0.25,56.75
Chord {G-sharp in octave 4 | B in octave 3} Eighth,G#4-interval class 3,0.5,65.25
Chord {D in octave 4 | E in octave 4} 16th,E4-interval class 2,0.25,67.25
Chord {G in octave 5 | B in octave 4} Zero,G5-interval class 4,0.0,69.5
Chord {F in octave 5 | A in octave 4 | B in octave 4} Zero,B4-incomplete half-diminished seventh chord,0.0,209/3
Chord {B in octave 4 | E in octave 4} Eighth,E4-interval class 5,0.5,70.75
Chord {G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,214/3
Chord {F in octave 5 | A in octave 4 | F in octave 3} 16th,F5-interval class 4,0.25,75.0
Chord {D in octave 5 | D in octave 4 | F in octave 4} Eighth,D5-interval class 3,0.5,79.5
Chord {F in octave 4 | D in octave 4} 16th,D4-interval class 3,0.25,241/3
