846.3333333333334
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 4 | F-sharp in octave 4} Quarter,B4-interval class 5,1.0,74/3
Chord {F in octave 4 | A in octave 4} Quarter,F4-interval class 4,1.0,85/3
Chord {E in octave 5 | A in octave 4} Half Triplet (1 1/3 QL),A4-interval class 5,4/3,30.0
Chord {A in octave 4 | D in octave 5} Quarter tied to 16th (1 1/4 total QL),D5-interval class 5,1.25,32.0
Chord {D in octave 4 | G-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),G#4-tritone,2.5,104/3
Chord {E in octave 4 | C in octave 4} Eighth,C4-interval class 4,0.5,70.0
Chord {C-sharp in octave 4 | G in octave 3} Breve Tuplet of 24/13ths (4 1/3 QL),C#4-tritone,13/3,233/3
Chord {C-sharp in octave 4 | B-flat in octave 3} Quarter,C#4-interval class 3,1.0,147.25
Chord {G in octave 4 | C in octave 5} Dotted Eighth,C5-interval class 5,0.75,150.5
Chord {G-sharp in octave 3 | G in octave 4} Quarter,G#3-interval class 1,1.0,152.25
Chord {B-flat in octave 2 | C in octave 5 | G in octave 4} Eighth,C5-incomplete dominant-seventh chord,0.5,153.75
Chord {G in octave 5 | D in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),G5-interval class 5,5/3,157.5
Chord {A in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),A5-interval class 3,2/3,230.0
Chord {B-flat in octave 3 | C-sharp in octave 4} Dotted Eighth,C#4-interval class 3,0.75,233.25
Chord {D in octave 3 | A in octave 3 | F in octave 3} Quarter Triplet (2/3 QL),D3-minor triad,2/3,238.0
Chord {F in octave 5 | C in octave 4} Eighth,F5-interval class 5,0.5,272.5
Chord {A in octave 5 | F in octave 5} Quarter,F5-interval class 4,1.0,275.75
Chord {G in octave 5 | E in octave 5 | A in octave 4} Dotted Eighth,A4-incomplete dominant-seventh chord,0.75,277.75
Chord {B-flat in octave 3 | G in octave 4} Quarter Triplet (2/3 QL),G4-interval class 3,2/3,287.0
Chord {E in octave 6 | E in octave 5} Quarter,E6-unison,1.0,297.75
Chord {G in octave 4 | C in octave 4} Dotted Eighth,C4-interval class 5,0.75,322.25
Chord {C in octave 6 | F in octave 5} Eighth,F5-interval class 5,0.5,985/3
Chord {A in octave 5 | D in octave 5} Eighth,D5-interval class 5,0.5,329.75
Chord {D in octave 6 | B in octave 5 | G in octave 5} Quarter Triplet (2/3 QL),G5-major triad,2/3,998/3
Chord {B in octave 5 | G in octave 5} Eighth Triplet (1/3 QL),G5-interval class 4,1/3,334.0
Chord {C in octave 6 | F in octave 5} Eighth,F5-interval class 5,0.5,340.75
Chord {A in octave 5 | F in octave 5} Eighth,F5-interval class 4,0.5,342.25
Chord {G in octave 5 | B in octave 5} Dotted Eighth,G5-interval class 4,0.75,347.5
Chord {B-flat in octave 4 | C-sharp in octave 5 | C-sharp in octave 4} Quarter,C#5-interval class 3,1.0,351.25
Chord {E in octave 5 | F in octave 4} Eighth,F4-interval class 1,0.5,1076/3
Chord {G in octave 5 | E in octave 5} Quarter,E5-interval class 3,1.0,361.5
Chord {F in octave 5 | D in octave 5} Quarter tied to 16th (1 1/4 total QL),D5-interval class 3,1.25,398.0
Chord {E in octave 4 | A in octave 3 | F in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),F3-major seventh chord,1.25,402.0
Chord {D in octave 4 | G in octave 5 | B in octave 3 | G in octave 3} Quarter,G5-major triad,1.0,404.0
Chord {C-sharp in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),C#4-interval class 3,1/3,407.0
Chord {F in octave 3 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-interval class 4,1.25,408.0
Chord {D in octave 5 | F-sharp in octave 5 | B in octave 5 | F in octave 3} Quarter Triplet (2/3 QL),B5-minor-diminished tetrachord,2/3,410.0
Chord {F in octave 3 | A in octave 5 | F in octave 5} 16th,F3-interval class 4,0.25,411.75
Chord {G in octave 5 | D in octave 5 | D in octave 4 | G in octave 3} 16th,G5-interval class 5,0.25,412.75
Chord {C in octave 5 | D in octave 4} 16th,D4-interval class 2,0.25,414.75
Chord {D in octave 6 | F in octave 5} Eighth Triplet (1/3 QL),D6-interval class 3,1/3,1259/3
Chord {A in octave 3 | E in octave 4} Quarter,A3-interval class 5,1.0,420.25
Chord {A in octave 5 | F in octave 6} 16th,F6-interval class 4,0.25,421.25
Chord {G in octave 6 | C-sharp in octave 4 | A in octave 5} 16th,A5-incomplete dominant-seventh chord,0.25,421.75
Chord {F-sharp in octave 4 | C-sharp in octave 4 | A in octave 5 | G in octave 3} 16th,F#4-all-interval tetrachord,0.25,422.0
Chord {A in octave 6 | A in octave 5 | C-sharp in octave 4} Dotted Eighth,A6-interval class 4,0.75,422.75
Chord {F in octave 3 | E in octave 4 | B in octave 6 | F-sharp in octave 6 | B in octave 5} Quarter Triplet (2/3 QL),E4-perfect fourth tetramirror,2/3,426.0
Chord {A in octave 6 | A in octave 5 | F in octave 3 | F in octave 6 | E in octave 4} Eighth,F3-incomplete major-seventh chord,0.5,427.0
Chord {G in octave 6 | G in octave 5 | E in octave 6} 16th,E6-interval class 3,0.25,427.75
Chord {F in octave 6 | F in octave 5} Eighth Triplet (1/3 QL),F6-unison,1/3,1285/3
Chord {E in octave 6 | E in octave 5} Eighth Triplet (1/3 QL),E6-unison,1/3,429.25
Chord {C-sharp in octave 5 | B-flat in octave 3} Eighth Triplet (1/3 QL),C#5-interval class 3,1/3,431.75
Chord {G in octave 4 | C in octave 5} Dotted Eighth,C5-interval class 5,0.75,1297/3
Chord {A in octave 4 | E in octave 4 | F in octave 3} 16th,F3-incomplete major-seventh chord,0.25,433.75
Chord {B-flat in octave 2 | E in octave 4 | G in octave 4} Quarter,E4-diminished triad,1.0,434.25
Chord {C in octave 3 | C in octave 4} Dotted Eighth,C3-unison,0.75,440.25
Chord {C in octave 5 | G-sharp in octave 3} Quarter,C5-interval class 4,1.0,442.25
Chord {C in octave 6 | C in octave 5 | G in octave 3} Zero,C6-interval class 5,0.0,446.0
Chord {E in octave 4 | C in octave 4 | C in octave 5 | G in octave 5 | G in octave 3} Zero,C4-major triad,0.0,446.0
Chord {B in octave 5 | B in octave 4 | C in octave 4} Zero,C4-interval class 1,0.0,1340/3
Chord {E in octave 4 | C in octave 4 | B in octave 4} Zero,C4-incomplete major-seventh chord,0.0,448.0
