507.25
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | D in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),G4-minor triad,1/3,7.0
Chord {A in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,7.75
Chord {D in octave 5 | F in octave 4} Eighth,D5-interval class 3,0.5,10.75
Chord {G-sharp in octave 4 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C#5-interval class 5,1/3,14.0
Chord {A in octave 5 | F in octave 5} Eighth,F5-interval class 4,0.5,55/3
Chord {F-sharp in octave 3 | G-sharp in octave 2} Dotted Eighth,G#2-interval class 2,0.75,67/3
Chord {F-sharp in octave 4 | F in octave 5 | E-flat in octave 5} Eighth Triplet (1/3 QL),F#4-minor trichord,1/3,83/3
Chord {G in octave 5 | C-sharp in octave 5 | B-flat in octave 4 | E in octave 5} 16th,C#5-diminished seventh chord,0.25,85/3
Chord {E-flat in octave 3 | A in octave 3} Quarter Triplet (2/3 QL),A3-tritone,2/3,32.0
Chord {D in octave 5 | D in octave 4} Quarter Triplet (2/3 QL),D5-unison,2/3,43.5
Chord {B-flat in octave 4 | D in octave 5} Quarter,B-4-interval class 4,1.0,47.75
Chord {A in octave 5 | G in octave 4} Eighth,A5-interval class 2,0.5,49.0
Chord {F in octave 5 | E in octave 5} 16th,F5-interval class 1,0.25,53.75
Chord {D in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,57.0
Chord {D in octave 6 | F in octave 5} Zero,D6-interval class 3,0.0,58.0
Chord {D in octave 5 | F in octave 4} Zero,D5-interval class 3,0.0,59.0
Chord {B-flat in octave 4 | F in octave 4} 16th,B-4-interval class 5,0.25,179/3
Chord {F in octave 6 | F in octave 5} 16th,F6-unison,0.25,65.5
Chord {G in octave 3 | G in octave 6} Zero,G3-unison,0.0,66.0
Chord {F-sharp in octave 5 | D in octave 5 | A in octave 5} Whole,D5-major triad,4.0,200/3
Chord {E-flat in octave 4 | G-sharp in octave 4} Double Dotted Quarter,E-4-interval class 5,1.75,232/3
Chord {C in octave 6 | D in octave 5} Quarter Triplet (2/3 QL),D5-interval class 2,2/3,86.0
Chord {B-flat in octave 5 | C in octave 5 | F in octave 5} Dotted Eighth,B-5-quartal trichord,0.75,86.75
Chord {F in octave 4 | F-sharp in octave 3 | C in octave 4} Half tied to Eighth (2 1/2 total QL),F4-tritone-fourth,2.5,92.5
Chord {E-flat in octave 5 | G in octave 5} Eighth,E-5-interval class 4,0.5,286/3
Chord {G-sharp in octave 1 | C in octave 5 | G-sharp in octave 2} Eighth,C5-interval class 4,0.5,370/3
Chord {E in octave 5 | C-sharp in octave 4 | C-sharp in octave 5} Quarter Triplet (2/3 QL),C#4-interval class 3,2/3,130.25
