619.0
3/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),G#4-interval class 3,1/3,9.5
Chord {F in octave 5 | G-sharp in octave 3} Eighth Triplet (1/3 QL),G#3-interval class 3,1/3,26.5
Chord {D in octave 4 | B in octave 2} Quarter tied to 16th (1 1/4 total QL),B2-interval class 3,1.25,98/3
Chord {E-flat in octave 4 | G in octave 4} Dotted Eighth,E-4-interval class 4,0.75,158/3
Chord {F in octave 5 | G in octave 5} Eighth,G5-interval class 2,0.5,55.5
Chord {F in octave 4 | G-sharp in octave 4} Half,G#4-interval class 3,2.0,72.5
Chord {C in octave 5 | B-flat in octave 3} Eighth,C5-interval class 2,0.5,86.25
Chord {B-flat in octave 2 | D in octave 4 | G-sharp in octave 3 | G in octave 4} Dotted Eighth,G#3-all-interval tetrachord,0.75,88.25
Chord {E-flat in octave 4 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),E-4-interval class 4,1.25,103.0
Chord {B-flat in octave 4 | E-flat in octave 4} Half tied to Eighth (2 1/2 total QL),E-4-interval class 5,2.5,334/3
Chord {C in octave 5 | C in octave 4 | G-sharp in octave 3} Eighth,C5-interval class 4,0.5,376/3
Chord {E-flat in octave 5 | G in octave 2 | C in octave 5 | G in octave 3} Eighth,C5-minor triad,0.5,126.5
Chord {G-sharp in octave 5 | C in octave 5 | G-sharp in octave 4 | F in octave 3} Quarter Triplet (2/3 QL),F3-minor triad,2/3,128.0
Chord {B-flat in octave 4 | F-sharp in octave 4 | C-sharp in octave 4 | E in octave 3} Half Triplet (1 1/3 QL),C#4-dominant seventh chord,4/3,131.0
Chord {E-flat in octave 4 | B-flat in octave 3} Dotted Eighth,E-4-interval class 5,0.75,133.5
Chord {E-flat in octave 5 | G in octave 4} Quarter Triplet (2/3 QL),E-5-interval class 4,2/3,146.75
Chord {C in octave 5 | E-flat in octave 4 | C in octave 4} 16th,C5-interval class 3,0.25,189.0
Chord {E-flat in octave 4 | B-flat in octave 3} Dotted Eighth,E-4-interval class 5,0.75,202.75
Chord {G-sharp in octave 4 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,204.0
Chord {E in octave 3 | C-sharp in octave 4 | F-sharp in octave 4} Zero,F#4-incomplete dominant-seventh chord,0.0,206.5
Chord {B-flat in octave 4 | C-sharp in octave 4 | F-sharp in octave 4} 16th,B-4-major triad,0.25,206.5
Chord {E in octave 3 | G in octave 2} Zero,E3-interval class 3,0.0,635/3
