688.25
3/4
FullName,CommonName,Len,Offset
Chord {E in octave 2 | D in octave 2} Zero,E2-interval class 2,0.0,1580/3
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,0.0
Chord {E-flat in octave 3 | E-flat in octave 5} Zero,E-3-unison,0.0,14/3
Chord {E-flat in octave 3 | C-sharp in octave 2} Zero,C#2-interval class 2,0.0,22.0
Chord {F in octave 3 | B in octave 1} 16th,B1-tritone,0.25,71/3
Chord {B in octave 1 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,80/3
Chord {B in octave 1 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,107/3
Chord {E in octave 2 | E-flat in octave 3} Zero,E2-interval class 1,0.0,37.0
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,39.0
Chord {E-flat in octave 3 | E-flat in octave 5} Zero,E-3-unison,0.0,118/3
Chord {E-flat in octave 3 | E in octave 4} 16th,E-3-interval class 1,0.25,137/3
Chord {E in octave 2 | D in octave 2} Zero,E2-interval class 2,0.0,46.75
Chord {F in octave 3 | E-flat in octave 3} Eighth Triplet (1/3 QL),F3-interval class 2,1/3,59.0
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,197/3
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,66.0
Chord {B in octave 1 | F in octave 3} 16th,B1-tritone,0.25,80.5
Chord {E-flat in octave 5 | E-flat in octave 3} Zero,E-5-unison,0.0,82.0
Chord {B in octave 1 | F in octave 3} 16th,B1-tritone,0.25,278/3
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,96.0
Chord {B in octave 1 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,99.0
Chord {E in octave 2 | E-flat in octave 3} Zero,E2-interval class 1,0.0,109.0
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,332/3
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,116.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,123.0
Chord {F in octave 3 | C-sharp in octave 2 | B in octave 1} 16th,B1-incomplete dominant-seventh chord,0.25,125.5
Chord {F in octave 3 | E-flat in octave 3} Quarter Triplet (2/3 QL),F3-interval class 2,2/3,128.5
Chord {C-sharp in octave 2 | B in octave 1} Zero,C#2-interval class 2,0.0,395/3
Chord {F in octave 3 | E-flat in octave 3} 16th,F3-interval class 2,0.25,395/3
Chord {C-sharp in octave 2 | B in octave 1} Zero,C#2-interval class 2,0.0,132.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,404/3
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,413/3
Chord {B in octave 1 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,141.0
Chord {B in octave 1 | E-flat in octave 5} Zero,E-5-interval class 4,0.0,431/3
Chord {E in octave 2 | E-flat in octave 5} Zero,E2-interval class 1,0.0,145.0
Chord {E-flat in octave 5 | E-flat in octave 3} Zero,E-5-unison,0.0,145.5
Chord {B in octave 1 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,147.0
Chord {E-flat in octave 3 | E-flat in octave 5} Zero,E-3-unison,0.0,442/3
Chord {E-flat in octave 3 | E in octave 2} 16th,E-3-interval class 1,0.25,148.0
Chord {F in octave 3 | E-flat in octave 3} 16th,F3-interval class 2,0.25,449/3
Chord {B in octave 1 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,150.0
Chord {E in octave 2 | E-flat in octave 3} 16th,E2-interval class 1,0.25,153.75
Chord {B in octave 1 | C-sharp in octave 2} Zero,C#2-interval class 2,0.0,467/3
Chord {A in octave 3 | D in octave 2} Zero,D2-interval class 5,0.0,155.75
Chord {E-flat in octave 3 | B in octave 1} Zero,E-3-interval class 4,0.0,156.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,476/3
Chord {E-flat in octave 3 | B in octave 1} Zero,E-3-interval class 4,0.0,159.0
Chord {E-flat in octave 3 | B in octave 1} Zero,E-3-interval class 4,0.0,161.0
Chord {B in octave 1 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,161.5
Chord {E-flat in octave 3 | B in octave 1} Zero,E-3-interval class 4,0.0,162.0
Chord {E in octave 2 | E-flat in octave 3} Zero,E2-interval class 1,0.0,162.75
Chord {B in octave 1 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,164.5
Chord {E in octave 2 | E-flat in octave 3} Zero,E2-interval class 1,0.0,165.75
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,167.5
Chord {E-flat in octave 3 | B in octave 1} Zero,E-3-interval class 4,0.0,167.75
