465.75
2/4
FullName,CommonName,Len,Offset
Chord {F in octave 3 | B-flat in octave 3} 16th,B-3-interval class 5,0.25,3.0
Chord {F in octave 3 | B in octave 3 | D in octave 4} Zero,B3-diminished triad,0.0,8.0
Chord {D in octave 4 | F in octave 3 | B in octave 3} Zero,B3-diminished triad,0.0,8.75
Chord {D in octave 4 | B in octave 4 | F in octave 3} Zero,B4-diminished triad,0.0,10.0
Chord {F in octave 3 | B in octave 3} 16th,B3-tritone,0.25,11.0
Chord {F in octave 3 | E-flat in octave 4} Zero,F3-interval class 2,0.0,13.25
Chord {D in octave 4 | A in octave 3} Eighth,D4-interval class 5,0.5,20.0
Chord {D in octave 4 | A in octave 3 | G in octave 3} Zero,G3-quartal trichord,0.0,21.0
Chord {B-flat in octave 5 | B-flat in octave 4} 16th,B-5-unison,0.25,21.25
Chord {A in octave 4 | A in octave 5} Zero,A4-unison,0.0,21.5
Chord {B-flat in octave 4 | B-flat in octave 3 | D in octave 4} Zero,B-4-interval class 4,0.0,21.75
Chord {B-flat in octave 5 | B-flat in octave 3} 16th,B-5-unison,0.25,21.75
Chord {A in octave 5 | A in octave 4} Zero,A5-unison,0.0,23.25
Chord {B-flat in octave 4 | B-flat in octave 5} Zero,B-4-unison,0.0,23.5
Chord {C in octave 6 | C in octave 5} Zero,C6-unison,0.0,23.75
Chord {G in octave 3 | C in octave 4 | E-flat in octave 4} Eighth,C4-minor triad,0.5,24.0
Chord {E in octave 5 | A in octave 4} Eighth,A4-interval class 5,0.5,24.75
Chord {C-sharp in octave 4 | C in octave 4 | G in octave 3 | F in octave 4 | B-flat in octave 3} Quarter Triplet (2/3 QL),G3-Kumoi pentachord,2/3,25.5
Chord {F in octave 4 | C-sharp in octave 4 | F in octave 5 | C in octave 5 | C in octave 4 | G in octave 3 | B-flat in octave 3} Eighth Triplet (1/3 QL),G3-Kumoi pentachord,1/3,79/3
Chord {C-sharp in octave 4 | C in octave 4 | G in octave 3 | B-flat in octave 3} Eighth,C#4-perfect-fourth diminished tetrachord,0.5,27.0
Chord {B-flat in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 5,1/3,27.75
Chord {F-sharp in octave 3 | C in octave 4 | B-flat in octave 3} Eighth,B-3-incomplete half-diminished seventh chord,0.5,28.5
Chord {A in octave 4 | F-sharp in octave 4 | F-sharp in octave 3 | C in octave 5 | C in octave 4} 16th,F#4-diminished triad,0.25,29.25
