517.0
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 5 | E in octave 4} Dotted Eighth,E5-unison,0.75,1.5
Chord {E in octave 4 | C in octave 4 | F-sharp in octave 3 | B in octave 3} 16th,C4-minor-second quartal tetrachord,0.25,5.5
Chord {E in octave 4 | C in octave 4 | B in octave 3} Eighth,C4-incomplete major-seventh chord,0.5,6.0
Chord {F-sharp in octave 3 | B in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),B3-tritone-fourth,1/3,7.0
Chord {E in octave 4 | B in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-incomplete major-seventh chord,1.25,8.0
Chord {G in octave 4 | E in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E4-interval class 3,2.75,10.5
Chord {C in octave 4 | E in octave 4 | A in octave 4} Zero,A4-minor triad,0.0,16.0
Chord {B in octave 3 | C in octave 4 | E in octave 4} Zero,C4-incomplete major-seventh chord,0.0,17.5
Chord {G in octave 3 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,19.0
Chord {G in octave 3 | C in octave 4} Zero,C4-interval class 5,0.0,19.5
Chord {E in octave 4 | C in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),C4-major triad,1/3,22.0
Chord {G in octave 4 | D in octave 5 | B in octave 5 | D in octave 4 | E in octave 4} Zero,E4-minor seventh chord,0.0,31.5
Chord {B in octave 4 | D in octave 5 | G in octave 4 | D in octave 4} Half tied to Eighth (2 1/2 total QL),G4-major triad,2.5,32.5
Chord {F-sharp in octave 5 | D in octave 5} Half,D5-interval class 4,2.0,35.5
Chord {G in octave 4 | A in octave 2} Eighth,A2-interval class 2,0.5,40.0
Chord {A in octave 2 | B in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),B3-incomplete minor-seventh chord,1/3,41.0
Chord {F-sharp in octave 4 | D in octave 4} Quarter,D4-interval class 4,1.0,42.0
Chord {E in octave 4 | C in octave 4 | B in octave 3} Dotted Half,C4-incomplete major-seventh chord,3.0,56.0
Chord {B in octave 3 | C in octave 4} 16th,C4-interval class 1,0.25,61.5
Chord {E in octave 4 | G in octave 4} Dotted Eighth,E4-interval class 3,0.75,197/3
Chord {C in octave 4 | E in octave 4 | G in octave 3} Zero,C4-major triad,0.0,72.0
Chord {E-flat in octave 5 | C in octave 5} Eighth,C5-interval class 3,0.5,248/3
Chord {B-flat in octave 3 | G in octave 4 | E-flat in octave 4} Zero,E-4-major triad,0.0,87.0
Chord {F-sharp in octave 4 | D in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),D4-major triad,1/3,92.5
Chord {A in octave 5 | D in octave 5} Eighth,D5-interval class 5,0.5,93.5
Chord {B-flat in octave 4 | G-sharp in octave 3 | E-flat in octave 4 | B in octave 3 | F in octave 4} Zero,E-4-Kumoi pentachord,0.0,110.0
Chord {B-flat in octave 4 | B in octave 3 | F in octave 4 | E-flat in octave 4 | G-sharp in octave 3} Zero,E-4-Kumoi pentachord,0.0,332/3
Chord {E-flat in octave 4 | G-sharp in octave 4} 16th,E-4-interval class 5,0.25,334/3
Chord {B-flat in octave 3 | D in octave 4} Half,B-3-interval class 4,2.0,116.0
Chord {E in octave 4 | A in octave 3 | G in octave 3 | C in octave 4 | C in octave 3 | F in octave 2} Eighth,F2-major-ninth chord,0.5,120.0
Chord {E in octave 4 | C in octave 4} Eighth,C4-interval class 4,0.5,365/3
Chord {G in octave 4 | E in octave 2 | D in octave 4} Dotted Eighth,E2-incomplete minor-seventh chord,0.75,123.0
Chord {B in octave 4 | G in octave 4} Half Triplet (1 1/3 QL),G4-interval class 4,4/3,130.0
Chord {B in octave 4 | G in octave 4} 16th,G4-interval class 4,0.25,132.0
