618.0
3/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | D in octave 2} Eighth,D2-interval class 2,0.5,5.25
Chord {C in octave 5 | G-sharp in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C5-interval class 4,3.25,44.0
Chord {F-sharp in octave 3 | E-flat in octave 5} Quarter Triplet (2/3 QL),F#3-interval class 3,2/3,142/3
Chord {E in octave 4 | G in octave 1 | C in octave 4} Eighth,C4-major triad,0.5,60.5
Chord {F in octave 3 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-interval class 4,1.25,197/3
Chord {G in octave 5 | G-sharp in octave 3} Dotted Eighth,G5-interval class 1,0.75,278/3
Chord {E in octave 5 | C in octave 5} Quarter,C5-interval class 4,1.0,93.5
Chord {E in octave 4 | G-sharp in octave 4} 16th,E4-interval class 4,0.25,368/3
Chord {E in octave 4 | G-sharp in octave 4 | C in octave 5} Quarter tied to 16th (1 1/4 total QL),C5-augmented triad,1.25,125.25
Chord {E in octave 5 | G-sharp in octave 4} Eighth Triplet (1/3 QL),E5-interval class 4,1/3,127.0
Chord {A in octave 5 | C-sharp in octave 4} Dotted Eighth,A5-interval class 4,0.75,128.0
Chord {B-flat in octave 4 | E in octave 5} Whole Tuplet of 12/7ths (2 1/3 QL),E5-tritone,7/3,169.0
Chord {E in octave 5 | C in octave 5} Dotted Eighth,C5-interval class 4,0.75,195.25
Chord {C in octave 6 | E in octave 5} 16th,C6-interval class 4,0.25,590/3
Chord {C in octave 4 | F in octave 4} Dotted Quarter,F4-interval class 5,1.5,604/3
Chord {E in octave 5 | C in octave 5} Half,C5-interval class 4,2.0,204.25
Chord {D in octave 4 | C in octave 4 | A in octave 3 | F in octave 3} Quarter Triplet (2/3 QL),D4-minor seventh chord,2/3,208.25
Chord {F-sharp in octave 4 | D in octave 5 | A in octave 4} Quarter,D5-major triad,1.0,644/3
Chord {D in octave 6 | B-flat in octave 5} Eighth Triplet (1/3 QL),B-5-interval class 4,1/3,658/3
Chord {C in octave 4 | F in octave 3 | G-sharp in octave 3 | G in octave 2} Double Dotted Quarter,F3-major-second minor tetrachord,1.75,704/3
Chord {D in octave 4 | B in octave 3} Half,B3-interval class 3,2.0,749/3
Chord {E in octave 5 | C in octave 5 | D in octave 4} Dotted Eighth,C5-whole-tone trichord,0.75,758/3
Chord {E in octave 4 | A in octave 2 | B in octave 3} Eighth,A2-quartal trichord,0.5,764/3
Chord {G in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),C5-interval class 5,2/3,269.5
Chord {F in octave 4 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-interval class 3,2/3,277.0
Chord {E in octave 3 | F-sharp in octave 1} Zero,F#1-interval class 2,0.0,283.0
Chord {A in octave 3 | F-sharp in octave 2 | F-sharp in octave 1} 16th,F#2-interval class 3,0.25,283.0
Chord {F in octave 3 | B in octave 3} Whole Triplet (2 2/3 QL),B3-tritone,8/3,308.75
Chord {E in octave 4 | A in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),A3-minor triad,1/3,312.0
Chord {C in octave 4 | A in octave 3 | G in octave 3} Quarter Triplet (2/3 QL),A3-incomplete minor-seventh chord,2/3,312.75
Chord {D in octave 4 | G in octave 4} 16th,G4-interval class 5,0.25,330.0
Chord {E in octave 4 | A in octave 3} Quarter,A3-interval class 5,1.0,344.5
Chord {C in octave 4 | G-sharp in octave 3} Half Triplet (1 1/3 QL),C4-interval class 4,4/3,346.25
Chord {D in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),D4-interval class 3,1.25,348.25
Chord {E in octave 4 | C in octave 4} Quarter,C4-interval class 4,1.0,384.0
Chord {C in octave 5 | C in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,385.25
Chord {B in octave 5 | E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth Triplet (1/3 QL),E-5-major triad,1/3,388.5
Chord {B in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),B3-interval class 3,2/3,394.25
Chord {A in octave 3 | C in octave 4} Dotted Eighth,A3-interval class 3,0.75,1186/3
Chord {F in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),D4-interval class 3,2/3,407.5
Chord {E in octave 5 | C in octave 5} 16th,C5-interval class 4,0.25,421.0
Chord {A in octave 4 | E in octave 4 | C in octave 5} 16th,A4-minor triad,0.25,421.25
Chord {A in octave 5 | E in octave 4 | C in octave 5} 16th,A5-minor triad,0.25,421.75
Chord {F in octave 4 | A in octave 4} Half,F4-interval class 4,2.0,422.5
Chord {C in octave 5 | F in octave 4 | G in octave 2} 16th,F4-quartal trichord,0.25,432.75
Chord {F in octave 3 | A in octave 3 | C in octave 4} Zero,F3-major triad,0.0,434.0
Chord {G in octave 1 | C in octave 4} 16th,C4-interval class 5,0.25,434.0
Chord {C in octave 5 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C5-interval class 4,2/3,441.5
Chord {F in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),F5-interval class 5,1/3,456.0
Chord {E in octave 5 | A in octave 4} Quarter Triplet (2/3 QL),A4-interval class 5,2/3,458.25
Chord {D in octave 4 | B in octave 3} Half tied to 16th (2 1/4 total QL),B3-interval class 3,2.25,467.0
Chord {G in octave 4 | E in octave 4} Eighth,E4-interval class 3,0.5,1426/3
Chord {F-sharp in octave 2 | F-sharp in octave 4} Dotted Eighth,F#2-unison,0.75,490.0
Chord {D in octave 6 | F in octave 5} 16th,D6-interval class 3,0.25,496.75
Chord {C in octave 4 | B-flat in octave 5 | F in octave 4} Zero,B-5-quartal trichord,0.0,497.0
Chord {F-sharp in octave 3 | F in octave 6 | D in octave 7 | F in octave 4 | B-flat in octave 6} Eighth Triplet (1/3 QL),B-6-augmented major tetrachord,1/3,1493/3
