666.6666666666666
4/4
FullName,CommonName,Len,Offset
Chord {F-sharp in octave 4 | B-flat in octave 4} Eighth,B-4-interval class 4,0.5,22.0
Chord {G in octave 4 | E-flat in octave 2} Quarter Triplet (2/3 QL),E-2-interval class 4,2/3,26.5
Chord {B-flat in octave 4 | C-sharp in octave 5} Dotted Half,C#5-interval class 3,3.0,38.75
Chord {F-sharp in octave 5 | B in octave 4 | C-sharp in octave 5} Quarter,B4-quartal trichord,1.0,127/3
Chord {F in octave 4 | G-sharp in octave 1 | D in octave 4} Eighth Triplet (1/3 QL),G#1-diminished triad,1/3,51.25
Chord {B-flat in octave 4 | F in octave 5 | D in octave 5} 16th,B-4-major triad,0.25,52.0
Chord {F in octave 6 | B-flat in octave 5 | D in octave 6 | F in octave 5} 16th,B-5-major triad,0.25,53.0
Chord {C in octave 4 | G-sharp in octave 3} Quarter,C4-interval class 4,1.0,56.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Double Dotted Half,F#3-interval class 3,3.5,61.25
Chord {F in octave 6 | B-flat in octave 5} Eighth,B-5-interval class 5,0.5,132.5
Chord {E-flat in octave 4 | B-flat in octave 3} Dotted Eighth,E-4-interval class 5,0.75,140.25
Chord {E-flat in octave 5 | B-flat in octave 4 | C in octave 5} Double Dotted Half,C5-incomplete minor-seventh chord,3.5,141.75
Chord {E-flat in octave 5 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E-5-interval class 1,5/3,147.25
Chord {C-sharp in octave 4 | B in octave 3 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),A3-whole-tone trichord,1.25,161.25
Chord {E in octave 4 | G-sharp in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),E4-interval class 4,3.25,170.0
Chord {C-sharp in octave 5 | F-sharp in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),B3-quartal trichord,1/3,174.25
Chord {B in octave 4 | A in octave 3 | G in octave 4 | E in octave 3} Eighth,E3-perfect-fourth minor tetrachord,0.5,175.25
Chord {F-sharp in octave 4 | C-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),F#4-interval class 5,2.5,181.25
Chord {E in octave 4 | C-sharp in octave 4} Eighth,C#4-interval class 3,0.5,184.0
Chord {B in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),G4-interval class 4,2/3,215.25
Chord {A in octave 4 | G in octave 3} Eighth,A4-interval class 2,0.5,216.25
Chord {G-sharp in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),E4-interval class 4,2/3,217.5
Chord {C-sharp in octave 4 | F in octave 4 | B in octave 3} Eighth,B3-incomplete dominant-seventh chord,0.5,716/3
Chord {F in octave 5 | C-sharp in octave 5} Quarter,F5-interval class 4,1.0,241.0
Chord {D in octave 6 | A in octave 5} Eighth Triplet (1/3 QL),D6-interval class 5,1/3,740/3
Chord {C-sharp in octave 5 | B-flat in octave 4} Eighth,C#5-interval class 3,0.5,255.75
Chord {C-sharp in octave 6 | F-sharp in octave 5 | B-flat in octave 5} Quarter Triplet (2/3 QL),B-5-major triad,2/3,257.0
Chord {C-sharp in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F4-interval class 4,2/3,261.75
Chord {C-sharp in octave 4 | B-flat in octave 3} 16th,C#4-interval class 3,0.25,262.5
