400.0
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 5 | C in octave 3} Eighth,C3-interval class 3,0.5,14/3
Chord {F in octave 4 | D in octave 4} Quarter,D4-interval class 3,1.0,10.0
Chord {D in octave 4 | B in octave 4 | G-sharp in octave 4 | F in octave 4} Eighth,G#4-diminished seventh chord,0.5,11.75
Chord {E-flat in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),E-5-interval class 5,1/3,15.25
Chord {G in octave 5 | E in octave 3} Eighth,E3-interval class 3,0.5,16.25
Chord {E-flat in octave 6 | E-flat in octave 5} Quarter tied to 16th (1 1/4 total QL),E-6-unison,1.25,52/3
Chord {D in octave 6 | B in octave 5} Eighth Triplet (1/3 QL),B5-interval class 3,1/3,19.0
Chord {D in octave 5 | G in octave 4 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,64/3
Chord {D in octave 5 | C in octave 6} Eighth Triplet (1/3 QL),D5-interval class 2,1/3,27.75
Chord {B-flat in octave 5 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-5-interval class 5,1/3,28.75
Chord {C in octave 6 | G-sharp in octave 4} 16th,C6-interval class 4,0.25,29.5
Chord {C in octave 5 | G in octave 4} 16th,C5-interval class 5,0.25,30.0
Chord {G in octave 5 | E-flat in octave 5} 16th,E-5-interval class 4,0.25,30.25
Chord {C in octave 5 | G in octave 2} Dotted Eighth,C5-interval class 5,0.75,38.25
Chord {G in octave 4 | B in octave 3} 16th,G4-interval class 4,0.25,124/3
Chord {A in octave 4 | C in octave 4} 16th,A4-interval class 3,0.25,42.0
Chord {F in octave 4 | A in octave 3 | C in octave 4 | G in octave 2} Dotted Eighth,F4-major-second major tetrachord,0.75,42.5
Chord {E in octave 4 | G in octave 3 | B in octave 3} Quarter Triplet (2/3 QL),E4-minor triad,2/3,44.25
Chord {E-flat in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),E-5-interval class 5,1/3,164/3
Chord {D in octave 5 | B-flat in octave 3 | F in octave 4} Zero,B-3-major triad,0.0,56.0
Chord {G in octave 3 | B-flat in octave 4 | F in octave 4} 16th,G3-incomplete minor-seventh chord,0.25,169/3
Chord {B-flat in octave 3 | C in octave 5 | E-flat in octave 4} 16th,C5-incomplete minor-seventh chord,0.25,57.0
Chord {G in octave 4 | E-flat in octave 4} 16th,E-4-interval class 4,0.25,57.5
Chord {C in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,59.0
Chord {B-flat in octave 3 | B-flat in octave 2} Quarter Triplet (2/3 QL),B-3-unison,2/3,65.25
Chord {C in octave 5 | G in octave 4} 16th,C5-interval class 5,0.25,67.5
Chord {E-flat in octave 5 | B-flat in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),E-5-quartal trichord,1/3,68.75
Chord {A in octave 4 | C in octave 5} Dotted Eighth,A4-interval class 3,0.75,72.75
Chord {F-sharp in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),D5-interval class 4,1/3,76.25
Chord {G in octave 5 | D in octave 4 | D in octave 5 | G in octave 3} Eighth,G5-interval class 5,0.5,235/3
Chord {G-sharp in octave 3 | C in octave 4} Eighth,C4-interval class 4,0.5,85.75
Chord {G-sharp in octave 3 | G in octave 4 | D in octave 5} Eighth,G#3-tritone-fourth,0.5,86.75
Chord {D in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),G4-interval class 5,2/3,88.25
Chord {E-flat in octave 5 | B-flat in octave 4 | F in octave 4} 16th,E-5-quartal trichord,0.25,89.25
Chord {G-sharp in octave 3 | B-flat in octave 4 | D in octave 5} Zero,G#3-incomplete dominant-seventh chord,0.0,90.5
Chord {B-flat in octave 3 | C in octave 5} 16th,C5-interval class 2,0.25,92.0
Chord {B-flat in octave 4 | E-flat in octave 4} 16th,E-4-interval class 5,0.25,93.25
Chord {D in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-interval class 3,1.25,95.75
Chord {D in octave 4 | B in octave 3} 16th,B3-interval class 3,0.25,295/3
Chord {E-flat in octave 4 | B-flat in octave 3} Eighth,E-4-interval class 5,0.5,101.0
Chord {D in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D4-interval class 3,1/3,101.5
Chord {G-sharp in octave 2 | G-sharp in octave 4} Quarter Triplet (2/3 QL),G#2-unison,2/3,103.25
Chord {B-flat in octave 4 | E-flat in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),E-4-interval class 5,1/3,104.25
Chord {G-sharp in octave 3 | B in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G#3-major-minor trichord,1/3,119.0
Chord {B in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),B4-interval class 3,1/3,359/3
Chord {F in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-4-interval class 5,2/3,120.5
Chord {G in octave 4 | G in octave 2} Dotted Quarter,G4-unison,1.5,123.5
Chord {C in octave 5 | G-sharp in octave 4 | E-flat in octave 4} Half Triplet (1 1/3 QL),C5-major triad,4/3,128.0
Chord {E-flat in octave 5 | B-flat in octave 4} Eighth,E-5-interval class 5,0.5,134.25
Chord {E-flat in octave 4 | B-flat in octave 4 | G in octave 4 | D in octave 4} Eighth,E-4-major seventh chord,0.5,136.25
Chord {B-flat in octave 4 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,138.0
Chord {F in octave 4 | C in octave 4} Eighth,F4-interval class 5,0.5,139.0
Chord {E in octave 2 | B-flat in octave 3 | C-sharp in octave 3} Quarter Triplet (2/3 QL),C#3-diminished triad,2/3,145.0
Chord {E-flat in octave 4 | G-sharp in octave 3} Eighth,E-4-interval class 5,0.5,146.0
Chord {F-sharp in octave 2 | E-flat in octave 4 | E-flat in octave 3} Half,F#2-interval class 3,2.0,147.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,150.5
Chord {F-sharp in octave 3 | E-flat in octave 4} Quarter,F#3-interval class 3,1.0,163.0
Chord {E-flat in octave 5 | D in octave 4} 16th,E-5-interval class 1,0.25,164.5
Chord {F in octave 4 | D in octave 1} Quarter,D1-interval class 3,1.0,167.25
Chord {D in octave 4 | B-flat in octave 3} Eighth,B-3-interval class 4,0.5,169.0
Chord {E-flat in octave 4 | F in octave 3 | B in octave 3} Eighth,E-4-incomplete half-diminished seventh chord,0.5,172.25
Chord {E-flat in octave 4 | C-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),C#3-interval class 2,1.25,173.75
