626.25
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 2 | E in octave 4 | G in octave 4} Quarter,E4-diminished triad,1.0,20.75
Chord {C-sharp in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-interval class 5,1/3,23.0
Chord {E in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,44.5
Chord {G in octave 4 | G in octave 3} Eighth,G4-unison,0.5,47.25
Chord {B-flat in octave 2 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,48.5
Chord {A in octave 4 | D in octave 4 | F in octave 3} Eighth Triplet (1/3 QL),D4-minor triad,1/3,152/3
Chord {B in octave 4 | G-sharp in octave 4 | F in octave 4} Eighth,G#4-diminished triad,0.5,51.75
Chord {C in octave 5 | B-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C5-interval class 2,5/3,53.0
Chord {C in octave 5 | G in octave 4} Half tied to Eighth (2 1/2 total QL),C5-interval class 5,2.5,65.5
Chord {E in octave 5 | C-sharp in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),C#5-interval class 3,5/3,75.0
Chord {E in octave 5 | F in octave 4 | A in octave 4} Dotted Quarter,F4-incomplete major-seventh chord,1.5,77.0
Chord {B-flat in octave 4 | D in octave 4} Zero,B-4-interval class 4,0.0,275/3
Chord {A in octave 4 | B-flat in octave 3 | D in octave 4 | E in octave 3} Quarter Triplet (2/3 QL),B-3-minor-second quartal tetrachord,2/3,95.25
Chord {A in octave 4 | B-flat in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),B-3-incomplete major-seventh chord,1.25,98.0
Chord {C in octave 5 | F in octave 4 | A in octave 4 | C in octave 4} Eighth,F4-major triad,0.5,102.25
Chord {C-sharp in octave 4 | B-flat in octave 3} Quarter,C#4-interval class 3,1.0,310/3
Chord {B-flat in octave 3 | E-flat in octave 4 | A in octave 4} Quarter,A4-tritone-fourth,1.0,107.75
Chord {A in octave 4 | F in octave 4} Dotted Half,F4-interval class 4,3.0,112.25
Chord {D in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),D4-interval class 3,2/3,379/3
Chord {B-flat in octave 4 | C-sharp in octave 4} Quarter,C#4-interval class 3,1.0,130.0
Chord {G in octave 4 | B in octave 4} Dotted Eighth,G4-interval class 4,0.75,151.75
Chord {F in octave 4 | A in octave 4} Quarter,F4-interval class 4,1.0,503/3
Chord {E in octave 5 | F in octave 4 | G-sharp in octave 4 | B in octave 4 | E in octave 4} Eighth,E5-major-diminished tetrachord,0.5,509/3
Chord {E in octave 5 | F in octave 4 | G-sharp in octave 4 | B in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E5-major-diminished tetrachord,1/3,170.5
Chord {G-sharp in octave 4 | E in octave 5 | F in octave 4 | B in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E5-major-diminished tetrachord,1/3,171.5
Chord {F in octave 4 | B-flat in octave 4 | G in octave 3} 16th,G3-incomplete minor-seventh chord,0.25,198.0
