323.3333333333333
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 5 | E in octave 5 | D in octave 5} Quarter tied to 16th (1 1/4 total QL),E5-incomplete minor-seventh chord,1.25,10/3
Chord {A in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),A4-interval class 2,1/3,7.0
Chord {E in octave 5 | B in octave 4 | E in octave 4} 16th,E5-interval class 5,0.25,10.25
Chord {F in octave 5 | B-flat in octave 4} 16th,B-4-interval class 5,0.25,10.75
Chord {G in octave 5 | G in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),G5-interval class 5,1/3,11.25
Chord {G in octave 5 | B-flat in octave 4} Quarter,G5-interval class 3,1.0,12.5
Chord {C in octave 4 | C-sharp in octave 4 | G in octave 3} Quarter,C4-tritone-fourth,1.0,17.0
Chord {F in octave 4 | C-sharp in octave 4 | C in octave 4} 16th,F4-incomplete major-seventh chord,0.25,18.0
Chord {F in octave 4 | A in octave 4} Eighth,F4-interval class 4,0.5,18.75
Chord {F in octave 5 | A in octave 3} Eighth Triplet (1/3 QL),F5-interval class 4,1/3,58/3
Chord {F in octave 5 | C-sharp in octave 4} Eighth,F5-interval class 4,0.5,19.75
Chord {G in octave 5 | F in octave 4} 16th,G5-interval class 2,0.25,21.25
Chord {B in octave 5 | G-sharp in octave 5 | B in octave 4 | E in octave 5} Eighth Triplet (1/3 QL),E5-major triad,1/3,24.75
Chord {B in octave 5 | E in octave 5 | B in octave 4} 16th,E5-interval class 5,0.25,27.75
Chord {B in octave 5 | C in octave 5} Eighth,C5-interval class 1,0.5,33.75
Chord {E-flat in octave 5 | F-sharp in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),F#4-diminished triad,1/3,40.25
Chord {F-sharp in octave 4 | C in octave 4} 16th,F#4-tritone,0.25,41.5
Chord {E in octave 4 | C in octave 4 | G in octave 2 | E in octave 3 | G in octave 4} 16th,C4-major triad,0.25,42.0
Chord {E in octave 6 | C in octave 6 | E in octave 5} Eighth Triplet (1/3 QL),C6-interval class 4,1/3,42.75
Chord {C-sharp in octave 5 | G in octave 4 | C in octave 5} Quarter,C#5-tritone-fourth,1.0,44.0
Chord {F in octave 3 | A in octave 3} Half Triplet (1 1/3 QL),F3-interval class 4,4/3,56.0
Chord {B in octave 3 | E in octave 4 | B in octave 6} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,178/3
Chord {F in octave 3 | D in octave 4 | B-flat in octave 3 | A in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),B-3-major seventh chord,5/3,64.0
Chord {C-sharp in octave 4 | F in octave 3} Double Dotted Half,F3-interval class 4,3.5,68.0
Chord {A in octave 3 | E in octave 3} Half Triplet (1 1/3 QL),A3-interval class 5,4/3,72.0
Chord {B in octave 5 | D in octave 5} 16th,B5-interval class 3,0.25,84.25
Chord {C in octave 6 | E in octave 5} 16th,C6-interval class 4,0.25,84.5
Chord {C in octave 6 | E in octave 5} 16th,C6-interval class 4,0.25,84.75
Chord {E in octave 5 | C in octave 6} 16th,C6-interval class 4,0.25,85.0
Chord {D in octave 5 | B in octave 5} Zero,B5-interval class 3,0.0,85.75
Chord {E in octave 5 | C in octave 6} Quarter Triplet (2/3 QL),C6-interval class 4,2/3,260/3
Chord {D in octave 4 | G in octave 4 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,88.0
Chord {C in octave 3 | F in octave 2} Double Dotted Quarter,F2-interval class 5,1.75,89.5
Chord {F in octave 4 | D in octave 4} Eighth,D4-interval class 3,0.5,95.0
Chord {C in octave 5 | B in octave 3 | E in octave 4 | A in octave 3 | C in octave 4} Eighth,A3-major-second minor tetrachord,0.5,100.0
Chord {C in octave 6 | G in octave 5 | E in octave 4 | B in octave 3 | D in octave 5 | A in octave 3 | C in octave 4} 16th,A3-C all combinatorial (P6, I3, RI9),0.25,101.25
Chord {D in octave 6 | E in octave 4} Dotted Eighth,E4-interval class 2,0.75,102.0
Chord {D in octave 6 | G in octave 5 | D in octave 5} Eighth,G5-interval class 5,0.5,103.0
Chord {C in octave 6 | C in octave 4 | G in octave 3 | F in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F4-quartal trichord,1/3,106.0
Chord {B in octave 4 | D in octave 4 | E in octave 3 | B in octave 3 | G in octave 3} 16th,E3-minor seventh chord,0.25,329/3
Chord {F-sharp in octave 3 | E-flat in octave 4 | F-sharp in octave 4 | C in octave 4} 16th,F#3-diminished triad,0.25,111.5
Chord {F in octave 4 | D in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),G3-incomplete dominant-seventh chord,1/3,112.0
Chord {A in octave 3 | C in octave 4} Quarter Triplet (2/3 QL),A3-interval class 3,2/3,113.0
Chord {C in octave 7 | F in octave 6 | C in octave 6} Dotted Eighth,F6-interval class 5,0.75,118.0
Chord {C in octave 7 | C-sharp in octave 4 | F in octave 4 | C in octave 4 | C in octave 6 | F in octave 6} Quarter Triplet (2/3 QL),F4-incomplete major-seventh chord,2/3,119.0
Chord {E-flat in octave 4 | B-flat in octave 3} 16th,E-4-interval class 5,0.25,131.25
Chord {E in octave 5 | A in octave 4 | C-sharp in octave 4} 16th,A4-major triad,0.25,133.75
Chord {D in octave 5 | F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),D5-minor triad,1/3,134.0
Chord {F in octave 4 | D in octave 4} 16th,D4-interval class 3,0.25,135.0
Chord {A in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),A3-interval class 3,1/3,141.0
Chord {G in octave 6 | G in octave 5} Zero,G6-unison,0.0,143.75
Chord {G in octave 6 | A in octave 3 | E in octave 4 | C in octave 4 | G in octave 5 | F in octave 3} Eighth Triplet (1/3 QL),F3-major-ninth chord,1/3,144.0
Chord {A in octave 6 | E in octave 4 | A in octave 3 | C in octave 4 | F in octave 3} 16th,F3-major seventh chord,0.25,144.5
Chord {A in octave 6 | A in octave 5 | F in octave 3 | E in octave 4 | A in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),F3-major seventh chord,1/3,145.0
Chord {F-sharp in octave 6 | E-flat in octave 6} 16th,F#6-interval class 3,0.25,147.0
Chord {B in octave 5 | B in octave 4} 16th,B5-unison,0.25,148.0
Chord {D in octave 4 | G-sharp in octave 3} Double Dotted Quarter,G#3-tritone,1.75,152.0
Chord {G-sharp in octave 3 | B in octave 5 | D in octave 4 | D in octave 5 | G in octave 4} 16th,G#3-major-diminished tetrachord,0.25,154.0
Chord {C in octave 6 | G-sharp in octave 3 | G in octave 5 | G in octave 4} Eighth,C6-incomplete major-seventh chord,0.5,463/3
